순위,class,RII,RII_plus,해석,Δ분산,Δ평균거리,RCI,Yaw_impact,Pitch_impact,Roll_impact,축_불균형
1,ㅏ,0.5373231380318578,0.6977695633239442,회전이 **보조적 역할**을 함. 주로 **손목 비틀림(roll)** 변화에 민감한 클래스.,-0.1381686181181206,1.2679389045640714,0.5916790400097632,0.26010118297454976,0.9601329416200483,0.9815728781503792,0.41049270008341177
2,ㅑ,0.5301015838123947,0.6954365445030593,회전이 **보조적 역할**을 함. 주로 **손목 비틀림(roll)** 변화에 민감한 클래스.,-0.12005900367117195,1.234655976909752,0.5665379501142414,0.20380404498198168,0.9466507548931052,1.0,0.44508339577475264
3,ㅇ,0.6787270928641073,0.6258004904218182,회전이 **보조적 역할**을 함. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,0.7535452929230421,0.970758598534352,0.882809690214572,0.3967952209892709,0.7354956089305397,0.3737342840691606,0.2025343657130231
4,ㅁ,0.4979474012669312,0.5923324796439899,회전이 **보조적 역할**을 함. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,-0.15887634464658734,1.175035573579441,0.5687836695280869,0.3355246197233247,1.0,0.6386432780458111,0.33266277532423466
5,ㅋ,0.5599428433954314,0.5728263832622164,회전이 **보조적 역할**을 함. 주로 **좌우 방향(yaw)** 변화에 민감한 클래스.,-0.2516248693564881,1.1912680194843857,0.6367262245929421,1.0,0.4690798898042863,0.261700854718761,0.3807816206012401
6,ㅣ,0.504543899498912,0.534717217352592,회전이 **보조적 역할**을 함. 주로 **손목 비틀림(roll)** 변화에 민감한 클래스.,-0.20675383463047864,1.107172973231077,0.5737908364241253,0.20738663142434977,0.6755831191345456,0.8756214826429007,0.34296771334008086
7,ㅗ,0.4374283483271845,0.4835866249290916,회전이 **보조적 역할**을 함. 주로 **손목 비틀림(roll)** 변화에 민감한 클래스.,-0.12365114505267646,1.0075973332092927,0.47938296443600253,0.3089039224701011,0.39073051518669993,0.9336226789249352,0.33953424407327587
8,ㅛ,0.4476115758940098,0.4729701707189286,회전이 **보조적 역할**을 함. 주로 **손목 비틀림(roll)** 변화에 민감한 클래스.,-0.14327035476229172,0.9743632988270677,0.4792953664391182,0.2018042268158869,0.42264675900884896,0.9305601781526724,0.373682731288757
9,ㅡ,0.3531836164907876,0.43436574104887865,회전이 **보조적 역할**을 함. 주로 **좌우 방향(yaw)** 변화에 민감한 클래스.,0.03816651120688902,0.9942488317403715,0.41739747662158194,0.7425535574137597,0.385765650596958,0.39509743573314765,0.20335127618560084
10,ㅂ,0.36953187739709703,0.4164663890864586,회전이 **보조적 역할**을 함. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,-0.06889906790605758,0.945893998480475,0.4187211716808902,0.20993484941269186,0.6784888751093833,0.6175497200185243,0.2547568574015797
11,ㅜ,0.39066754036519835,0.3948532515547037,회전이 **거의 영향을 주지 않음**. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,-0.1090890910007056,0.8319582789848669,0.4004589635978214,0.1768159610557032,0.882348040865792,0.3491797389285605,0.3678208861557447
