class,delta_variance,delta_distance,delta_variance_raw,delta_distance_raw,interpretation,n_samples
ㄱ,-0.08175372513665985,0.6377610904333142,-141.4682445089092,24.59628278197106,회전값이 결정적으로 중요,4000
ㄴ,-0.01906631802987871,0.5990953741296602,-60.00684146409236,26.98127628473492,회전값이 결정적으로 중요,4960
ㄷ,-0.11607704489044485,0.9214704799953573,-170.8179165532136,36.13446988032362,회전값이 결정적으로 중요,4400
ㄹ,-0.03635031087064583,0.5743722153519298,-66.43929831369844,27.232541718039645,회전값이 결정적으로 중요,4400
ㅁ,-0.15887634464658734,1.2261240767785473,-219.49154966543102,48.98322529274982,회전값이 결정적으로 중요,4400
ㅂ,-0.06889906790605758,0.9870198245013652,-70.53154995698813,44.66645474616344,회전값이 결정적으로 중요,4800
ㅅ,-0.09777558498645669,0.9701524655501439,-124.74232884808868,37.897496214337,회전값이 결정적으로 중요,4320
ㅇ,0.7535452929230421,1.0129654941228021,1141.5458249788126,38.50670337412045,회전값이 결정적으로 중요,4240
ㅈ,-0.21133713935853476,0.6923845099446205,-321.53334373231985,28.510535950969025,회전값이 결정적으로 중요,4320
ㅊ,-0.10833322883465615,0.550255744636408,-161.79568334506007,22.41621350729426,회전값이 결정적으로 중요,4400
ㅋ,-0.2516248693564881,1.243062281201098,-530.6036969121812,48.360904822567846,회전값이 결정적으로 중요,4080
ㅌ,-0.11275664525719109,0.6258491564245162,-148.79980062021787,29.426130930446565,회전값이 결정적으로 중요,4320
ㅍ,-0.14484733669922462,0.8966575979997182,-264.1150916555654,35.1662494185106,회전값이 결정적으로 중요,4240
ㅎ,-0.3498466719497648,0.7495596850146656,-684.2696320068712,33.670635229758865,회전값이 결정적으로 중요,4640
ㅏ,-0.1381686181181206,1.3230666830233788,-219.84016108317297,58.93227148811914,회전값이 결정적으로 중요,4480
ㅑ,-0.12005900367117195,1.2883366715580022,-154.86032120845744,58.41985088541406,회전값이 결정적으로 중요,4800
ㅓ,-0.07370419994906344,0.66717874671763,-100.26766113717676,27.402462117307195,회전값이 결정적으로 중요,4800
ㅕ,-0.1330565829145118,0.7460006692638498,-189.01372364304973,30.62874050676089,회전값이 결정적으로 중요,4800
ㅗ,-0.12365114505267646,1.0514059129140445,-161.1841108992246,52.808539841929786,회전값이 결정적으로 중요,4800
ㅛ,-0.14327035476229172,1.016726920515201,-192.62233964567338,51.54390881413233,회전값이 결정적으로 중요,4800
ㅜ,-0.1090890910007056,0.8681303780711653,-154.26168045650985,30.546960624057228,회전값이 결정적으로 중요,4800
ㅠ,-0.13060197654250552,0.8671408111765588,-172.40582935559627,33.8675117841116,회전값이 결정적으로 중요,4800
ㅡ,0.03816651120688902,1.0374770418160397,58.30868794163172,42.13640684614547,회전값이 결정적으로 중요,4800
ㅣ,-0.20675383463047864,1.15531092858895,-349.5565524444511,54.18472825852811,회전값이 결정적으로 중요,4800
