timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
124693,1755598726771,32.45,-52.59,-20.91,807,768,778,835,837,34.48275862068966,-0.536,-0.674,0.516
124723,1755598726774,32.49,-52.5,-20.87,802,771,772,828,837,33.333333333333336,-0.534,-0.674,0.514
124753,1755598726775,32.5,-52.51,-20.86,810,764,771,831,838,33.333333333333336,-0.534,-0.674,0.512
124783,1755598726777,32.55,-52.57,-20.84,809,769,774,829,833,33.333333333333336,-0.534,-0.674,0.513
124833,1755598726782,32.6,-52.48,-20.82,802,772,781,836,844,33.333333333333336,-0.534,-0.669,0.518
124863,1755598726784,32.58,-52.43,-20.85,808,766,767,829,842,33.333333333333336,-0.533,-0.665,0.516
124893,1755598726786,32.6,-52.45,-20.88,812,770,777,818,845,33.333333333333336,-0.534,-0.666,0.514
124923,1755598726788,32.66,-52.42,-20.88,807,775,774,831,839,33.333333333333336,-0.537,-0.667,0.514
124982,1755598726792,32.67,-52.44,-20.93,804,761,775,827,836,34.48275862068966,-0.538,-0.667,0.512
125072,1755598726798,32.57,-52.63,-20.98,808,772,777,830,839,33.333333333333336,-0.535,-0.672,0.507
125102,1755598726800,32.56,-52.69,-20.97,811,768,785,835,839,33.333333333333336,-0.535,-0.673,0.508
125132,1755598726828,32.55,-52.69,-20.94,814,769,783,831,837,33.333333333333336,-0.533,-0.67,0.507
125161,1755598726858,32.59,-52.7,-20.94,804,770,778,834,841,34.48275862068966,-0.533,-0.671,0.508
125211,1755598726908,32.61,-52.72,-20.99,807,759,772,833,839,34.48275862068966,-0.534,-0.674,0.507
125282,1755598726978,32.63,-52.75,-20.99,810,764,776,832,834,33.333333333333336,-0.535,-0.674,0.505
125311,1755598727008,32.63,-52.8,-20.99,809,760,773,832,838,34.48275862068966,-0.534,-0.674,0.506
125341,1755598727037,32.63,-52.86,-21.0,808,769,773,834,836,33.333333333333336,-0.536,-0.675,0.506
125371,1755598727067,32.6,-52.77,-20.97,802,766,769,832,828,33.333333333333336,-0.537,-0.674,0.509
125401,1755598727097,32.58,-52.75,-20.99,811,771,775,830,836,33.333333333333336,-0.536,-0.674,0.507
125431,1755598727127,32.57,-52.82,-20.99,807,768,776,830,840,33.333333333333336,-0.536,-0.675,0.503
125461,1755598727157,32.52,-52.9,-21.0,800,760,768,830,837,33.333333333333336,-0.536,-0.678,0.502
125490,1755598727187,32.53,-52.88,-20.95,810,770,770,834,844,34.48275862068966,-0.537,-0.677,0.505
125520,1755598727216,32.49,-52.83,-20.92,806,766,771,831,842,33.333333333333336,-0.535,-0.676,0.506
125550,1755598727246,32.49,-52.84,-20.92,814,771,781,838,840,33.333333333333336,-0.535,-0.675,0.505
125580,1755598727276,32.51,-52.85,-20.92,810,764,776,828,837,33.333333333333336,-0.535,-0.677,0.505
125640,1755598727336,32.48,-52.78,-20.88,810,763,777,833,838,33.333333333333336,-0.535,-0.672,0.505
125690,1755598727386,32.5,-52.83,-20.87,806,765,775,834,831,33.333333333333336,-0.537,-0.671,0.506
125719,1755598727415,32.56,-52.79,-20.85,804,769,781,835,842,34.48275862068966,-0.535,-0.671,0.507
125749,1755598727446,32.55,-52.78,-20.87,809,773,769,833,837,33.333333333333336,-0.534,-0.672,0.507
125799,1755598727495,32.51,-52.88,-20.9,807,759,778,822,840,33.333333333333336,-0.535,-0.673,0.503
125829,1755598727525,32.56,-52.87,-20.89,810,758,781,836,830,33.333333333333336,-0.537,-0.673,0.505
125859,1755598727555,32.57,-52.85,-20.91,803,759,774,835,835,33.333333333333336,-0.536,-0.673,0.506
125889,1755598727585,32.54,-52.84,-20.93,805,775,782,824,836,33.333333333333336,-0.535,-0.674,0.506
125918,1755598727614,32.59,-52.84,-20.93,805,770,775,828,838,34.48275862068966,-0.537,-0.674,0.506
125948,1755598727644,32.61,-52.82,-20.93,809,773,778,835,837,33.333333333333336,-0.538,-0.675,0.505
126008,1755598727704,32.51,-52.92,-20.97,810,767,780,830,845,33.333333333333336,-0.538,-0.675,0.503
126037,1755598727734,32.59,-52.92,-20.93,810,770,775,830,831,34.48275862068966,-0.538,-0.675,0.506
126067,1755598727763,32.56,-52.87,-20.92,808,777,777,830,836,33.333333333333336,-0.536,-0.671,0.509
126097,1755598727793,32.57,-52.87,-20.93,812,770,772,834,843,33.333333333333336,-0.536,-0.672,0.51
126127,1755598727823,32.57,-52.89,-20.94,806,773,775,834,840,33.333333333333336,-0.536,-0.672,0.506
126157,1755598727853,32.58,-52.93,-20.93,806,770,776,831,834,33.333333333333336,-0.538,-0.677,0.502
126187,1755598727883,32.57,-52.88,-20.87,808,771,774,830,836,33.333333333333336,-0.538,-0.68,0.5
126217,1755598727913,32.51,-52.86,-20.83,811,759,778,830,841,33.333333333333336,-0.536,-0.678,0.502
126246,1755598727943,32.45,-52.89,-20.83,803,765,776,833,843,34.48275862068966,-0.535,-0.675,0.505
126276,1755598727972,32.46,-52.83,-20.8,809,767,774,832,832,33.333333333333336,-0.535,-0.672,0.509
126306,1755598728002,32.47,-52.81,-20.8,806,768,777,828,844,33.333333333333336,-0.534,-0.672,0.508
126336,1755598728032,32.45,-52.81,-20.81,812,769,774,831,840,33.333333333333336,-0.535,-0.673,0.507
