timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
1970-01-01 00:00:00.000077582,1758104103307,58.16,7.63,58.27,895.0,935.0,789.0,805.0,825.0,34.48275862068966,-0.708,-0.074,0.703
1970-01-01 00:00:00.000077612,1758104103309,58.17,7.68,58.43,,,,,,33.333333333333336,-0.707,-0.077,0.701
1970-01-01 00:00:00.000077632,1758104103311,58.09,7.57,58.54,,,,,,50.0,-0.709,-0.075,0.702
1970-01-01 00:00:00.000077661,1758104103313,58.12,7.49,58.68,,,,,,34.48275862068966,-0.707,-0.075,0.703
1970-01-01 00:00:00.000077691,1758104103315,58.15,7.52,58.87,,,,,,33.333333333333336,-0.709,-0.075,0.704
1970-01-01 00:00:00.000077720,1758104103317,58.16,7.59,59.07,,,,,,34.48275862068966,-0.711,-0.073,0.705
1970-01-01 00:00:00.000077749,1758104103319,58.12,7.62,59.22,,,,,,34.48275862068966,-0.708,-0.069,0.7
1970-01-01 00:00:00.000077779,1758104103321,58.1,7.57,59.33,,,,,,33.333333333333336,-0.704,-0.069,0.698
1970-01-01 00:00:00.000077808,1758104103323,58.06,7.39,59.53,,,,,,34.48275862068966,-0.706,-0.071,0.701
1970-01-01 00:00:00.000077838,1758104103325,58.01,7.1,59.64,,,,,,33.333333333333336,-0.708,-0.069,0.702
1970-01-01 00:00:00.000077867,1758104103327,57.93,6.76,59.67,,,,,,34.48275862068966,-0.706,-0.067,0.703
1970-01-01 00:00:00.000077896,1758104103330,57.84,6.48,59.7,,,,,,34.48275862068966,-0.702,-0.069,0.704
1970-01-01 00:00:00.000077926,1758104103332,57.87,6.25,59.78,,,,,,33.333333333333336,-0.711,-0.076,0.706
1970-01-01 00:00:00.000077955,1758104103333,57.8,6.2,59.88,,,,,,34.48275862068966,-0.713,-0.079,0.705
1970-01-01 00:00:00.000077985,1758104103335,57.71,6.1,59.92,,,,,,33.333333333333336,-0.712,-0.082,0.704
1970-01-01 00:00:00.000078014,1758104103338,57.63,5.99,60.07,,,,,,34.48275862068966,-0.708,-0.085,0.706
1970-01-01 00:00:00.000078043,1758104103339,57.62,5.99,60.29,,,,,,34.48275862068966,-0.705,-0.083,0.708
1970-01-01 00:00:00.000078073,1758104103341,57.61,5.89,60.43,,,,,,33.333333333333336,-0.703,-0.084,0.71
1970-01-01 00:00:00.000078102,1758104103343,57.61,5.86,60.58,,,,,,34.48275862068966,-0.702,-0.089,0.712
1970-01-01 00:00:00.000078131,1758104103346,57.61,5.89,60.78,,,,,,34.48275862068966,-0.702,-0.092,0.709
1970-01-01 00:00:00.000078161,1758104103347,57.69,5.87,61.05,,,,,,33.333333333333336,-0.704,-0.093,0.71
1970-01-01 00:00:00.000078190,1758104103350,57.73,5.85,61.33,,,,,,34.48275862068966,-0.703,-0.092,0.71
1970-01-01 00:00:00.000078220,1758104103352,57.76,5.83,61.56,,,,,,33.333333333333336,-0.699,-0.089,0.708
1970-01-01 00:00:00.000078249,1758104103354,57.86,5.77,61.77,,,,,,34.48275862068966,-0.701,-0.088,0.708
1970-01-01 00:00:00.000078278,1758104103356,57.92,5.73,61.94,,,,,,34.48275862068966,-0.702,-0.088,0.709
1970-01-01 00:00:00.000078308,1758104103358,57.97,5.72,62.14,,,,,,33.333333333333336,-0.704,-0.086,0.706
1970-01-01 00:00:00.000078337,1758104103360,57.95,5.62,62.27,,,,,,34.48275862068966,-0.703,-0.084,0.707
1970-01-01 00:00:00.000078367,1758104103362,57.85,5.56,62.33,,,,,,33.333333333333336,-0.701,-0.084,0.708
1970-01-01 00:00:00.000078396,1758104103364,57.75,5.62,62.42,,,,,,34.48275862068966,-0.702,-0.083,0.707
1970-01-01 00:00:00.000078425,1758104103366,57.57,5.57,62.48,,,,,,34.48275862068966,-0.7,-0.087,0.707
1970-01-01 00:00:00.000078454,1758104103368,57.53,5.58,62.61,,,,,,34.48275862068966,-0.702,-0.09,0.709
1970-01-01 00:00:00.000078484,1758104103370,57.55,5.6,62.82,,,,,,33.333333333333336,-0.704,-0.094,0.711
1970-01-01 00:00:00.000078514,1758104103372,57.52,5.66,63.03,,,,,,33.333333333333336,-0.702,-0.093,0.712
1970-01-01 00:00:00.000078543,1758104103375,57.48,5.72,63.22,,,,,,34.48275862068966,-0.698,-0.09,0.711
1970-01-01 00:00:00.000078572,1758104103377,57.43,5.75,63.4,,,,,,34.48275862068966,-0.697,-0.087,0.712
1970-01-01 00:00:00.000078602,1758104103379,57.4,5.77,63.58,,,,,,33.333333333333336,-0.697,-0.087,0.712
1970-01-01 00:00:00.000078631,1758104103381,57.38,5.78,63.76,,,,,,34.48275862068966,-0.698,-0.088,0.713
1970-01-01 00:00:00.000078661,1758104103382,57.35,5.84,63.97,,,,,,33.333333333333336,-0.698,-0.087,0.713
1970-01-01 00:00:00.000078690,1758104103385,57.38,5.85,64.16,,,,,,34.48275862068966,-0.696,-0.085,0.713
