timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759295332198,-25.75,-60.91,-53.55,790,780,939,919,937,33.333333333333336,0.45,-0.807,0.445
29,1759295332228,-25.71,-60.82,-53.51,786,773,930,927,947,34.48275862068966,0.449,-0.807,0.447
59,1759295332258,-25.67,-60.7,-53.52,790,766,888,921,947,33.333333333333336,0.449,-0.799,0.448
89,1759295332288,-25.7,-60.7,-53.58,788,782,914,902,934,33.333333333333336,0.449,-0.802,0.446
118,1759295332317,-25.74,-60.71,-53.6,790,779,932,898,942,34.48275862068966,0.448,-0.809,0.445
148,1759295332347,-25.7,-60.63,-53.55,791,780,913,906,935,33.333333333333336,0.449,-0.809,0.449
177,1759295332376,-25.61,-60.52,-53.47,792,782,927,910,924,34.48275862068966,0.449,-0.804,0.45
207,1759295332406,-25.63,-60.49,-53.46,787,786,922,912,939,33.333333333333336,0.446,-0.798,0.447
237,1759295332435,-25.71,-60.5,-53.52,787,776,920,913,940,33.333333333333336,0.445,-0.797,0.447
266,1759295332466,-25.76,-60.49,-53.55,791,778,921,938,933,34.48275862068966,0.446,-0.8,0.45
296,1759295332495,-25.73,-60.47,-53.53,787,779,926,905,945,33.333333333333336,0.445,-0.8,0.452
325,1759295332523,-25.71,-60.45,-53.51,784,784,945,905,940,34.48275862068966,0.442,-0.797,0.451
355,1759295332553,-25.72,-60.44,-53.55,785,775,921,910,952,33.333333333333336,0.442,-0.797,0.45
384,1759295332583,-25.77,-60.47,-53.6,786,768,937,898,934,34.48275862068966,0.445,-0.797,0.451
414,1759295332613,-25.78,-60.48,-53.6,780,793,904,936,946,33.333333333333336,0.446,-0.8,0.452
444,1759295332642,-25.73,-60.48,-53.58,795,788,925,903,942,33.333333333333336,0.445,-0.802,0.452
474,1759295332672,-25.71,-60.48,-53.57,789,787,910,910,936,33.333333333333336,0.443,-0.799,0.451
504,1759295332703,-25.7,-60.52,-53.59,786,784,933,918,945,33.333333333333336,0.443,-0.798,0.451
533,1759295332732,-25.68,-60.56,-53.59,790,774,932,906,944,34.48275862068966,0.444,-0.8,0.451
563,1759295332761,-25.64,-60.55,-53.56,794,774,910,921,945,33.333333333333336,0.445,-0.801,0.452
593,1759295332791,-25.61,-60.54,-53.56,777,774,939,910,947,33.333333333333336,0.446,-0.799,0.451
622,1759295332821,-25.65,-60.59,-53.58,791,785,920,899,946,34.48275862068966,0.445,-0.799,0.45
652,1759295332852,-25.65,-60.6,-53.57,787,778,929,924,952,33.333333333333336,0.444,-0.801,0.451
673,1759295332871,-25.64,-60.59,-53.55,785,781,909,927,937,47.61904761904762,0.444,-0.801,0.451
702,1759295332902,-25.62,-60.61,-53.52,784,781,923,913,933,34.48275862068966,0.443,-0.802,0.45
732,1759295332932,-25.62,-60.64,-53.51,788,776,912,922,934,33.333333333333336,0.443,-0.801,0.448
762,1759295332962,-25.64,-60.65,-53.51,792,771,923,906,948,33.333333333333336,0.444,-0.799,0.45
791,1759295332991,-25.67,-60.65,-53.56,778,767,934,908,938,34.48275862068966,0.445,-0.798,0.451
821,1759295333020,-25.72,-60.68,-53.6,790,775,922,879,945,33.333333333333336,0.444,-0.8,0.45
850,1759295333051,-25.71,-60.68,-53.62,786,779,914,914,932,34.48275862068966,0.443,-0.802,0.449
880,1759295333079,-25.69,-60.67,-53.61,781,784,905,906,942,33.333333333333336,0.443,-0.801,0.449
909,1759295333108,-25.7,-60.66,-53.63,788,776,911,915,943,34.48275862068966,0.444,-0.8,0.449
939,1759295333138,-25.71,-60.67,-53.63,789,776,961,906,940,33.333333333333336,0.446,-0.802,0.451
969,1759295333170,-25.67,-60.64,-53.63,786,783,926,911,952,33.333333333333336,0.446,-0.802,0.45
998,1759295333197,-25.68,-60.63,-53.62,786,783,926,903,912,34.48275862068966,0.445,-0.802,0.448
1028,1759295333232,-25.7,-60.62,-53.63,787,784,921,915,947,33.333333333333336,0.446,-0.802,0.449
1058,1759295333262,-25.71,-60.62,-53.65,783,771,901,944,952,33.333333333333336,0.446,-0.8,0.45
1087,1759295333286,-25.73,-60.64,-53.67,784,784,935,902,976,34.48275862068966,0.446,-0.803,0.45
1117,1759295333318,-25.72,-60.62,-53.66,776,782,929,912,933,33.333333333333336,0.446,-0.804,0.45
1146,1759295333352,-25.68,-60.57,-53.63,785,783,928,911,951,34.48275862068966,0.446,-0.802,0.45
1176,1759295333379,-25.69,-60.57,-53.64,788,777,931,909,942,33.333333333333336,0.446,-0.8,0.45
1205,1759295333407,-25.7,-60.58,-53.65,784,774,925,893,940,34.48275862068966,0.444,-0.799,0.449
1235,1759295333437,-25.7,-60.58,-53.67,788,778,905,908,946,33.333333333333336,0.443,-0.799,0.45
1265,1759295333468,-25.68,-60.56,-53.65,788,775,913,918,955,33.333333333333336,0.444,-0.801,0.45
1294,1759295333499,-25.66,-60.56,-53.63,790,786,932,909,949,34.48275862068966,0.443,-0.799,0.45
1314,1759295333523,-25.66,-60.59,-53.64,787,782,933,913,936,50.0,0.444,-0.8,0.449
1344,1759295333547,-25.65,-60.65,-53.63,779,787,921,935,944,33.333333333333336,0.444,-0.802,0.449
1373,1759295333572,-25.64,-60.65,-53.62,785,777,914,915,937,34.48275862068966,0.445,-0.801,0.449
1403,1759295333609,-25.66,-60.66,-53.65,792,783,919,895,951,33.333333333333336,0.446,-0.799,0.449
1433,1759295333638,-25.68,-60.69,-53.65,786,775,907,944,939,33.333333333333336,0.445,-0.802,0.449
1462,1759295333666,-25.66,-60.7,-53.65,783,787,920,924,938,34.48275862068966,0.444,-0.803,0.449
1492,1759295333697,-25.66,-60.69,-53.66,787,792,912,912,934,33.333333333333336,0.443,-0.8,0.448
1521,1759295333728,-25.7,-60.71,-53.7,788,776,931,909,945,34.48275862068966,0.443,-0.801,0.447
1541,1759295333746,-25.72,-60.72,-53.71,789,779,913,896,934,50.0,0.445,-0.805,0.448
1571,1759295333780,-25.69,-60.68,-53.67,784,788,905,906,941,33.333333333333336,0.447,-0.806,0.451
1601,1759295333799,-25.62,-60.73,-53.6,785,777,924,908,937,33.333333333333336,0.447,-0.805,0.45
1630,1759295333836,-25.58,-60.77,-53.62,787,780,919,921,979,34.48275862068966,0.441,-0.803,0.445
1660,1759295333877,-25.65,-60.81,-53.7,791,780,954,924,951,33.333333333333336,0.438,-0.795,0.444
1689,1759295333898,-25.74,-60.86,-53.78,785,788,922,904,941,34.48275862068966,0.441,-0.797,0.446
1719,1759295333921,-25.75,-60.85,-53.81,790,785,925,915,972,33.333333333333336,0.445,-0.804,0.447
1749,1759295333965,-25.74,-60.86,-53.83,785,782,928,910,950,33.333333333333336,0.448,-0.805,0.449
1778,1759295333990,-25.73,-60.88,-53.83,793,777,916,916,936,34.48275862068966,0.448,-0.805,0.448
1808,1759295334015,-25.69,-60.82,-53.81,788,784,923,925,948,33.333333333333336,0.447,-0.802,0.446
1837,1759295334042,-25.68,-60.83,-53.81,788,787,907,899,939,34.48275862068966,0.446,-0.8,0.444
1867,1759295334069,-25.71,-60.86,-53.84,790,788,907,911,946,33.333333333333336,0.445,-0.803,0.446
1896,1759295334099,-25.69,-60.86,-53.82,786,774,912,904,941,34.48275862068966,0.445,-0.804,0.448
1926,1759295334129,-25.62,-60.85,-53.76,785,779,908,910,946,33.333333333333336,0.443,-0.805,0.448
1955,1759295334162,-25.55,-60.83,-53.71,788,782,928,927,923,34.48275862068966,0.441,-0.806,0.445
1985,1759295334194,-25.54,-60.81,-53.72,789,769,906,916,941,33.333333333333336,0.442,-0.801,0.444
2014,1759295334229,-25.59,-60.83,-53.76,785,767,905,910,959,34.48275862068966,0.444,-0.799,0.445
2044,1759295334265,-25.64,-60.83,-53.8,784,789,909,906,941,33.333333333333336,0.445,-0.804,0.446
