timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759295913491,5.74,-97.78,-41.04,785,781,858,880,926,33.333333333333336,-0.096,-1.004,-0.132
29,1759295913521,5.74,-97.78,-41.03,786,795,864,874,896,34.48275862068966,-0.096,-1.004,-0.132
58,1759295913550,5.74,-97.8,-41.03,789,776,868,876,904,34.48275862068966,-0.096,-1.005,-0.132
88,1759295913580,5.74,-97.81,-41.02,782,793,866,868,900,33.333333333333336,-0.096,-1.006,-0.131
118,1759295913610,5.75,-97.79,-41.02,788,781,865,878,899,33.333333333333336,-0.096,-1.006,-0.131
147,1759295913639,5.75,-97.77,-41.02,782,790,867,875,908,34.48275862068966,-0.095,-1.006,-0.132
177,1759295913669,5.74,-97.76,-41.05,786,787,857,876,898,33.333333333333336,-0.095,-1.006,-0.132
207,1759295913699,5.74,-97.77,-41.08,776,777,851,876,891,33.333333333333336,-0.096,-1.006,-0.132
236,1759295913728,5.73,-97.79,-41.09,778,783,865,883,905,34.48275862068966,-0.096,-1.006,-0.131
266,1759295913757,5.73,-97.81,-41.09,788,779,874,875,890,33.333333333333336,-0.096,-1.006,-0.132
295,1759295913787,5.74,-97.8,-41.09,777,771,864,877,896,34.48275862068966,-0.095,-1.006,-0.132
325,1759295913817,5.75,-97.81,-41.11,782,775,857,887,901,33.333333333333336,-0.096,-1.005,-0.133
354,1759295913847,5.74,-97.84,-41.1,776,776,870,875,896,34.48275862068966,-0.096,-1.005,-0.132
375,1759295913867,5.74,-97.85,-41.09,779,779,862,872,901,47.61904761904762,-0.096,-1.006,-0.132
404,1759295913896,5.74,-97.83,-41.07,781,790,852,877,898,34.48275862068966,-0.096,-1.006,-0.132
434,1759295913927,5.74,-97.78,-41.07,782,780,882,891,899,33.333333333333336,-0.095,-1.007,-0.132
464,1759295913956,5.73,-97.72,-41.09,781,772,874,871,897,33.333333333333336,-0.093,-1.007,-0.131
493,1759295913985,5.72,-97.67,-41.13,779,770,864,883,919,34.48275862068966,-0.094,-1.007,-0.131
