timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759296306544,2.33,-80.0,8.13,864,783,779,881,938,33.333333333333336,-0.04,-1.002,0.181
29,1759296306574,2.33,-80.01,8.12,857,776,790,884,917,34.48275862068966,-0.041,-1.002,0.181
59,1759296306603,2.34,-80.0,8.13,863,779,776,878,929,33.333333333333336,-0.041,-1.003,0.182
88,1759296306633,2.34,-80.0,8.12,857,785,786,902,940,34.48275862068966,-0.04,-1.002,0.182
118,1759296306662,2.34,-80.01,8.12,853,788,783,880,944,33.333333333333336,-0.041,-1.003,0.18
147,1759296306691,2.33,-79.99,8.13,857,783,784,894,934,34.48275862068966,-0.04,-1.002,0.182
177,1759296306721,2.35,-79.98,8.11,862,768,780,896,947,33.333333333333336,-0.041,-1.002,0.181
206,1759296306750,2.34,-79.98,8.13,854,786,788,870,932,34.48275862068966,-0.041,-1.003,0.18
236,1759296306780,2.33,-79.96,8.13,853,787,783,894,919,33.333333333333336,-0.041,-1.002,0.181
265,1759296306809,2.33,-79.97,8.13,865,782,774,891,931,34.48275862068966,-0.041,-1.003,0.182
295,1759296306839,2.35,-79.97,8.14,853,784,793,897,928,33.333333333333336,-0.041,-1.003,0.182
324,1759296306868,2.36,-79.98,8.15,852,785,782,884,921,34.48275862068966,-0.041,-1.003,0.182
353,1759296306898,2.36,-79.96,8.15,850,783,790,887,942,34.48275862068966,-0.041,-1.003,0.182
383,1759296306927,2.37,-79.97,8.15,852,779,786,893,930,33.333333333333336,-0.041,-1.003,0.181
412,1759296306957,2.37,-79.97,8.16,856,770,790,894,931,34.48275862068966,-0.041,-1.003,0.183
442,1759296306986,2.37,-79.93,8.16,858,777,781,901,925,33.333333333333336,-0.041,-1.003,0.183
471,1759296307017,2.38,-79.92,8.17,849,791,791,874,939,34.48275862068966,-0.041,-1.003,0.181
501,1759296307046,2.37,-79.93,8.18,855,777,786,878,935,33.333333333333336,-0.041,-1.003,0.182
530,1759296307075,2.37,-79.91,8.18,859,781,785,886,936,34.48275862068966,-0.041,-1.002,0.184
560,1759296307104,2.39,-79.91,8.19,859,777,791,874,934,33.333333333333336,-0.042,-1.002,0.182
589,1759296307134,2.37,-79.93,8.19,856,788,779,887,928,34.48275862068966,-0.041,-1.003,0.182
619,1759296307165,2.35,-79.91,8.2,850,779,792,892,937,33.333333333333336,-0.04,-1.003,0.183
648,1759296307194,2.36,-79.91,8.2,856,784,785,888,923,34.48275862068966,-0.042,-1.002,0.184
678,1759296307222,2.38,-79.94,8.2,860,785,777,885,919,33.333333333333336,-0.042,-1.002,0.183
707,1759296307251,2.37,-79.97,8.22,855,783,789,877,937,34.48275862068966,-0.041,-1.003,0.183
