timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759296720635,8.34,-90.58,-17.7,810,775,784,808,932,33.333333333333336,-0.144,-1.008,-0.006
30,1759296720665,8.35,-90.58,-17.69,811,780,780,796,934,33.333333333333336,-0.145,-1.008,-0.006
59,1759296720695,8.34,-90.61,-17.7,812,774,772,807,930,34.48275862068966,-0.144,-1.008,-0.008
89,1759296720725,8.28,-90.63,-17.72,813,778,784,798,924,33.333333333333336,-0.143,-1.007,-0.007
119,1759296720755,8.25,-90.68,-17.74,810,774,776,805,930,33.333333333333336,-0.144,-1.008,-0.008
149,1759296720785,8.23,-90.66,-17.72,809,778,776,808,932,33.333333333333336,-0.144,-1.008,-0.005
179,1759296720815,8.24,-90.69,-17.71,813,780,775,803,930,33.333333333333336,-0.144,-1.009,-0.005
209,1759296720844,8.25,-90.7,-17.71,811,779,780,806,914,33.333333333333336,-0.144,-1.009,-0.007
238,1759296720874,8.25,-90.66,-17.72,804,767,787,810,937,34.48275862068966,-0.144,-1.01,-0.007
268,1759296720904,8.27,-90.64,-17.7,806,779,774,798,929,33.333333333333336,-0.144,-1.01,-0.007
288,1759296720924,8.28,-90.64,-17.67,809,777,780,810,929,50.0,-0.144,-1.009,-0.007
318,1759296720954,8.3,-90.66,-17.65,808,778,782,800,943,33.333333333333336,-0.144,-1.009,-0.007
348,1759296720984,8.32,-90.63,-17.65,805,780,782,802,927,33.333333333333336,-0.144,-1.008,-0.007
378,1759296721014,8.34,-90.63,-17.62,809,780,802,803,931,33.333333333333336,-0.145,-1.009,-0.008
398,1759296721034,8.35,-90.62,-17.59,815,778,774,803,936,50.0,-0.146,-1.01,-0.009
428,1759296721064,8.35,-90.6,-17.53,808,775,783,804,928,33.333333333333336,-0.146,-1.009,-0.008
458,1759296721094,8.34,-90.52,-17.49,808,778,783,800,946,33.333333333333336,-0.145,-1.008,-0.008
488,1759296721124,8.33,-90.52,-17.47,812,776,770,793,928,33.333333333333336,-0.146,-1.009,-0.008
518,1759296721154,8.31,-90.54,-17.45,810,792,776,798,938,33.333333333333336,-0.146,-1.008,-0.007
547,1759296721183,8.31,-90.56,-17.47,815,776,778,802,931,34.48275862068966,-0.147,-1.007,-0.007
577,1759296721213,8.31,-90.59,-17.48,811,769,774,795,926,33.333333333333336,-0.147,-1.007,-0.007
607,1759296721243,8.27,-90.65,-17.48,807,784,779,798,920,33.333333333333336,-0.148,-1.008,-0.008
637,1759296721273,8.22,-90.66,-17.47,811,781,793,794,921,33.333333333333336,-0.148,-1.007,-0.008
667,1759296721303,8.19,-90.71,-17.46,811,788,783,798,922,33.333333333333336,-0.148,-1.008,-0.007
697,1759296721333,8.2,-90.74,-17.44,811,776,783,796,923,33.333333333333336,-0.149,-1.007,-0.006
727,1759296721364,8.22,-90.7,-17.43,812,769,777,810,932,33.333333333333336,-0.15,-1.007,-0.008
757,1759296721394,8.2,-90.77,-17.41,807,777,781,811,940,33.333333333333336,-0.149,-1.007,-0.009
787,1759296721423,8.17,-90.79,-17.41,802,778,784,803,930,33.333333333333336,-0.149,-1.007,-0.008
817,1759296721455,8.19,-90.79,-17.43,807,783,782,802,917,33.333333333333336,-0.149,-1.006,-0.009
846,1759296721483,8.2,-90.82,-17.44,805,770,783,797,936,34.48275862068966,-0.149,-1.007,-0.009
876,1759296721514,8.2,-90.82,-17.46,807,779,782,817,932,33.333333333333336,-0.15,-1.007,-0.01
906,1759296721542,8.2,-90.83,-17.46,814,767,782,800,929,33.333333333333336,-0.15,-1.007,-0.011
936,1759296721572,8.17,-90.85,-17.44,810,778,783,803,932,33.333333333333336,-0.149,-1.007,-0.01
966,1759296721601,8.17,-90.87,-17.45,802,792,788,798,935,33.333333333333336,-0.149,-1.007,-0.01
996,1759296721633,8.18,-90.88,-17.45,802,777,786,801,933,33.333333333333336,-0.15,-1.008,-0.011
1025,1759296721666,8.18,-90.9,-17.44,810,781,782,802,926,34.48275862068966,-0.15,-1.007,-0.011
1055,1759296721693,8.17,-90.91,-17.43,815,773,786,819,933,33.333333333333336,-0.15,-1.008,-0.011
1085,1759296721723,8.17,-90.92,-17.41,809,779,772,792,926,33.333333333333336,-0.149,-1.007,-0.011
1115,1759296721754,8.19,-90.91,-17.42,810,768,786,798,924,33.333333333333336,-0.15,-1.007,-0.011
1135,1759296721771,8.21,-90.89,-17.42,812,777,773,801,927,50.0,-0.149,-1.007,-0.01
1165,1759296721803,8.22,-90.9,-17.41,808,785,775,809,918,33.333333333333336,-0.15,-1.008,-0.012
1185,1759296721822,8.2,-90.93,-17.4,810,780,787,813,934,50.0,-0.151,-1.007,-0.013
1215,1759296721858,8.18,-90.94,-17.4,805,779,780,812,930,33.333333333333336,-0.15,-1.006,-0.011
1245,1759296721886,8.19,-90.94,-17.41,799,785,777,805,933,33.333333333333336,-0.15,-1.007,-0.011
1275,1759296721917,8.21,-90.95,-17.4,813,778,776,809,940,33.333333333333336,-0.15,-1.008,-0.012
1305,1759296721948,8.21,-90.96,-17.38,809,778,788,802,929,33.333333333333336,-0.15,-1.007,-0.012
1335,1759296721971,8.21,-90.96,-17.39,803,776,779,787,937,33.333333333333336,-0.151,-1.007,-0.013
1365,1759296722006,8.21,-90.99,-17.39,808,781,777,796,927,33.333333333333336,-0.151,-1.007,-0.013
1385,1759296722030,8.21,-91.0,-17.38,811,773,783,804,932,50.0,-0.15,-1.007,-0.012
1405,1759296722043,8.22,-91.0,-17.37,811,769,781,815,940,50.0,-0.151,-1.008,-0.013
1435,1759296722082,8.22,-90.97,-17.36,809,776,781,796,939,33.333333333333336,-0.15,-1.007,-0.012
1465,1759296722110,8.22,-90.97,-17.36,805,770,773,809,919,33.333333333333336,-0.15,-1.008,-0.013
1485,1759296722124,8.22,-90.99,-17.35,807,778,775,805,953,50.0,-0.151,-1.007,-0.014
1515,1759296722155,8.21,-91.01,-17.34,803,778,781,804,925,33.333333333333336,-0.15,-1.008,-0.012
1545,1759296722186,8.22,-91.0,-17.35,810,779,780,810,930,33.333333333333336,-0.151,-1.008,-0.013
1565,1759296722204,8.23,-91.0,-17.34,805,780,789,804,930,50.0,-0.153,-1.008,-0.013
1595,1759296722237,8.23,-91.0,-17.31,809,772,787,799,919,33.333333333333336,-0.152,-1.008,-0.014
1625,1759296722273,8.23,-91.03,-17.31,810,782,793,799,929,33.333333333333336,-0.151,-1.007,-0.013
1645,1759296722292,8.24,-91.05,-17.31,809,778,777,809,922,50.0,-0.152,-1.008,-0.014
1675,1759296722313,8.26,-91.04,-17.29,805,781,781,797,927,33.333333333333336,-0.153,-1.007,-0.014
1695,1759296722333,8.28,-91.02,-17.28,819,775,786,800,930,50.0,-0.153,-1.007,-0.014
1725,1759296722375,8.28,-91.03,-17.25,804,780,779,800,926,33.333333333333336,-0.153,-1.007,-0.014
1755,1759296722397,8.27,-91.08,-17.25,809,779,777,820,934,33.333333333333336,-0.153,-1.008,-0.014
1785,1759296722421,8.27,-91.1,-17.25,806,776,785,807,930,33.333333333333336,-0.153,-1.008,-0.013
1805,1759296722445,8.28,-91.08,-17.26,815,784,787,806,934,50.0,-0.153,-1.008,-0.012
1835,1759296722470,8.31,-91.05,-17.26,810,780,779,805,931,33.333333333333336,-0.153,-1.008,-0.014
1865,1759296722521,8.3,-91.06,-17.26,813,771,780,800,935,33.333333333333336,-0.153,-1.006,-0.014
1894,1759296722548,8.29,-91.04,-17.27,800,784,778,794,923,34.48275862068966,-0.153,-1.007,-0.014
