timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759297204168,51.59,29.78,-13.3,829,819,802,887,898,34.48275862068966,-0.785,0.292,0.536
30,1759297204198,51.59,29.79,-13.3,824,816,812,881,893,33.333333333333336,-0.785,0.292,0.535
59,1759297204227,51.6,29.79,-13.32,840,809,814,878,896,34.48275862068966,-0.785,0.292,0.535
88,1759297204257,51.6,29.78,-13.33,821,821,804,896,889,34.48275862068966,-0.785,0.293,0.535
118,1759297204286,51.6,29.79,-13.33,828,815,800,873,897,33.333333333333336,-0.785,0.292,0.535
148,1759297204315,51.61,29.81,-13.34,825,822,814,869,887,33.333333333333336,-0.785,0.293,0.535
177,1759297204345,51.61,29.82,-13.35,825,815,808,875,894,34.48275862068966,-0.785,0.293,0.534
207,1759297204374,51.61,29.81,-13.36,830,818,808,880,894,33.333333333333336,-0.785,0.293,0.534
236,1759297204404,51.63,29.82,-13.36,835,827,808,875,886,34.48275862068966,-0.785,0.292,0.534
266,1759297204434,51.63,29.84,-13.37,829,816,810,886,904,33.333333333333336,-0.786,0.292,0.534
295,1759297204463,51.64,29.85,-13.38,822,823,804,864,897,34.48275862068966,-0.785,0.292,0.535
324,1759297204492,51.65,29.87,-13.38,818,816,810,887,896,34.48275862068966,-0.785,0.292,0.535
354,1759297204522,51.66,29.87,-13.38,821,813,818,880,895,33.333333333333336,-0.786,0.293,0.534
383,1759297204551,51.67,29.87,-13.38,819,822,807,876,899,34.48275862068966,-0.786,0.293,0.533
413,1759297204581,51.68,29.89,-13.38,820,827,810,877,898,33.333333333333336,-0.786,0.293,0.533
442,1759297204610,51.68,29.89,-13.38,821,829,810,868,900,34.48275862068966,-0.786,0.292,0.533
472,1759297204640,51.69,29.89,-13.37,835,818,810,879,902,33.333333333333336,-0.787,0.293,0.534
501,1759297204670,51.69,29.88,-13.37,826,824,800,871,895,34.48275862068966,-0.785,0.295,0.532
531,1759297204699,51.67,29.88,-13.39,831,823,809,882,899,33.333333333333336,-0.785,0.294,0.532
560,1759297204730,51.66,29.89,-13.4,825,825,807,885,896,34.48275862068966,-0.786,0.293,0.533
590,1759297204759,51.67,29.9,-13.4,818,823,819,864,909,33.333333333333336,-0.786,0.293,0.534
619,1759297204789,51.69,29.91,-13.39,826,822,808,860,891,34.48275862068966,-0.786,0.293,0.533
648,1759297204818,51.68,29.92,-13.39,818,826,820,883,894,34.48275862068966,-0.785,0.294,0.532
678,1759297204848,51.67,29.92,-13.41,817,822,806,871,898,33.333333333333336,-0.785,0.294,0.532
708,1759297204878,51.67,29.93,-13.42,834,818,814,873,891,33.333333333333336,-0.785,0.294,0.533
737,1759297204907,51.69,29.94,-13.41,828,812,803,878,895,34.48275862068966,-0.786,0.293,0.533
767,1759297204937,51.69,29.94,-13.41,832,824,814,875,903,33.333333333333336,-0.786,0.294,0.532
796,1759297204965,51.68,29.95,-13.41,832,826,807,882,900,34.48275862068966,-0.785,0.294,0.531
826,1759297204995,51.67,29.95,-13.43,818,824,806,887,906,33.333333333333336,-0.785,0.294,0.531
855,1759297205025,51.67,29.96,-13.44,833,810,802,878,892,34.48275862068966,-0.786,0.294,0.532
885,1759297205053,51.69,29.97,-13.44,829,826,807,881,891,33.333333333333336,-0.787,0.293,0.533
914,1759297205082,51.69,29.97,-13.43,819,824,805,883,884,34.48275862068966,-0.787,0.294,0.532
943,1759297205112,51.69,29.99,-13.43,822,817,808,883,904,34.48275862068966,-0.786,0.294,0.532
973,1759297205142,51.7,30.0,-13.43,833,822,805,872,892,33.333333333333336,-0.786,0.295,0.533
1002,1759297205170,51.69,30.01,-13.43,825,825,798,881,907,34.48275862068966,-0.786,0.294,0.532
1032,1759297205205,51.69,30.01,-13.42,826,818,809,874,900,33.333333333333336,-0.786,0.294,0.532
1061,1759297205234,51.7,30.03,-13.42,824,833,811,886,897,34.48275862068966,-0.786,0.294,0.532
1090,1759297205264,51.7,30.03,-13.42,837,826,815,872,894,34.48275862068966,-0.786,0.294,0.532
1120,1759297205288,51.7,30.02,-13.42,823,824,806,886,906,33.333333333333336,-0.786,0.295,0.532
1150,1759297205321,51.71,30.03,-13.42,821,821,811,858,902,33.333333333333336,-0.786,0.295,0.533
1179,1759297205347,51.72,30.05,-13.41,821,821,815,889,900,34.48275862068966,-0.787,0.294,0.532
1209,1759297205377,51.72,30.05,-13.41,826,823,808,884,888,33.333333333333336,-0.786,0.295,0.532
1238,1759297205406,51.72,30.04,-13.41,829,828,823,883,896,34.48275862068966,-0.786,0.297,0.532
1268,1759297205436,51.71,30.03,-13.4,829,829,813,878,899,33.333333333333336,-0.785,0.296,0.531
1297,1759297205468,51.71,30.03,-13.41,830,820,818,874,893,34.48275862068966,-0.786,0.295,0.531
1326,1759297205502,51.71,30.04,-13.41,835,829,811,871,902,34.48275862068966,-0.786,0.295,0.532
1356,1759297205526,51.71,30.05,-13.41,825,823,803,882,892,33.333333333333336,-0.786,0.295,0.531
1385,1759297205564,51.71,30.04,-13.42,829,819,804,894,904,34.48275862068966,-0.786,0.295,0.531
1415,1759297205591,51.7,30.03,-13.42,838,810,804,879,885,33.333333333333336,-0.786,0.296,0.531
1444,1759297205620,51.69,30.03,-13.43,825,822,808,874,897,34.48275862068966,-0.786,0.295,0.532
1474,1759297205649,51.68,30.04,-13.44,816,802,811,876,906,33.333333333333336,-0.786,0.295,0.531
1503,1759297205679,51.68,30.05,-13.45,821,820,802,866,901,34.48275862068966,-0.786,0.294,0.532
1533,1759297205711,51.69,30.05,-13.45,828,822,811,872,889,33.333333333333336,-0.786,0.295,0.532
1562,1759297205745,51.69,30.05,-13.44,825,828,810,882,924,34.48275862068966,-0.786,0.294,0.532
1591,1759297205762,51.7,30.05,-13.44,824,799,810,873,900,34.48275862068966,-0.786,0.294,0.531
1621,1759297205795,51.71,30.05,-13.44,833,823,813,869,905,33.333333333333336,-0.786,0.294,0.531
1650,1759297205832,51.71,30.05,-13.45,825,821,808,885,898,34.48275862068966,-0.785,0.295,0.532
1680,1759297205851,51.72,30.05,-13.45,832,815,815,876,895,33.333333333333336,-0.786,0.296,0.532
1709,1759297205890,51.74,30.06,-13.44,827,821,806,867,899,34.48275862068966,-0.785,0.296,0.531
1739,1759297205910,51.73,30.04,-13.45,833,821,814,880,889,33.333333333333336,-0.785,0.296,0.53
1768,1759297205954,51.71,30.03,-13.48,827,823,811,874,881,34.48275862068966,-0.785,0.296,0.531
