timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759297482593,54.63,30.46,15.32,894,779,789,800,829,34.48275862068966,-0.811,0.293,0.494
30,1759297482623,54.62,30.48,15.33,895,796,793,806,838,33.333333333333336,-0.811,0.292,0.493
59,1759297482652,54.61,30.5,14.87,902,780,794,807,843,34.48275862068966,-0.811,0.292,0.493
89,1759297482681,54.59,30.49,14.87,898,789,787,800,838,33.333333333333336,-0.811,0.292,0.494
118,1759297482711,54.59,30.48,14.86,896,783,790,796,840,34.48275862068966,-0.811,0.293,0.495
148,1759297482740,54.14,30.48,14.85,901,788,791,800,843,33.333333333333336,-0.811,0.293,0.494
177,1759297482770,54.14,30.46,14.84,900,784,785,797,844,34.48275862068966,-0.81,0.293,0.494
207,1759297482799,54.11,30.46,14.82,897,791,792,810,836,33.333333333333336,-0.809,0.293,0.495
236,1759297482829,54.09,30.45,14.77,897,791,800,804,835,34.48275862068966,-0.81,0.293,0.496
265,1759297482859,54.07,30.42,14.73,893,792,799,803,831,34.48275862068966,-0.81,0.291,0.497
295,1759297482888,54.09,30.43,14.71,896,788,789,804,847,33.333333333333336,-0.811,0.292,0.497
324,1759297482918,54.1,30.42,14.7,900,779,792,806,843,34.48275862068966,-0.811,0.291,0.496
354,1759297482947,54.08,30.37,14.68,892,787,771,794,833,33.333333333333336,-0.81,0.29,0.495
383,1759297482976,54.06,30.31,14.65,891,795,792,804,839,34.48275862068966,-0.81,0.289,0.495
413,1759297483005,54.08,30.29,14.62,898,790,787,802,839,33.333333333333336,-0.811,0.288,0.497
442,1759297483035,54.1,30.28,14.59,895,800,794,800,840,34.48275862068966,-0.81,0.288,0.497
471,1759297483065,54.08,30.28,14.56,892,789,799,831,837,34.48275862068966,-0.81,0.288,0.498
501,1759297483094,54.08,30.29,14.52,893,778,784,808,839,33.333333333333336,-0.81,0.286,0.5
530,1759297483125,54.07,30.31,14.51,890,788,790,803,839,34.48275862068966,-0.81,0.285,0.501
560,1759297483153,54.05,30.32,14.5,900,781,788,807,834,33.333333333333336,-0.81,0.286,0.5
589,1759297483182,54.02,30.3,14.47,894,785,794,806,835,34.48275862068966,-0.811,0.286,0.497
619,1759297483212,53.95,30.26,14.45,890,789,795,809,839,33.333333333333336,-0.81,0.285,0.497
648,1759297483242,53.96,30.22,14.43,897,775,789,803,843,34.48275862068966,-0.811,0.284,0.5
678,1759297483272,53.99,30.21,14.43,899,788,796,801,840,33.333333333333336,-0.812,0.283,0.5
707,1759297483300,54.03,30.18,14.41,895,785,790,795,836,34.48275862068966,-0.812,0.283,0.5
737,1759297483329,54.06,30.17,14.43,901,791,795,809,842,33.333333333333336,-0.812,0.283,0.501
766,1759297483359,54.09,30.17,14.45,895,785,795,808,837,34.48275862068966,-0.811,0.282,0.501
795,1759297483388,54.12,30.17,14.45,896,782,791,799,851,34.48275862068966,-0.81,0.284,0.501
825,1759297483418,54.14,30.15,14.42,891,775,794,800,836,33.333333333333336,-0.81,0.284,0.5
855,1759297483449,54.17,30.14,14.42,897,781,788,802,839,33.333333333333336,-0.81,0.285,0.5
884,1759297483477,54.18,30.14,14.4,892,790,792,804,826,34.48275862068966,-0.809,0.284,0.5
913,1759297483510,54.19,30.14,14.38,898,785,782,810,834,34.48275862068966,-0.81,0.283,0.499
943,1759297483536,54.2,30.11,14.35,897,787,795,809,842,33.333333333333336,-0.81,0.281,0.5
972,1759297483567,54.23,30.12,14.36,883,775,787,804,833,34.48275862068966,-0.812,0.282,0.499
1002,1759297483595,54.25,30.12,14.37,901,788,781,798,833,33.333333333333336,-0.811,0.283,0.499
1031,1759297483629,54.24,30.11,14.34,898,784,795,807,835,34.48275862068966,-0.809,0.284,0.498
1060,1759297483658,54.23,30.1,14.29,894,782,794,813,833,34.48275862068966,-0.811,0.283,0.498
