timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759299975314,-6.65,-44.67,-53.87,875,755,784,857,940,33.333333333333336,0.124,-0.73,0.7
29,1759299975343,-6.67,-44.66,-53.88,872,747,790,867,932,34.48275862068966,0.126,-0.726,0.701
59,1759299975373,-6.7,-44.67,-53.91,871,744,781,859,944,33.333333333333336,0.124,-0.729,0.699
89,1759299975403,-6.69,-44.68,-53.92,874,751,796,884,935,33.333333333333336,0.124,-0.728,0.699
119,1759299975433,-6.7,-44.74,-53.93,869,739,788,866,940,33.333333333333336,0.125,-0.728,0.701
149,1759299975463,-6.68,-44.7,-53.92,862,747,790,875,936,33.333333333333336,0.124,-0.73,0.7
179,1759299975493,-6.67,-44.71,-53.92,877,749,789,866,939,33.333333333333336,0.124,-0.728,0.699
208,1759299975522,-6.67,-44.75,-53.94,866,745,785,874,937,34.48275862068966,0.124,-0.727,0.699
238,1759299975553,-6.68,-44.8,-53.95,885,742,782,866,973,33.333333333333336,0.124,-0.729,0.699
258,1759299975572,-6.68,-44.82,-53.95,863,755,783,874,951,50.0,0.123,-0.73,0.699
288,1759299975603,-6.69,-44.8,-53.96,870,759,790,853,935,33.333333333333336,0.124,-0.73,0.698
318,1759299975632,-6.69,-44.8,-53.97,876,749,792,881,936,33.333333333333336,0.123,-0.731,0.698
348,1759299975662,-6.7,-44.79,-53.98,868,750,789,864,935,33.333333333333336,0.124,-0.728,0.699
378,1759299975692,-6.68,-44.82,-53.98,874,764,785,892,929,33.333333333333336,0.123,-0.73,0.699
408,1759299975722,-6.67,-44.78,-54.0,871,753,796,865,936,33.333333333333336,0.124,-0.73,0.698
428,1759299975742,-6.68,-44.79,-54.02,869,753,791,868,939,50.0,0.124,-0.727,0.699
458,1759299975772,-6.69,-44.84,-54.05,867,752,784,883,919,33.333333333333336,0.124,-0.73,0.698
487,1759299975801,-6.67,-44.82,-54.05,862,746,797,865,939,34.48275862068966,0.124,-0.732,0.698
517,1759299975832,-6.68,-44.81,-54.05,872,758,792,875,922,33.333333333333336,0.125,-0.73,0.699
547,1759299975861,-6.68,-44.83,-54.05,870,756,795,878,938,33.333333333333336,0.124,-0.733,0.698
577,1759299975891,-6.68,-44.79,-54.04,878,746,791,870,964,33.333333333333336,0.123,-0.731,0.697
607,1759299975922,-6.69,-44.79,-54.05,866,751,790,853,934,33.333333333333336,0.124,-0.729,0.698
636,1759299975951,-6.69,-44.81,-54.05,878,743,776,867,947,34.48275862068966,0.123,-0.732,0.698
666,1759299975982,-6.66,-44.78,-54.04,873,757,795,866,938,33.333333333333336,0.123,-0.731,0.698
686,1759299976001,-6.66,-44.79,-54.04,873,748,784,875,934,50.0,0.123,-0.73,0.698
716,1759299976030,-6.68,-44.79,-54.06,874,742,790,875,935,33.333333333333336,0.124,-0.729,0.698
746,1759299976060,-6.71,-44.8,-54.08,872,739,782,867,926,33.333333333333336,0.123,-0.731,0.697
776,1759299976092,-6.72,-44.85,-54.08,871,745,791,868,937,33.333333333333336,0.123,-0.732,0.697
806,1759299976121,-6.75,-44.87,-54.08,863,753,797,867,934,33.333333333333336,0.123,-0.733,0.698
826,1759299976142,-6.74,-44.84,-54.08,881,742,795,865,937,50.0,0.122,-0.731,0.699
856,1759299976173,-6.7,-44.85,-54.08,880,719,794,855,933,33.333333333333336,0.122,-0.731,0.698
886,1759299976200,-6.69,-44.88,-54.09,867,755,797,871,925,33.333333333333336,0.122,-0.73,0.696
916,1759299976230,-6.67,-44.9,-54.11,874,753,789,876,933,33.333333333333336,0.121,-0.732,0.695
946,1759299976260,-6.67,-44.87,-54.13,873,734,794,863,934,33.333333333333336,0.124,-0.731,0.698
976,1759299976294,-6.69,-44.91,-54.15,866,738,790,867,945,33.333333333333336,0.123,-0.734,0.697
1005,1759299976322,-6.69,-44.84,-54.16,865,734,798,868,937,34.48275862068966,0.123,-0.733,0.696
1035,1759299976351,-6.72,-44.86,-54.19,876,741,798,873,934,33.333333333333336,0.124,-0.73,0.697
