timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759300333359,36.82,24.76,-30.43,821,858,788,804,851,34.48275862068966,-0.604,0.334,0.717
29,1759300333389,36.83,24.76,-30.45,822,848,786,810,848,34.48275862068966,-0.605,0.334,0.716
59,1759300333418,36.86,24.79,-30.46,822,856,789,807,847,33.333333333333336,-0.605,0.335,0.716
88,1759300333447,36.88,24.82,-30.47,815,856,790,811,859,34.48275862068966,-0.605,0.335,0.715
118,1759300333477,36.88,24.81,-30.48,819,860,779,807,856,33.333333333333336,-0.605,0.335,0.714
147,1759300333506,36.87,24.79,-30.49,820,853,775,793,845,34.48275862068966,-0.604,0.338,0.714
177,1759300333536,36.87,24.8,-30.51,817,850,783,808,847,33.333333333333336,-0.602,0.34,0.714
206,1759300333565,36.86,24.78,-30.55,818,859,795,803,844,34.48275862068966,-0.604,0.338,0.714
235,1759300333595,36.85,24.75,-30.58,829,854,784,802,848,34.48275862068966,-0.606,0.335,0.713
265,1759300333624,36.85,24.71,-30.59,817,851,778,808,844,33.333333333333336,-0.606,0.335,0.714
294,1759300333653,36.86,24.73,-30.58,827,850,783,813,850,34.48275862068966,-0.605,0.336,0.714
324,1759300333683,36.91,24.7,-30.63,821,843,789,805,849,33.333333333333336,-0.606,0.336,0.714
353,1759300333713,36.95,24.7,-30.69,818,856,789,811,844,34.48275862068966,-0.606,0.335,0.714
383,1759300333743,37.02,24.75,-30.75,825,852,791,801,831,33.333333333333336,-0.605,0.335,0.717
403,1759300333762,37.05,24.77,-30.75,824,855,787,806,845,50.0,-0.606,0.333,0.717
433,1759300333792,37.06,24.76,-30.77,820,863,790,803,845,33.333333333333336,-0.608,0.33,0.716
462,1759300333822,37.1,24.78,-30.77,821,854,778,804,839,34.48275862068966,-0.608,0.33,0.715
491,1759300333851,37.11,24.8,-30.79,821,852,779,803,844,34.48275862068966,-0.609,0.332,0.712
