timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759300674730,7.95,-64.53,-58.78,798,792,791,869,884,33.333333333333336,-0.154,-0.911,0.425
29,1759300674759,7.98,-64.49,-58.79,800,786,782,909,881,34.48275862068966,-0.155,-0.912,0.424
58,1759300674789,8.0,-64.42,-58.78,790,791,795,890,873,34.48275862068966,-0.156,-0.912,0.423
88,1759300674818,8.0,-64.44,-58.76,794,768,789,882,863,33.333333333333336,-0.156,-0.911,0.424
118,1759300674848,8.01,-64.38,-58.74,791,782,778,903,869,33.333333333333336,-0.155,-0.911,0.426
147,1759300674878,8.01,-64.36,-58.74,797,785,790,885,882,34.48275862068966,-0.155,-0.91,0.427
177,1759300674907,8.01,-64.32,-58.72,792,788,786,892,885,33.333333333333336,-0.157,-0.911,0.426
206,1759300674937,8.06,-64.27,-58.7,796,786,788,896,868,34.48275862068966,-0.157,-0.908,0.425
236,1759300674966,8.11,-64.28,-58.71,794,781,780,895,884,33.333333333333336,-0.156,-0.909,0.428
266,1759300674996,8.16,-64.27,-58.7,797,781,783,907,883,33.333333333333336,-0.158,-0.91,0.427
295,1759300675025,8.18,-64.25,-58.69,791,790,783,870,868,34.48275862068966,-0.157,-0.91,0.427
325,1759300675055,8.18,-64.26,-58.71,787,794,784,886,870,33.333333333333336,-0.157,-0.91,0.428
354,1759300675085,8.17,-64.26,-58.72,797,788,784,875,879,34.48275862068966,-0.158,-0.91,0.427
384,1759300675114,8.15,-64.22,-58.72,793,787,785,886,863,33.333333333333336,-0.159,-0.911,0.427
413,1759300675143,8.16,-64.14,-58.69,789,785,792,895,873,34.48275862068966,-0.159,-0.911,0.428
443,1759300675173,8.19,-64.09,-58.66,798,781,790,896,868,33.333333333333336,-0.159,-0.91,0.43
472,1759300675202,8.23,-64.14,-58.63,793,774,772,865,891,34.48275862068966,-0.159,-0.908,0.43
501,1759300675233,8.22,-64.19,-58.65,791,784,778,894,895,34.48275862068966,-0.16,-0.907,0.43
531,1759300675262,8.25,-64.22,-58.67,793,786,782,902,873,33.333333333333336,-0.16,-0.908,0.43
560,1759300675291,8.32,-64.14,-58.65,798,776,780,877,878,34.48275862068966,-0.161,-0.909,0.43
590,1759300675321,8.37,-64.14,-58.61,798,783,781,876,862,33.333333333333336,-0.16,-0.908,0.43
619,1759300675350,8.36,-64.14,-58.61,795,788,787,901,875,34.48275862068966,-0.16,-0.907,0.431
649,1759300675379,8.36,-64.13,-58.63,798,784,789,864,877,33.333333333333336,-0.161,-0.906,0.431
678,1759300675409,8.36,-64.13,-58.67,801,788,781,861,854,34.48275862068966,-0.161,-0.905,0.431
708,1759300675440,8.38,-64.09,-58.68,793,791,789,891,874,33.333333333333336,-0.162,-0.908,0.431
738,1759300675469,8.41,-64.06,-58.66,796,778,778,886,877,33.333333333333336,-0.163,-0.909,0.433
767,1759300675501,8.42,-64.04,-58.66,794,786,788,884,885,34.48275862068966,-0.161,-0.907,0.433
797,1759300675529,8.42,-64.07,-58.69,791,791,788,887,866,33.333333333333336,-0.161,-0.906,0.433
826,1759300675559,8.45,-64.06,-58.69,789,793,782,889,876,34.48275862068966,-0.162,-0.907,0.432
856,1759300675591,8.44,-64.09,-58.71,795,782,781,895,866,33.333333333333336,-0.162,-0.907,0.432
885,1759300675619,8.46,-64.11,-58.72,792,790,782,875,879,34.48275862068966,-0.162,-0.908,0.433
915,1759300675648,8.48,-64.11,-58.69,798,780,787,886,868,33.333333333333336,-0.162,-0.909,0.433
944,1759300675677,8.49,-64.09,-58.66,796,770,784,883,864,34.48275862068966,-0.162,-0.908,0.433
973,1759300675709,8.52,-64.05,-58.64,797,782,785,885,882,34.48275862068966,-0.163,-0.907,0.432
1003,1759300675737,8.53,-64.01,-58.64,790,787,784,873,870,33.333333333333336,-0.163,-0.906,0.432
1032,1759300675765,8.52,-64.04,-58.67,793,788,784,896,876,34.48275862068966,-0.162,-0.906,0.433
1062,1759300675795,8.5,-64.07,-58.68,801,785,781,872,868,33.333333333333336,-0.163,-0.907,0.432
1092,1759300675827,8.5,-64.05,-58.66,796,789,797,895,889,33.333333333333336,-0.163,-0.908,0.432
1121,1759300675852,8.51,-63.99,-58.64,792,780,787,891,873,34.48275862068966,-0.162,-0.907,0.434
1151,1759300675887,8.51,-64.03,-58.65,794,786,782,889,840,33.333333333333336,-0.163,-0.907,0.434
1181,1759300675914,8.52,-64.04,-58.63,795,787,775,866,885,33.333333333333336,-0.164,-0.907,0.432
1210,1759300675942,8.52,-64.0,-58.61,794,788,787,885,880,34.48275862068966,-0.165,-0.907,0.432
1240,1759300675972,8.53,-63.95,-58.6,795,779,782,894,858,33.333333333333336,-0.165,-0.906,0.433
1269,1759300676003,8.53,-63.98,-58.61,791,791,783,895,882,34.48275862068966,-0.165,-0.905,0.434
1299,1759300676037,8.54,-63.99,-58.61,796,781,793,888,888,33.333333333333336,-0.165,-0.906,0.433
1328,1759300676060,8.6,-63.91,-58.59,796,786,787,884,877,34.48275862068966,-0.166,-0.906,0.433
1358,1759300676096,8.63,-63.86,-58.59,790,783,769,884,867,33.333333333333336,-0.165,-0.906,0.434
1387,1759300676122,8.63,-63.88,-58.59,795,786,784,870,873,34.48275862068966,-0.165,-0.905,0.434
1417,1759300676150,8.63,-63.91,-58.61,797,788,788,873,873,33.333333333333336,-0.166,-0.904,0.434
1446,1759300676178,8.71,-63.86,-58.62,790,792,783,879,879,34.48275862068966,-0.167,-0.904,0.434
1476,1759300676210,8.78,-63.79,-58.62,787,789,789,882,859,33.333333333333336,-0.167,-0.905,0.434
1506,1759300676240,8.8,-63.8,-58.65,797,770,773,877,910,33.333333333333336,-0.166,-0.904,0.436
1535,1759300676275,8.8,-63.85,-58.66,795,785,773,884,876,34.48275862068966,-0.167,-0.906,0.436
