timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759300926554,13.57,-66.93,-9.44,785,786,784,796,896,34.48275862068966,-0.243,-0.906,0.395
30,1759300926583,13.59,-66.95,-9.45,789,790,781,799,902,33.333333333333336,-0.243,-0.906,0.395
59,1759300926613,13.6,-66.93,-9.47,792,782,775,796,899,34.48275862068966,-0.243,-0.906,0.393
89,1759300926642,13.58,-66.9,-9.49,786,787,793,811,887,33.333333333333336,-0.243,-0.906,0.393
118,1759300926672,13.56,-66.95,-9.51,794,789,785,808,899,34.48275862068966,-0.243,-0.907,0.393
148,1759300926701,13.61,-66.9,-9.49,793,787,790,794,903,33.333333333333336,-0.242,-0.909,0.394
178,1759300926731,13.62,-66.89,-9.49,792,779,783,806,887,33.333333333333336,-0.241,-0.907,0.393
207,1759300926760,13.62,-66.86,-9.52,795,785,786,816,910,34.48275862068966,-0.241,-0.905,0.392
237,1759300926790,13.62,-66.91,-9.53,789,783,789,810,900,33.333333333333336,-0.243,-0.908,0.393
266,1759300926820,13.66,-66.86,-9.51,782,785,773,786,904,34.48275862068966,-0.242,-0.908,0.394
296,1759300926849,13.67,-66.84,-9.51,785,795,783,809,895,33.333333333333336,-0.242,-0.906,0.394
326,1759300926879,13.68,-66.84,-9.55,789,793,792,805,893,33.333333333333336,-0.242,-0.905,0.392
355,1759300926909,13.67,-66.88,-9.57,786,787,779,803,900,34.48275862068966,-0.243,-0.906,0.392
385,1759300926938,13.72,-66.85,-9.57,787,790,779,800,885,33.333333333333336,-0.242,-0.907,0.394
414,1759300926967,13.75,-66.83,-9.57,780,785,781,806,898,34.48275862068966,-0.241,-0.907,0.393
444,1759300926997,13.74,-66.85,-9.58,790,783,781,805,893,33.333333333333336,-0.242,-0.908,0.391
473,1759300927026,13.75,-66.85,-9.57,787,791,771,806,891,34.48275862068966,-0.242,-0.908,0.391
502,1759300927056,13.76,-66.83,-9.55,795,783,794,801,899,34.48275862068966,-0.242,-0.909,0.392
532,1759300927086,13.75,-66.8,-9.54,783,788,791,809,894,33.333333333333336,-0.242,-0.909,0.391
562,1759300927116,13.74,-66.78,-9.5,795,787,778,806,896,33.333333333333336,-0.242,-0.91,0.39
591,1759300927145,13.71,-66.77,-9.44,786,787,788,816,895,34.48275862068966,-0.243,-0.909,0.39
621,1759300927174,13.67,-66.74,-9.41,787,778,783,794,891,33.333333333333336,-0.243,-0.907,0.39
650,1759300927203,13.61,-66.72,-9.38,795,788,775,798,896,34.48275862068966,-0.243,-0.906,0.39
680,1759300927234,13.55,-66.7,-9.35,782,784,786,793,902,33.333333333333336,-0.245,-0.906,0.393
700,1759300927253,13.52,-66.67,-9.32,785,779,780,812,884,50.0,-0.246,-0.907,0.395
729,1759300927285,13.49,-66.66,-9.3,786,781,788,811,899,34.48275862068966,-0.246,-0.905,0.395
759,1759300927315,13.45,-66.64,-9.29,787,781,784,803,895,33.333333333333336,-0.244,-0.904,0.395
788,1759300927341,13.42,-66.67,-9.33,793,781,784,808,895,34.48275862068966,-0.242,-0.903,0.397
818,1759300927374,13.43,-66.66,-9.37,790,782,792,803,910,33.333333333333336,-0.242,-0.905,0.398
847,1759300927404,13.48,-66.63,-9.37,790,784,797,804,897,34.48275862068966,-0.242,-0.907,0.398
877,1759300927430,13.54,-66.58,-9.35,789,789,791,802,894,33.333333333333336,-0.243,-0.906,0.397
906,1759300927463,13.56,-66.59,-9.37,790,778,789,805,901,34.48275862068966,-0.243,-0.905,0.395
936,1759300927493,13.56,-66.59,-9.4,792,781,790,798,904,33.333333333333336,-0.243,-0.905,0.394
966,1759300927519,13.58,-66.59,-9.39,788,789,785,803,894,33.333333333333336,-0.244,-0.906,0.393
995,1759300927550,13.6,-66.57,-9.36,792,798,779,810,894,34.48275862068966,-0.244,-0.907,0.394
1025,1759300927578,13.6,-66.54,-9.34,791,784,795,807,890,33.333333333333336,-0.243,-0.906,0.395
1054,1759300927613,13.59,-66.51,-9.34,788,795,795,799,908,34.48275862068966,-0.243,-0.905,0.394
1084,1759300927642,13.6,-66.52,-9.32,782,784,798,804,889,33.333333333333336,-0.245,-0.907,0.392
1113,1759300927666,13.59,-66.52,-9.27,794,789,784,796,889,34.48275862068966,-0.245,-0.906,0.393
1143,1759300927698,13.56,-66.5,-9.23,795,771,784,795,900,33.333333333333336,-0.243,-0.905,0.395
