timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759301450963,9.16,-71.74,-45.47,786,842,781,833,877,33.333333333333336,-0.134,-0.945,0.355
20,1759301450983,9.2,-71.77,-45.5,776,845,781,845,887,50.0,-0.135,-0.948,0.353
40,1759301451003,9.22,-71.77,-45.51,785,840,780,822,874,50.0,-0.136,-0.951,0.349
60,1759301451023,9.23,-71.76,-45.49,782,848,778,815,876,50.0,-0.137,-0.951,0.346
90,1759301451053,9.19,-71.73,-45.49,777,850,791,809,873,33.333333333333336,-0.137,-0.949,0.346
120,1759301451083,9.15,-71.72,-45.51,783,828,785,815,870,33.333333333333336,-0.136,-0.948,0.347
150,1759301451113,9.14,-71.75,-45.52,788,840,794,812,880,33.333333333333336,-0.136,-0.95,0.346
180,1759301451143,9.09,-71.79,-45.5,783,846,785,819,877,33.333333333333336,-0.136,-0.95,0.346
210,1759301451173,9.08,-71.75,-45.51,785,840,787,788,878,33.333333333333336,-0.135,-0.947,0.349
240,1759301451203,9.13,-71.74,-45.55,788,870,788,813,870,33.333333333333336,-0.136,-0.947,0.349
260,1759301451223,9.13,-71.74,-45.58,785,839,780,808,879,50.0,-0.135,-0.947,0.346
290,1759301451252,9.1,-71.74,-45.64,792,854,778,827,881,33.333333333333336,-0.135,-0.947,0.346
320,1759301451282,9.1,-71.75,-45.64,781,854,781,820,871,33.333333333333336,-0.136,-0.95,0.348
349,1759301451312,9.17,-71.74,-45.61,788,841,793,815,881,34.48275862068966,-0.136,-0.949,0.35
379,1759301451342,9.26,-71.71,-45.6,794,851,779,829,877,33.333333333333336,-0.136,-0.947,0.348
399,1759301451362,9.26,-71.68,-45.62,790,832,781,819,884,50.0,-0.137,-0.946,0.346
429,1759301451393,9.22,-71.68,-45.67,787,844,790,828,864,33.333333333333336,-0.135,-0.947,0.346
459,1759301451422,9.17,-71.71,-45.7,791,856,782,824,862,33.333333333333336,-0.135,-0.95,0.348
489,1759301451451,9.2,-71.71,-45.64,783,837,792,823,867,33.333333333333336,-0.135,-0.951,0.35
518,1759301451481,9.26,-71.66,-45.56,787,847,796,840,872,34.48275862068966,-0.135,-0.948,0.348
548,1759301451512,9.23,-71.63,-45.6,785,829,792,810,875,33.333333333333336,-0.135,-0.945,0.348
578,1759301451541,9.2,-71.71,-45.64,794,851,783,815,877,33.333333333333336,-0.136,-0.948,0.347
608,1759301451571,9.21,-71.72,-45.6,785,854,778,790,869,33.333333333333336,-0.137,-0.949,0.348
638,1759301451601,9.21,-71.67,-45.58,784,853,792,838,878,33.333333333333336,-0.136,-0.946,0.349
