timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759309560742,9.42,-79.58,152.04,817,0,792,809,873,50.0,-0.175,-0.983,0.211
29,1759309560772,9.43,-79.6,151.99,816,6,786,816,877,34.48275862068966,-0.175,-0.983,0.212
59,1759309560801,9.43,-79.59,151.92,818,0,796,820,874,33.333333333333336,-0.175,-0.984,0.212
88,1759309560830,9.44,-79.57,151.86,823,8,801,815,878,34.48275862068966,-0.175,-0.983,0.213
117,1759309560860,9.43,-79.57,151.8,818,10,790,813,884,34.48275862068966,-0.175,-0.983,0.212
147,1759309560890,9.42,-79.55,151.75,816,10,792,805,884,33.333333333333336,-0.175,-0.983,0.211
176,1759309560919,9.43,-79.54,151.69,813,0,795,814,874,34.48275862068966,-0.175,-0.982,0.212
206,1759309560948,9.44,-79.55,151.63,812,0,791,822,877,33.333333333333336,-0.175,-0.982,0.211
235,1759309560978,9.43,-79.55,151.58,822,0,800,816,878,34.48275862068966,-0.175,-0.982,0.211
265,1759309561007,9.42,-79.54,151.53,814,0,804,820,876,33.333333333333336,-0.175,-0.981,0.211
294,1759309561037,9.42,-79.52,151.47,816,6,805,818,891,34.48275862068966,-0.175,-0.981,0.211
324,1759309561066,9.43,-79.52,151.41,813,7,797,817,882,33.333333333333336,-0.176,-0.98,0.211
353,1759309561096,9.43,-79.55,151.36,819,0,797,821,871,34.48275862068966,-0.176,-0.981,0.211
383,1759309561125,9.42,-79.54,151.3,805,6,796,813,872,33.333333333333336,-0.176,-0.98,0.211
412,1759309561155,9.43,-79.55,151.24,814,1,789,821,870,34.48275862068966,-0.176,-0.98,0.211
442,1759309561185,9.43,-79.57,151.18,818,10,785,822,880,33.333333333333336,-0.176,-0.981,0.211
472,1759309561214,9.43,-79.56,151.12,812,0,793,811,880,33.333333333333336,-0.175,-0.981,0.211
501,1759309561244,9.44,-79.56,151.06,819,1,796,821,877,34.48275862068966,-0.176,-0.981,0.211
530,1759309561274,9.44,-79.58,151.01,812,12,784,821,877,34.48275862068966,-0.176,-0.981,0.21
560,1759309561302,9.44,-79.59,150.94,816,4,796,807,878,33.333333333333336,-0.176,-0.98,0.211
589,1759309561332,9.45,-79.59,150.88,820,0,789,819,873,34.48275862068966,-0.176,-0.981,0.21
619,1759309561361,9.45,-79.61,150.81,814,9,803,821,875,33.333333333333336,-0.176,-0.98,0.21
648,1759309561391,9.46,-79.62,150.74,814,10,799,823,878,34.48275862068966,-0.176,-0.98,0.211
678,1759309561420,9.46,-79.62,150.68,816,0,795,808,875,33.333333333333336,-0.176,-0.981,0.21
707,1759309561450,9.47,-79.6,150.62,811,19,805,818,874,34.48275862068966,-0.176,-0.98,0.21
727,1759309561471,9.48,-79.6,150.58,816,13,791,811,870,50.0,-0.176,-0.981,0.21
756,1759309561500,9.46,-79.61,150.51,814,9,796,814,880,34.48275862068966,-0.176,-0.981,0.21
786,1759309561531,9.47,-79.62,150.44,808,16,782,815,883,33.333333333333336,-0.176,-0.981,0.21
815,1759309561558,9.48,-79.63,150.38,817,0,799,823,881,34.48275862068966,-0.176,-0.982,0.209
845,1759309561589,9.47,-79.63,150.32,819,0,782,804,869,33.333333333333336,-0.175,-0.981,0.209
875,1759309561619,9.48,-79.64,150.26,819,17,779,806,883,33.333333333333336,-0.175,-0.981,0.209
904,1759309561647,9.49,-79.64,150.2,817,9,801,815,893,34.48275862068966,-0.175,-0.981,0.21
934,1759309561677,9.49,-79.66,150.14,821,11,794,815,880,33.333333333333336,-0.175,-0.982,0.209
963,1759309561707,9.49,-79.7,150.08,812,12,800,815,880,34.48275862068966,-0.175,-0.982,0.208
983,1759309561726,9.48,-79.68,150.04,820,10,794,817,877,50.0,-0.175,-0.981,0.209
1013,1759309561760,9.49,-79.66,149.98,821,2,790,820,881,33.333333333333336,-0.175,-0.981,0.209
1042,1759309561787,9.5,-79.66,149.92,817,10,791,812,872,34.48275862068966,-0.175,-0.981,0.209
1072,1759309561816,9.49,-79.67,149.87,810,4,800,824,868,33.333333333333336,-0.175,-0.981,0.209
1101,1759309561847,9.49,-79.71,149.8,826,0,804,805,882,34.48275862068966,-0.175,-0.981,0.209
1131,1759309561878,9.49,-79.72,149.74,814,1,796,821,878,33.333333333333336,-0.175,-0.982,0.208
1160,1759309561904,9.49,-79.7,149.68,813,5,790,836,879,34.48275862068966,-0.175,-0.982,0.207
1190,1759309561939,9.5,-79.71,149.62,822,0,797,822,887,33.333333333333336,-0.175,-0.981,0.207
1219,1759309561969,9.5,-79.71,149.56,810,8,786,817,881,34.48275862068966,-0.175,-0.981,0.207
1249,1759309561997,9.49,-79.71,149.5,820,5,804,816,879,33.333333333333336,-0.175,-0.981,0.207
1278,1759309562029,9.49,-79.72,149.45,815,0,789,816,881,34.48275862068966,-0.175,-0.981,0.207
1308,1759309562050,9.49,-79.72,149.39,818,2,798,813,884,33.333333333333336,-0.175,-0.982,0.207
1337,1759309562085,9.5,-79.73,149.33,820,9,792,811,876,34.48275862068966,-0.175,-0.981,0.207
1367,1759309562110,9.49,-79.71,149.27,814,0,780,825,881,33.333333333333336,-0.175,-0.981,0.207
1397,1759309562148,9.48,-79.72,149.21,809,0,794,815,881,33.333333333333336,-0.175,-0.981,0.207
1426,1759309562175,9.48,-79.73,149.14,820,38,778,815,883,34.48275862068966,-0.174,-0.981,0.207
1455,1759309562203,9.48,-79.74,149.09,815,0,786,818,881,34.48275862068966,-0.175,-0.981,0.207
1485,1759309562232,9.48,-79.74,149.02,823,9,805,813,880,33.333333333333336,-0.175,-0.981,0.207
1514,1759309562263,9.48,-79.75,148.96,813,2,793,812,887,34.48275862068966,-0.175,-0.981,0.207
1543,1759309562295,9.48,-79.75,148.91,816,4,794,808,876,34.48275862068966,-0.175,-0.981,0.207
1573,1759309562328,9.48,-79.74,148.86,822,15,798,818,872,33.333333333333336,-0.175,-0.98,0.207
1602,1759309562347,9.48,-79.75,148.79,814,0,774,828,881,34.48275862068966,-0.175,-0.981,0.207
1632,1759309562383,9.48,-79.77,148.74,814,6,792,809,877,33.333333333333336,-0.175,-0.981,0.207
1661,1759309562404,9.48,-79.77,148.67,813,1,802,816,880,34.48275862068966,-0.175,-0.98,0.207
1690,1759309562444,9.48,-79.78,148.6,818,10,791,814,871,34.48275862068966,-0.175,-0.982,0.206
1720,1759309562466,9.46,-79.77,148.55,815,0,790,815,869,33.333333333333336,-0.175,-0.982,0.206
1749,1759309562510,9.47,-79.78,148.49,816,20,791,829,874,34.48275862068966,-0.175,-0.981,0.206
1779,1759309562535,9.46,-79.77,148.43,812,18,792,813,877,33.333333333333336,-0.175,-0.981,0.207
1808,1759309562559,9.47,-79.8,148.37,816,18,786,818,882,34.48275862068966,-0.174,-0.982,0.206
1838,1759309562584,9.46,-79.79,148.31,818,0,799,812,898,33.333333333333336,-0.174,-0.982,0.206
1867,1759309562610,9.46,-79.79,148.25,817,0,793,822,879,34.48275862068966,-0.174,-0.982,0.206
1897,1759309562666,9.46,-79.79,148.2,819,0,799,815,881,33.333333333333336,-0.175,-0.982,0.206
1926,1759309562695,9.45,-79.8,148.14,815,11,792,809,882,34.48275862068966,-0.175,-0.981,0.206
1956,1759309562728,9.45,-79.79,148.08,815,29,800,816,870,33.333333333333336,-0.174,-0.981,0.206
1985,1759309562760,9.46,-79.79,148.01,813,18,784,809,869,34.48275862068966,-0.174,-0.981,0.206
2015,1759309562796,9.46,-79.79,147.95,805,0,793,816,876,33.333333333333336,-0.175,-0.981,0.206
2044,1759309562831,9.45,-79.81,147.89,810,4,807,813,867,34.48275862068966,-0.174,-0.981,0.206
2074,1759309562866,9.46,-79.83,147.83,813,0,786,814,878,33.333333333333336,-0.175,-0.982,0.206
2103,1759309562902,9.46,-79.83,147.77,833,0,785,823,884,34.48275862068966,-0.174,-0.982,0.206
2133,1759309562933,9.46,-79.85,147.71,816,11,792,817,874,33.333333333333336,-0.174,-0.982,0.205
2162,1759309562966,9.46,-79.85,147.65,823,9,792,822,878,34.48275862068966,-0.174,-0.982,0.205
2191,1759309562994,9.46,-79.86,147.6,816,0,821,819,880,34.48275862068966,-0.174,-0.981,0.206
2221,1759309563023,9.46,-79.86,147.53,817,0,798,812,887,33.333333333333336,-0.174,-0.982,0.205
2251,1759309563049,9.46,-79.86,147.47,816,3,793,807,882,33.333333333333336,-0.174,-0.982,0.205
2280,1759309563075,9.45,-79.88,147.42,815,0,787,818,879,34.48275862068966,-0.174,-0.983,0.204
2310,1759309563099,9.45,-79.85,147.36,817,3,785,805,881,33.333333333333336,-0.174,-0.982,0.205
