timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759302480169,50.54,46.08,-55.17,862,852,860,832,820,33.333333333333336,-0.759,0.456,0.446
29,1759302480171,50.51,46.1,-55.15,863,841,850,838,830,34.48275862068966,-0.759,0.455,0.444
58,1759302480191,50.49,46.1,-55.14,856,865,841,849,826,34.48275862068966,-0.759,0.455,0.444
88,1759302480220,50.49,46.1,-55.12,846,866,845,837,823,33.333333333333336,-0.759,0.456,0.445
117,1759302480250,50.5,46.11,-55.09,856,861,844,834,822,34.48275862068966,-0.761,0.455,0.445
147,1759302480280,50.49,46.12,-55.07,858,865,844,830,823,33.333333333333336,-0.76,0.454,0.444
177,1759302480309,50.48,46.13,-55.05,862,848,841,839,816,33.333333333333336,-0.759,0.455,0.444
206,1759302480339,50.49,46.14,-55.03,856,849,843,827,825,34.48275862068966,-0.76,0.455,0.444
236,1759302480368,50.49,46.15,-55.01,860,847,841,842,831,33.333333333333336,-0.76,0.455,0.444
265,1759302480397,50.48,46.16,-54.98,852,858,836,835,823,34.48275862068966,-0.76,0.456,0.445
294,1759302480427,50.48,46.17,-54.96,860,856,833,840,829,34.48275862068966,-0.759,0.455,0.444
324,1759302480457,50.48,46.16,-54.95,865,876,844,840,840,33.333333333333336,-0.761,0.455,0.444
344,1759302480478,50.48,46.17,-54.94,855,858,841,824,826,50.0,-0.761,0.455,0.443
373,1759302480506,50.47,46.18,-54.91,851,849,844,834,825,34.48275862068966,-0.761,0.456,0.443
403,1759302480536,50.48,46.2,-54.87,853,872,836,833,817,33.333333333333336,-0.76,0.457,0.443
433,1759302480565,50.47,46.2,-54.86,847,857,844,837,821,33.333333333333336,-0.76,0.456,0.443
462,1759302480595,50.44,46.2,-54.85,853,854,853,836,826,34.48275862068966,-0.76,0.456,0.442
491,1759302480624,50.44,46.2,-54.83,857,859,833,826,824,34.48275862068966,-0.761,0.456,0.442
521,1759302480654,50.47,46.2,-54.81,861,860,841,836,834,33.333333333333336,-0.761,0.456,0.443
551,1759302480685,50.47,46.21,-54.77,852,864,841,830,819,33.333333333333336,-0.76,0.456,0.443
580,1759302480714,50.45,46.22,-54.75,855,864,855,832,821,34.48275862068966,-0.76,0.456,0.442
610,1759302480743,50.44,46.22,-54.75,858,865,848,828,828,33.333333333333336,-0.76,0.456,0.443
639,1759302480772,50.44,46.22,-54.74,855,858,850,838,826,34.48275862068966,-0.76,0.457,0.443
669,1759302480801,50.45,46.23,-54.7,856,851,852,844,830,33.333333333333336,-0.76,0.456,0.443
698,1759302480832,50.45,46.24,-54.67,856,851,838,830,830,34.48275862068966,-0.76,0.456,0.443
728,1759302480860,50.45,46.25,-54.64,863,863,849,842,824,33.333333333333336,-0.759,0.457,0.443
757,1759302480890,50.46,46.26,-54.61,861,854,845,828,828,34.48275862068966,-0.76,0.457,0.444
786,1759302480922,50.45,46.26,-54.6,852,862,841,836,847,34.48275862068966,-0.761,0.456,0.442
816,1759302480950,50.45,46.27,-54.57,848,852,850,841,824,33.333333333333336,-0.76,0.457,0.443
846,1759302480981,50.45,46.28,-54.55,853,861,839,838,812,33.333333333333336,-0.759,0.457,0.443
875,1759302481007,50.43,46.29,-54.53,857,864,843,830,826,34.48275862068966,-0.759,0.457,0.443
904,1759302481041,50.42,46.3,-54.5,852,859,843,840,838,34.48275862068966,-0.76,0.457,0.443
934,1759302481070,50.43,46.3,-54.47,853,863,844,828,811,33.333333333333336,-0.76,0.457,0.444
963,1759302481101,50.45,46.29,-54.46,850,855,850,845,811,34.48275862068966,-0.759,0.457,0.443
993,1759302481127,50.45,46.29,-54.44,866,860,836,835,822,33.333333333333336,-0.759,0.458,0.442
1022,1759302481155,50.44,46.29,-54.42,848,860,852,836,815,34.48275862068966,-0.759,0.458,0.442
1052,1759302481190,50.44,46.28,-54.41,854,870,857,845,818,33.333333333333336,-0.76,0.458,0.443
1081,1759302481219,50.45,46.28,-54.4,864,862,841,842,818,34.48275862068966,-0.76,0.457,0.443
1111,1759302481243,50.45,46.28,-54.37,853,857,827,839,793,33.333333333333336,-0.759,0.458,0.443
1140,1759302481275,50.44,46.28,-54.35,849,868,846,839,811,34.48275862068966,-0.759,0.458,0.444
1170,1759302481309,50.44,46.28,-54.34,860,862,843,836,806,33.333333333333336,-0.759,0.457,0.443
1199,1759302481336,50.43,46.27,-54.34,856,858,844,832,786,34.48275862068966,-0.759,0.457,0.442
1229,1759302481365,50.41,46.27,-54.33,854,855,846,837,801,33.333333333333336,-0.759,0.457,0.443
1259,1759302481394,50.42,46.26,-54.31,857,851,852,842,813,33.333333333333336,-0.76,0.456,0.444
1288,1759302481425,50.42,46.27,-54.28,856,863,847,831,794,34.48275862068966,-0.76,0.457,0.443
1318,1759302481458,50.42,46.26,-54.26,851,861,843,836,809,33.333333333333336,-0.759,0.456,0.442
1348,1759302481481,50.42,46.25,-54.25,855,863,852,824,803,33.333333333333336,-0.76,0.456,0.444
1377,1759302481517,50.43,46.24,-54.23,857,854,840,833,811,34.48275862068966,-0.76,0.457,0.444
1406,1759302481543,50.43,46.25,-54.2,848,859,840,824,811,34.48275862068966,-0.76,0.457,0.444
1436,1759302481569,50.43,46.25,-54.19,856,864,848,834,808,33.333333333333336,-0.759,0.456,0.443
1465,1759302481598,50.42,46.24,-54.18,850,866,843,835,812,34.48275862068966,-0.759,0.457,0.444
1495,1759302481628,50.41,46.24,-54.16,855,864,862,836,813,33.333333333333336,-0.759,0.457,0.444
1524,1759302481658,50.41,46.23,-54.15,856,868,840,846,816,34.48275862068966,-0.76,0.455,0.444
1554,1759302481690,50.42,46.24,-54.12,851,856,863,834,807,33.333333333333336,-0.76,0.456,0.444
1583,1759302481724,50.4,46.23,-54.13,863,860,841,837,803,34.48275862068966,-0.758,0.456,0.444
1613,1759302481761,50.38,46.22,-54.13,861,865,831,840,811,33.333333333333336,-0.759,0.456,0.444
1642,1759302481779,50.39,46.22,-54.1,853,848,834,835,811,34.48275862068966,-0.761,0.456,0.445
1672,1759302481819,50.4,46.22,-54.06,853,850,846,843,812,33.333333333333336,-0.761,0.455,0.445
1701,1759302481840,50.41,46.22,-54.04,858,854,843,833,805,34.48275862068966,-0.76,0.455,0.445
1731,1759302481863,50.39,46.22,-54.03,854,852,846,842,802,33.333333333333336,-0.76,0.456,0.445
1760,1759302481907,50.38,46.22,-54.0,858,874,825,825,810,34.48275862068966,-0.76,0.455,0.445
1789,1759302481932,50.39,46.23,-53.97,860,859,851,841,816,34.48275862068966,-0.76,0.455,0.445
1819,1759302481957,50.38,46.23,-53.94,849,856,829,838,808,33.333333333333336,-0.76,0.455,0.445
1848,1759302481981,50.38,46.23,-53.92,861,858,844,828,813,34.48275862068966,-0.759,0.455,0.445
1878,1759302482034,50.38,46.23,-53.9,855,858,844,840,811,33.333333333333336,-0.76,0.455,0.445
1907,1759302482063,50.39,46.24,-53.88,855,854,846,844,809,34.48275862068966,-0.76,0.456,0.445
1937,1759302482092,50.38,46.23,-53.87,857,836,847,831,813,33.333333333333336,-0.758,0.455,0.444
1966,1759302482125,50.37,46.24,-53.85,855,855,847,835,808,34.48275862068966,-0.759,0.456,0.444
1995,1759302482157,50.38,46.23,-53.81,860,854,837,839,806,34.48275862068966,-0.76,0.455,0.444
2025,1759302482193,50.4,46.23,-53.79,855,861,845,841,809,33.333333333333336,-0.76,0.455,0.445
2054,1759302482228,50.38,46.24,-53.77,859,864,837,831,813,34.48275862068966,-0.759,0.456,0.445
2084,1759302482260,50.36,46.23,-53.75,853,867,843,840,811,33.333333333333336,-0.759,0.456,0.445
2113,1759302482292,50.36,46.23,-53.73,854,851,866,846,797,34.48275862068966,-0.76,0.455,0.445
2143,1759302482321,50.37,46.24,-53.71,860,863,844,834,808,33.333333333333336,-0.76,0.456,0.445
2172,1759302482349,50.37,46.24,-53.68,855,866,846,825,802,34.48275862068966,-0.759,0.456,0.445
2202,1759302482375,50.37,46.24,-53.66,857,858,849,836,795,33.333333333333336,-0.759,0.456,0.445
2231,1759302482401,50.38,46.24,-53.63,854,858,846,842,813,34.48275862068966,-0.76,0.456,0.445
2261,1759302482425,50.38,46.24,-53.62,848,860,839,843,819,33.333333333333336,-0.76,0.456,0.444
2290,1759302482449,50.38,46.25,-53.59,859,869,838,835,821,34.48275862068966,-0.759,0.456,0.444
2320,1759302482472,50.38,46.25,-53.56,854,875,858,838,807,33.333333333333336,-0.759,0.456,0.445
