timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759302767617,47.71,-96.58,-16.77,792,852,815,839,885,33.333333333333336,-0.751,-0.672,-0.081
29,1759302767646,47.72,-96.59,-16.78,795,870,819,850,879,34.48275862068966,-0.752,-0.672,-0.082
59,1759302767676,47.73,-96.59,-16.79,802,857,821,825,876,33.333333333333336,-0.751,-0.672,-0.081
88,1759302767706,47.77,-96.57,-16.8,801,864,815,845,872,34.48275862068966,-0.751,-0.672,-0.081
118,1759302767735,47.8,-96.57,-16.81,801,879,822,842,878,33.333333333333336,-0.751,-0.672,-0.083
148,1759302767765,47.77,-96.59,-16.82,797,861,825,850,880,33.333333333333336,-0.752,-0.674,-0.084
177,1759302767795,47.71,-96.56,-16.81,806,874,806,851,883,34.48275862068966,-0.751,-0.673,-0.083
207,1759302767824,47.73,-96.55,-16.81,805,867,811,858,866,33.333333333333336,-0.75,-0.672,-0.083
236,1759302767853,47.75,-96.56,-16.82,801,849,819,848,881,34.48275862068966,-0.751,-0.672,-0.083
266,1759302767883,47.73,-96.58,-16.82,800,858,813,844,879,33.333333333333336,-0.751,-0.673,-0.083
296,1759302767913,47.71,-96.57,-16.82,806,846,823,833,879,33.333333333333336,-0.751,-0.672,-0.082
326,1759302767943,47.73,-96.57,-16.82,799,864,819,844,862,33.333333333333336,-0.751,-0.673,-0.082
355,1759302767972,47.73,-96.57,-16.82,790,862,809,849,890,34.48275862068966,-0.751,-0.673,-0.083
385,1759302768002,47.69,-96.57,-16.81,795,859,794,858,869,33.333333333333336,-0.751,-0.674,-0.084
414,1759302768032,47.65,-96.56,-16.79,802,862,833,840,879,34.48275862068966,-0.752,-0.674,-0.083
444,1759302768061,47.58,-96.56,-16.78,797,865,813,846,885,33.333333333333336,-0.752,-0.673,-0.082
473,1759302768090,47.56,-96.55,-16.77,802,856,825,845,873,34.48275862068966,-0.75,-0.672,-0.081
503,1759302768119,47.57,-96.54,-16.77,798,864,817,849,866,33.333333333333336,-0.751,-0.672,-0.081
532,1759302768150,47.55,-96.54,-16.77,800,878,801,836,872,34.48275862068966,-0.751,-0.673,-0.081
562,1759302768179,47.52,-96.53,-16.76,817,853,823,846,894,33.333333333333336,-0.752,-0.672,-0.08
591,1759302768209,47.52,-96.53,-16.76,796,861,815,843,876,34.48275862068966,-0.751,-0.671,-0.079
611,1759302768229,47.53,-96.54,-16.77,803,865,819,842,878,50.0,-0.751,-0.67,-0.079
641,1759302768258,47.56,-96.52,-16.78,795,858,829,848,900,33.333333333333336,-0.75,-0.67,-0.08
671,1759302768288,47.6,-96.51,-16.79,802,867,820,824,875,33.333333333333336,-0.751,-0.671,-0.08
700,1759302768318,47.59,-96.51,-16.79,799,857,822,841,874,34.48275862068966,-0.752,-0.672,-0.08
730,1759302768348,47.58,-96.51,-16.79,801,851,825,840,871,33.333333333333336,-0.751,-0.672,-0.079
750,1759302768369,47.6,-96.53,-16.79,798,857,816,837,880,50.0,-0.75,-0.671,-0.08
780,1759302768397,47.62,-96.53,-16.8,796,879,821,852,872,33.333333333333336,-0.751,-0.672,-0.081
810,1759302768429,47.59,-96.5,-16.8,799,862,823,848,880,33.333333333333336,-0.752,-0.673,-0.08
839,1759302768459,47.56,-96.5,-16.79,800,852,822,836,875,34.48275862068966,-0.752,-0.673,-0.08
869,1759302768486,47.56,-96.5,-16.79,799,866,806,846,884,33.333333333333336,-0.751,-0.673,-0.08
898,1759302768518,47.54,-96.49,-16.79,795,859,821,834,882,34.48275862068966,-0.751,-0.672,-0.081
928,1759302768547,47.53,-96.48,-16.79,798,866,823,860,882,33.333333333333336,-0.751,-0.672,-0.08
957,1759302768577,47.53,-96.5,-16.8,799,873,811,855,889,34.48275862068966,-0.752,-0.672,-0.08
987,1759302768608,47.51,-96.51,-16.79,800,861,821,848,877,33.333333333333336,-0.752,-0.673,-0.08
1016,1759302768635,47.48,-96.48,-16.79,796,852,810,843,882,34.48275862068966,-0.752,-0.672,-0.079
1046,1759302768664,47.51,-96.46,-16.79,798,863,823,833,884,33.333333333333336,-0.751,-0.671,-0.078
1076,1759302768693,47.54,-96.47,-16.8,801,866,819,841,878,33.333333333333336,-0.751,-0.671,-0.079
1105,1759302768725,47.56,-96.47,-16.8,803,860,838,866,875,34.48275862068966,-0.752,-0.672,-0.079
1135,1759302768757,47.55,-96.45,-16.8,800,866,800,828,888,33.333333333333336,-0.752,-0.673,-0.079
1164,1759302768782,47.54,-96.44,-16.79,801,864,817,844,878,34.48275862068966,-0.752,-0.672,-0.08
