timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759303954270,42.92,24.21,-12.23,837,784,906,900,936,34.48275862068966,-0.679,0.291,0.667
29,1759303954299,42.92,24.21,-12.24,845,776,907,913,941,34.48275862068966,-0.678,0.291,0.668
59,1759303954329,42.94,24.22,-12.23,835,785,887,906,930,33.333333333333336,-0.679,0.29,0.669
88,1759303954358,42.94,24.23,-12.24,848,775,895,902,942,34.48275862068966,-0.677,0.293,0.667
118,1759303954387,42.92,24.2,-12.27,861,779,883,920,935,33.333333333333336,-0.678,0.292,0.667
147,1759303954417,42.93,24.19,-12.28,857,783,898,925,936,34.48275862068966,-0.679,0.29,0.669
177,1759303954446,42.93,24.19,-12.28,835,787,894,910,941,33.333333333333336,-0.677,0.292,0.668
206,1759303954476,42.92,24.16,-12.3,839,787,881,907,944,34.48275862068966,-0.677,0.292,0.667
236,1759303954505,42.93,24.17,-12.3,841,782,895,901,948,33.333333333333336,-0.679,0.289,0.669
265,1759303954535,42.92,24.16,-12.31,846,800,880,911,946,34.48275862068966,-0.677,0.292,0.668
294,1759303954564,42.91,24.15,-12.33,851,781,901,913,955,34.48275862068966,-0.677,0.292,0.668
324,1759303954594,42.91,24.13,-12.33,846,777,900,897,948,33.333333333333336,-0.679,0.289,0.669
353,1759303954623,42.93,24.15,-12.32,844,779,914,899,928,34.48275862068966,-0.678,0.29,0.669
383,1759303954653,42.92,24.14,-12.33,849,786,885,904,943,33.333333333333336,-0.678,0.292,0.667
412,1759303954683,42.9,24.12,-12.34,848,775,900,905,942,34.48275862068966,-0.679,0.289,0.667
442,1759303954712,42.89,24.1,-12.35,845,777,900,906,943,33.333333333333336,-0.678,0.29,0.668
471,1759303954741,42.89,24.1,-12.36,840,788,893,906,952,34.48275862068966,-0.679,0.289,0.669
500,1759303954771,42.9,24.1,-12.38,858,782,883,898,938,34.48275862068966,-0.678,0.289,0.669
530,1759303954800,42.9,24.05,-12.41,851,773,898,911,941,33.333333333333336,-0.677,0.291,0.669
559,1759303954830,42.9,24.05,-12.42,840,778,887,909,933,34.48275862068966,-0.678,0.29,0.669
589,1759303954860,42.91,24.05,-12.43,832,787,880,918,962,33.333333333333336,-0.678,0.29,0.669
618,1759303954888,42.9,24.04,-12.43,849,780,883,896,950,34.48275862068966,-0.678,0.289,0.669
648,1759303954918,42.89,24.04,-12.43,852,792,898,913,951,33.333333333333336,-0.677,0.29,0.67
678,1759303954948,42.91,24.05,-12.43,847,778,894,916,948,33.333333333333336,-0.677,0.29,0.669
707,1759303954978,42.91,24.06,-12.45,832,801,882,914,942,34.48275862068966,-0.677,0.291,0.668
736,1759303955009,42.9,24.02,-12.46,843,784,897,912,948,34.48275862068966,-0.678,0.289,0.668
