timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759310395835,60.05,24.48,32.54,826,776,801,897,901,33.333333333333336,-0.866,0.194,0.452
29,1759310395864,60.05,24.48,32.55,828,783,804,882,897,34.48275862068966,-0.867,0.195,0.451
59,1759310395894,60.05,24.49,32.54,828,764,801,905,879,33.333333333333336,-0.866,0.195,0.45
89,1759310395924,60.05,24.5,32.54,826,781,794,888,890,33.333333333333336,-0.865,0.196,0.449
118,1759310395953,60.05,24.49,32.53,823,776,802,878,906,34.48275862068966,-0.867,0.194,0.449
148,1759310395983,60.05,24.49,32.54,829,768,811,896,892,33.333333333333336,-0.867,0.194,0.451
178,1759310396013,60.04,24.5,32.55,831,789,799,887,893,33.333333333333336,-0.867,0.195,0.451
207,1759310396042,60.04,24.51,32.55,832,777,804,901,894,34.48275862068966,-0.866,0.194,0.45
237,1759310396072,60.05,24.5,32.55,833,777,799,884,896,33.333333333333336,-0.866,0.195,0.45
266,1759310396102,60.05,24.5,32.54,826,776,805,883,888,34.48275862068966,-0.866,0.194,0.45
296,1759310396132,60.06,24.5,32.55,823,781,799,889,888,33.333333333333336,-0.867,0.194,0.451
326,1759310396161,60.06,24.49,32.55,829,773,801,883,891,33.333333333333336,-0.866,0.195,0.45
356,1759310396191,60.06,24.49,32.55,816,776,797,883,888,33.333333333333336,-0.866,0.194,0.449
385,1759310396221,60.04,24.48,32.54,825,786,805,900,905,34.48275862068966,-0.865,0.194,0.45
415,1759310396250,60.04,24.47,32.54,827,775,795,887,883,33.333333333333336,-0.866,0.193,0.451
445,1759310396280,60.04,24.46,32.54,818,773,806,887,893,33.333333333333336,-0.867,0.193,0.451
475,1759310396310,60.03,24.46,32.53,832,773,800,890,891,33.333333333333336,-0.867,0.193,0.451
504,1759310396340,60.04,24.46,32.53,841,783,803,899,874,34.48275862068966,-0.866,0.193,0.451
534,1759310396369,60.04,24.46,32.54,828,771,804,903,894,33.333333333333336,-0.867,0.194,0.451
564,1759310396400,60.02,24.46,32.54,824,769,809,899,882,33.333333333333336,-0.867,0.193,0.45
593,1759310396429,60.01,24.46,32.55,830,775,792,887,893,34.48275862068966,-0.866,0.192,0.45
623,1759310396459,60.03,24.46,32.55,831,772,798,888,909,33.333333333333336,-0.866,0.193,0.451
643,1759310396478,60.03,24.45,32.55,823,786,799,874,901,50.0,-0.867,0.194,0.452
673,1759310396508,60.03,24.46,32.56,830,769,794,876,899,33.333333333333336,-0.867,0.192,0.452
702,1759310396538,60.04,24.46,32.57,826,773,806,883,898,34.48275862068966,-0.867,0.191,0.452
732,1759310396568,60.06,24.46,32.57,827,787,796,882,896,33.333333333333336,-0.868,0.193,0.452
762,1759310396597,60.05,24.46,32.57,813,777,797,880,897,33.333333333333336,-0.866,0.194,0.451
791,1759310396628,60.05,24.45,32.55,829,785,804,891,897,34.48275862068966,-0.865,0.193,0.45
821,1759310396657,60.06,24.45,32.55,821,786,797,884,895,33.333333333333336,-0.867,0.193,0.451
851,1759310396688,60.06,24.44,32.56,830,776,805,888,903,33.333333333333336,-0.868,0.193,0.451
880,1759310396718,60.07,24.45,32.56,823,784,800,889,893,34.48275862068966,-0.867,0.193,0.451
910,1759310396746,60.09,24.45,32.56,833,778,797,870,891,33.333333333333336,-0.866,0.193,0.45
940,1759310396777,60.09,24.45,32.55,826,782,791,881,903,33.333333333333336,-0.865,0.193,0.449
970,1759310396807,60.08,24.43,32.52,833,780,802,900,918,33.333333333333336,-0.866,0.193,0.45
999,1759310396834,60.09,24.41,32.51,825,790,787,894,896,34.48275862068966,-0.867,0.191,0.451
1029,1759310396868,60.11,24.41,32.52,833,772,789,889,885,33.333333333333336,-0.869,0.191,0.452
1059,1759310396897,60.13,24.43,32.54,823,778,798,896,898,33.333333333333336,-0.867,0.194,0.451
1088,1759310396926,60.12,24.43,32.53,824,772,794,886,892,34.48275862068966,-0.865,0.194,0.449
1118,1759310396958,60.09,24.42,32.5,825,773,800,888,892,33.333333333333336,-0.866,0.192,0.449
1148,1759310396983,60.08,24.4,32.47,833,784,802,883,910,33.333333333333336,-0.867,0.192,0.451
1177,1759310397019,60.1,24.41,32.47,822,804,803,882,893,34.48275862068966,-0.867,0.191,0.451
1207,1759310397045,60.13,24.41,32.48,826,777,797,894,910,33.333333333333336,-0.867,0.191,0.449
1237,1759310397074,60.12,24.4,32.5,823,781,796,892,901,33.333333333333336,-0.866,0.191,0.449
1267,1759310397104,60.12,24.38,32.51,824,777,796,914,886,33.333333333333336,-0.867,0.192,0.45
1296,1759310397135,60.12,24.39,32.52,824,769,802,887,902,34.48275862068966,-0.866,0.191,0.451
1326,1759310397168,60.13,24.38,32.53,820,782,791,892,885,33.333333333333336,-0.868,0.188,0.452
1356,1759310397192,60.14,24.38,32.55,824,772,806,886,890,33.333333333333336,-0.867,0.189,0.452
1386,1759310397229,60.16,24.38,32.57,825,772,798,887,891,33.333333333333336,-0.868,0.19,0.452
1406,1759310397242,60.18,24.38,32.58,831,776,811,888,899,50.0,-0.868,0.19,0.451
1435,1759310397271,60.19,24.39,32.61,828,771,791,894,893,34.48275862068966,-0.867,0.191,0.451
1465,1759310397311,60.19,24.39,32.61,826,773,803,901,896,33.333333333333336,-0.866,0.192,0.45
1495,1759310397342,60.18,24.39,32.61,838,771,802,887,905,33.333333333333336,-0.866,0.193,0.449
1524,1759310397360,60.17,24.39,32.59,828,780,806,880,893,34.48275862068966,-0.867,0.193,0.45
1554,1759310397392,60.15,24.38,32.59,818,777,805,885,894,33.333333333333336,-0.866,0.192,0.45
1584,1759310397426,60.13,24.36,32.58,825,769,800,883,901,33.333333333333336,-0.866,0.191,0.45
1613,1759310397463,60.15,24.33,32.55,833,771,796,894,892,34.48275862068966,-0.866,0.191,0.451
1643,1759310397482,60.16,24.32,32.55,822,786,787,896,900,33.333333333333336,-0.869,0.192,0.452
1663,1759310397503,60.16,24.31,32.56,824,774,798,902,906,50.0,-0.869,0.191,0.451
1693,1759310397543,60.15,24.3,32.56,825,777,800,876,892,33.333333333333336,-0.866,0.19,0.45
1723,1759310397566,60.15,24.28,32.54,826,776,792,890,888,33.333333333333336,-0.866,0.19,0.451
1752,1759310397588,60.15,24.26,32.52,830,776,803,880,901,34.48275862068966,-0.868,0.19,0.452
1772,1759310397611,60.16,24.25,32.51,831,767,796,884,904,50.0,-0.869,0.19,0.452
1793,1759310397635,60.16,24.24,32.52,833,779,818,880,902,47.61904761904762,-0.868,0.189,0.452
1822,1759310397660,60.15,24.24,32.52,830,777,791,897,891,34.48275862068966,-0.866,0.191,0.45
1852,1759310397711,60.13,24.24,32.49,826,780,803,902,896,33.333333333333336,-0.866,0.193,0.45
1872,1759310397738,60.12,24.22,32.47,826,779,797,897,884,50.0,-0.867,0.191,0.45
1902,1759310397767,60.11,24.22,32.48,826,785,802,882,889,33.333333333333336,-0.868,0.188,0.452
1931,1759310397797,60.13,24.21,32.49,825,789,794,860,887,34.48275862068966,-0.868,0.188,0.454
1961,1759310397829,60.15,24.21,32.5,827,778,806,899,899,33.333333333333336,-0.868,0.188,0.453
1990,1759310397861,60.16,24.22,32.52,825,792,796,896,892,34.48275862068966,-0.868,0.19,0.452
2020,1759310397896,60.14,24.23,32.51,826,772,795,890,900,33.333333333333336,-0.865,0.19,0.451
2050,1759310397932,60.14,24.23,32.5,828,779,800,896,881,33.333333333333336,-0.866,0.189,0.451
2079,1759310397963,60.15,24.22,32.49,824,768,809,883,886,34.48275862068966,-0.868,0.19,0.452
2109,1759310397995,60.14,24.23,32.51,836,766,798,895,897,33.333333333333336,-0.867,0.19,0.452
2139,1759310398024,60.14,24.22,32.51,830,777,805,890,896,33.333333333333336,-0.866,0.191,0.451
2168,1759310398053,60.14,24.21,32.51,826,778,805,889,894,34.48275862068966,-0.866,0.19,0.451
2198,1759310398079,60.11,24.2,32.52,823,784,796,895,899,33.333333333333336,-0.866,0.189,0.452
2228,1759310398105,60.11,24.2,32.52,826,783,791,883,896,33.333333333333336,-0.867,0.188,0.453
2257,1759310398129,60.13,24.19,32.53,816,774,793,891,897,34.48275862068966,-0.867,0.188,0.454
2287,1759310398153,60.14,24.2,32.55,831,774,793,889,905,33.333333333333336,-0.868,0.188,0.453
