timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759310642116,17.52,-72.72,-5.03,820,788,853,856,894,47.61904761904762,-0.305,-0.923,0.293
30,1759310642118,17.55,-72.7,-5.07,824,789,849,858,895,33.333333333333336,-0.305,-0.918,0.297
59,1759310642147,17.66,-72.75,-5.19,817,782,860,853,876,34.48275862068966,-0.304,-0.917,0.296
89,1759310642177,17.71,-72.81,-5.27,823,791,857,871,898,33.333333333333336,-0.305,-0.923,0.295
109,1759310642196,17.7,-72.83,-5.29,819,790,869,857,880,50.0,-0.305,-0.928,0.292
138,1759310642226,17.64,-72.75,-5.28,820,786,855,845,892,34.48275862068966,-0.304,-0.925,0.291
168,1759310642255,17.59,-72.74,-5.31,828,795,857,854,890,33.333333333333336,-0.303,-0.924,0.293
197,1759310642285,17.57,-72.76,-5.33,825,781,855,853,896,34.48275862068966,-0.303,-0.925,0.294
227,1759310642314,17.57,-72.77,-5.33,819,788,850,852,895,33.333333333333336,-0.303,-0.926,0.295
256,1759310642344,17.59,-72.77,-5.33,822,778,852,855,891,34.48275862068966,-0.302,-0.926,0.295
286,1759310642373,17.59,-72.78,-5.32,827,787,877,859,886,33.333333333333336,-0.302,-0.926,0.294
315,1759310642403,17.58,-72.71,-5.3,821,787,870,847,899,34.48275862068966,-0.302,-0.925,0.295
345,1759310642433,17.56,-72.72,-5.3,833,786,855,850,882,33.333333333333336,-0.301,-0.925,0.293
374,1759310642462,17.5,-72.69,-5.24,820,785,858,846,880,34.48275862068966,-0.301,-0.927,0.293
394,1759310642482,17.46,-72.67,-5.2,822,780,865,857,888,50.0,-0.301,-0.927,0.295
424,1759310642511,17.6,-72.51,-5.19,824,788,849,851,878,33.333333333333336,-0.3,-0.916,0.307
453,1759310642541,17.66,-73.03,-5.53,831,787,864,842,890,34.48275862068966,-0.299,-0.921,0.286
483,1759310642570,17.61,-72.98,-5.5,820,792,844,841,886,33.333333333333336,-0.301,-0.937,0.285
512,1759310642600,17.57,-72.84,-5.27,827,781,870,849,895,34.48275862068966,-0.3,-0.932,0.288
542,1759310642630,17.63,-72.76,-5.26,821,775,859,855,887,33.333333333333336,-0.298,-0.919,0.29
562,1759310642650,17.69,-72.88,-5.34,815,784,851,849,887,50.0,-0.298,-0.919,0.291
592,1759310642681,17.74,-72.92,-5.34,828,794,849,865,883,33.333333333333336,-0.3,-0.927,0.289
621,1759310642710,17.76,-72.87,-5.25,817,780,859,843,894,34.48275862068966,-0.3,-0.927,0.289
651,1759310642738,17.76,-72.82,-5.21,816,786,855,859,894,33.333333333333336,-0.299,-0.924,0.289
680,1759310642770,17.76,-72.83,-5.21,825,795,866,838,885,34.48275862068966,-0.3,-0.922,0.291
710,1759310642798,17.8,-72.86,-5.23,822,786,852,835,889,33.333333333333336,-0.301,-0.924,0.292
739,1759310642828,17.87,-72.86,-5.23,820,786,864,826,900,34.48275862068966,-0.301,-0.924,0.294
