timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759305241139,4.99,-88.3,165.86,827,786,798,830,852,33.333333333333336,-0.09,-1.012,0.028
30,1759305241148,5.08,-88.28,165.79,822,790,789,837,855,33.333333333333336,-0.091,-1.011,0.028
59,1759305241177,5.16,-88.24,165.78,824,802,794,834,845,34.48275862068966,-0.093,-1.013,0.026
89,1759305241207,5.12,-88.27,165.74,820,778,799,838,853,33.333333333333336,-0.093,-1.012,0.023
118,1759305241236,5.02,-88.37,165.68,818,785,784,833,857,34.48275862068966,-0.093,-1.012,0.024
148,1759305241265,4.94,-88.41,165.64,829,789,794,839,849,33.333333333333336,-0.093,-1.013,0.025
177,1759305241295,4.87,-88.45,165.6,826,776,786,831,857,34.48275862068966,-0.092,-1.011,0.026
206,1759305241324,4.85,-88.51,165.56,817,791,787,826,855,34.48275862068966,-0.091,-1.013,0.026
236,1759305241354,4.84,-88.56,165.55,818,786,789,829,860,33.333333333333336,-0.091,-1.013,0.025
265,1759305241383,4.82,-88.63,165.52,825,786,780,826,869,34.48275862068966,-0.091,-1.012,0.024
295,1759305241413,4.79,-88.65,165.5,823,790,795,841,856,33.333333333333336,-0.091,-1.014,0.024
324,1759305241442,4.8,-88.72,165.48,822,783,797,821,852,34.48275862068966,-0.089,-1.014,0.024
354,1759305241472,4.81,-88.75,165.46,817,780,792,827,850,33.333333333333336,-0.09,-1.014,0.022
383,1759305241501,4.76,-88.82,165.49,824,773,782,829,858,34.48275862068966,-0.093,-1.013,0.019
412,1759305241530,4.72,-88.87,165.51,825,780,797,836,858,34.48275862068966,-0.09,-1.013,0.021
442,1759305241561,4.79,-88.89,165.43,822,777,783,847,861,33.333333333333336,-0.086,-1.013,0.025
462,1759305241580,4.9,-88.91,165.37,822,777,789,829,855,50.0,-0.085,-1.016,0.027
491,1759305241609,5.06,-88.88,165.36,818,786,786,823,852,34.48275862068966,-0.085,-1.018,0.022
521,1759305241640,5.07,-88.83,165.37,820,780,785,832,852,33.333333333333336,-0.085,-1.017,0.015
550,1759305241670,4.94,-88.89,165.3,817,788,799,836,853,34.48275862068966,-0.087,-1.014,0.014
580,1759305241699,4.88,-88.95,165.32,828,775,793,834,852,33.333333333333336,-0.088,-1.016,0.017
609,1759305241728,4.92,-88.94,165.33,826,777,790,841,858,34.48275862068966,-0.084,-1.017,0.019
639,1759305241756,4.99,-88.92,165.31,821,777,789,829,845,33.333333333333336,-0.083,-1.017,0.018
668,1759305241787,4.98,-88.93,165.29,820,789,791,838,872,34.48275862068966,-0.085,-1.017,0.015
697,1759305241816,4.92,-89.0,165.28,828,788,787,837,858,34.48275862068966,-0.085,-1.017,0.014
727,1759305241847,4.88,-89.01,165.29,826,781,793,836,852,33.333333333333336,-0.085,-1.016,0.016
757,1759305241876,4.83,-89.03,165.28,822,781,787,826,847,33.333333333333336,-0.087,-1.016,0.016
786,1759305241907,4.78,-89.11,165.33,823,787,796,838,853,34.48275862068966,-0.091,-1.015,0.014
815,1759305241935,4.65,-89.19,165.38,819,772,785,820,861,34.48275862068966,-0.09,-1.015,0.011
845,1759305241965,4.5,-89.26,165.38,822,783,786,837,852,33.333333333333336,-0.087,-1.015,0.01
874,1759305241992,4.42,-89.26,165.37,824,784,792,830,858,34.48275862068966,-0.087,-1.015,0.015
904,1759305242025,4.48,-89.18,165.4,818,785,801,831,853,33.333333333333336,-0.089,-1.016,0.017
933,1759305242053,4.51,-89.17,165.42,822,780,799,845,858,34.48275862068966,-0.09,-1.015,0.013
963,1759305242084,4.46,-89.24,165.41,832,787,802,843,862,33.333333333333336,-0.089,-1.015,0.009
992,1759305242110,4.38,-89.25,165.43,822,1,785,842,855,34.48275862068966,-0.09,-1.015,0.011
1021,1759305242144,4.37,-89.2,165.44,826,782,796,837,887,34.48275862068966,-0.092,-1.014,0.013
1051,1759305242172,4.36,-89.17,165.46,818,790,795,832,850,33.333333333333336,-0.096,-1.015,0.012
1080,1759305242202,4.3,-89.14,165.51,822,786,794,831,846,34.48275862068966,-0.093,-1.016,0.011
1110,1759305242232,4.24,-89.06,165.58,818,780,797,837,854,33.333333333333336,-0.093,-1.016,0.012
1139,1759305242257,4.14,-88.99,165.61,823,788,792,842,871,34.48275862068966,-0.095,-1.014,0.011
1169,1759305242291,4.01,-88.99,165.67,826,786,792,832,853,33.333333333333336,-0.097,-1.016,0.012
1198,1759305242318,3.91,-89.0,165.74,819,784,792,826,854,34.48275862068966,-0.096,-1.014,0.015
1228,1759305242347,3.87,-88.96,165.78,826,777,797,829,860,33.333333333333336,-0.097,-1.013,0.017
1257,1759305242376,3.85,-88.94,165.82,821,783,800,828,854,34.48275862068966,-0.101,-1.013,0.016
1286,1759305242407,3.8,-88.93,165.85,822,770,804,829,855,34.48275862068966,-0.102,-1.013,0.019
1316,1759305242440,3.85,-88.92,165.91,824,783,793,829,859,33.333333333333336,-0.1,-1.016,0.024
1345,1759305242463,4.0,-88.8,166.05,823,780,788,839,857,34.48275862068966,-0.099,-1.017,0.024
1375,1759305242499,4.15,-88.61,166.06,822,775,794,838,855,33.333333333333336,-0.101,-1.013,0.019
1404,1759305242524,4.17,-88.55,166.06,821,767,803,836,851,34.48275862068966,-0.105,-1.012,0.014
1434,1759305242552,4.04,-88.66,166.08,823,776,790,833,858,33.333333333333336,-0.107,-1.011,0.016
1463,1759305242593,3.92,-88.69,166.08,828,774,797,839,852,34.48275862068966,-0.108,-1.011,0.02
1493,1759305242624,3.86,-88.67,166.09,815,785,797,824,863,33.333333333333336,-0.108,-1.012,0.022
1522,1759305242640,3.85,-88.63,166.14,814,786,787,839,859,34.48275862068966,-0.107,-1.012,0.022
1552,1759305242672,3.84,-88.61,166.18,823,787,793,833,859,33.333333333333336,-0.108,-1.011,0.023
1582,1759305242705,3.81,-88.52,166.15,818,788,787,835,858,33.333333333333336,-0.11,-1.011,0.025
1611,1759305242742,3.8,-88.49,166.12,825,787,791,838,850,34.48275862068966,-0.113,-1.01,0.027
1631,1759305242760,3.83,-88.49,166.13,821,784,792,842,846,50.0,-0.115,-1.01,0.029
1661,1759305242781,3.89,-88.55,166.15,819,779,794,841,858,33.333333333333336,-0.117,-1.011,0.031
1690,1759305242821,3.96,-88.55,166.18,822,788,793,822,850,34.48275862068966,-0.115,-1.01,0.031
1720,1759305242844,4.01,-88.57,166.16,818,796,788,829,862,33.333333333333336,-0.114,-1.01,0.029
1750,1759305242867,4.05,-88.61,166.13,817,789,793,828,851,33.333333333333336,-0.115,-1.012,0.029
1779,1759305242913,4.11,-88.57,166.14,818,777,795,835,853,34.48275862068966,-0.115,-1.012,0.03
1808,1759305242938,4.18,-88.55,166.13,823,782,795,844,856,34.48275862068966,-0.114,-1.012,0.03
1838,1759305242962,4.25,-88.49,166.15,823,785,779,837,857,33.333333333333336,-0.115,-1.013,0.03
1867,1759305242989,4.27,-88.45,166.16,818,795,783,831,861,34.48275862068966,-0.116,-1.012,0.028
1897,1759305243016,4.26,-88.45,166.17,817,782,796,827,856,33.333333333333336,-0.116,-1.012,0.029
1926,1759305243045,4.27,-88.43,166.15,816,780,796,825,863,34.48275862068966,-0.116,-1.01,0.031
1955,1759305243075,4.34,-88.4,166.14,822,793,795,836,854,34.48275862068966,-0.117,-1.013,0.033
1985,1759305243107,4.43,-88.29,166.16,819,781,804,839,891,33.333333333333336,-0.117,-1.012,0.034
2014,1759305243139,4.48,-88.22,166.19,824,790,789,843,846,34.48275862068966,-0.118,-1.012,0.031
2044,1759305243175,4.41,-88.27,166.19,822,784,779,838,843,33.333333333333336,-0.119,-1.01,0.03
2073,1759305243210,4.34,-88.34,166.16,817,787,804,832,846,34.48275862068966,-0.119,-1.01,0.033
2103,1759305243249,4.36,-88.32,166.16,824,774,792,841,865,33.333333333333336,-0.119,-1.012,0.035
2132,1759305243288,4.45,-88.29,166.15,815,787,785,840,858,34.48275862068966,-0.117,-1.012,0.034
2162,1759305243323,4.53,-88.23,166.15,822,792,789,837,852,33.333333333333336,-0.117,-1.013,0.034
2191,1759305243358,4.57,-88.19,166.15,819,807,791,830,852,34.48275862068966,-0.119,-1.01,0.034
2220,1759305243390,4.6,-88.22,166.1,821,790,794,832,856,34.48275862068966,-0.12,-1.009,0.035
2250,1759305243423,4.64,-88.27,166.06,823,788,792,842,856,33.333333333333336,-0.122,-1.009,0.036
2279,1759305243452,4.71,-88.28,166.02,819,786,796,835,853,34.48275862068966,-0.121,-1.01,0.035
2309,1759305243481,4.74,-88.26,165.99,814,787,786,843,883,33.333333333333336,-0.119,-1.012,0.032
