timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759305310541,50.14,-160.4,7.25,818,791,897,902,887,34.48275862068966,-0.777,-0.217,-0.601
30,1759305310570,50.14,-160.4,7.26,821,786,895,913,905,33.333333333333336,-0.776,-0.218,-0.601
59,1759305310600,50.13,-160.39,7.28,822,782,882,909,894,34.48275862068966,-0.776,-0.217,-0.603
89,1759305310629,50.11,-160.4,7.3,816,785,892,899,894,33.333333333333336,-0.776,-0.218,-0.602
118,1759305310659,50.09,-160.39,7.33,821,782,890,912,893,34.48275862068966,-0.776,-0.217,-0.602
148,1759305310688,50.09,-160.39,7.4,815,776,893,899,897,33.333333333333336,-0.777,-0.218,-0.602
177,1759305310718,50.07,-160.38,7.43,821,781,891,917,895,34.48275862068966,-0.777,-0.217,-0.602
207,1759305310747,50.07,-160.38,7.41,823,782,889,894,896,33.333333333333336,-0.777,-0.215,-0.602
236,1759305310777,50.1,-160.37,7.38,820,785,888,895,886,34.48275862068966,-0.777,-0.215,-0.601
266,1759305310807,50.12,-160.39,7.38,811,777,888,906,906,33.333333333333336,-0.777,-0.214,-0.603
296,1759305310836,50.12,-160.39,7.36,818,771,897,901,896,33.333333333333336,-0.779,-0.215,-0.604
325,1759305310866,50.14,-160.42,7.34,822,766,885,901,896,34.48275862068966,-0.777,-0.215,-0.602
355,1759305310895,50.16,-160.37,7.27,814,789,905,893,894,33.333333333333336,-0.778,-0.215,-0.602
384,1759305310925,50.19,-160.4,7.25,819,790,887,901,891,34.48275862068966,-0.777,-0.216,-0.603
413,1759305310954,50.2,-160.43,7.26,814,779,900,895,901,34.48275862068966,-0.777,-0.217,-0.603
443,1759305310983,50.19,-160.45,7.3,818,781,891,901,932,33.333333333333336,-0.777,-0.219,-0.602
472,1759305311013,50.19,-160.42,7.31,815,790,889,896,891,34.48275862068966,-0.776,-0.219,-0.601
502,1759305311042,50.2,-160.42,7.31,815,786,890,894,900,33.333333333333336,-0.777,-0.216,-0.604
531,1759305311072,50.18,-160.44,7.31,815,788,893,894,892,34.48275862068966,-0.777,-0.216,-0.605
561,1759305311101,50.17,-160.46,7.31,819,784,898,904,898,33.333333333333336,-0.776,-0.218,-0.602
590,1759305311131,50.15,-160.43,7.31,818,784,893,904,898,34.48275862068966,-0.777,-0.218,-0.602
620,1759305311160,50.14,-160.43,7.33,820,770,893,900,899,33.333333333333336,-0.777,-0.217,-0.603
649,1759305311190,50.14,-160.43,7.33,820,779,888,907,901,34.48275862068966,-0.777,-0.216,-0.603
679,1759305311221,50.13,-160.42,7.33,811,777,895,898,894,33.333333333333336,-0.777,-0.217,-0.602
708,1759305311249,50.12,-160.42,7.34,820,785,884,900,897,34.48275862068966,-0.777,-0.216,-0.603
738,1759305311279,50.14,-160.41,7.33,819,777,887,905,881,33.333333333333336,-0.777,-0.216,-0.601
767,1759305311311,50.14,-160.38,7.31,823,778,890,900,896,34.48275862068966,-0.777,-0.216,-0.602
797,1759305311340,50.14,-160.4,7.3,813,781,883,904,897,33.333333333333336,-0.777,-0.215,-0.603
826,1759305311370,50.15,-160.4,7.3,816,785,879,905,897,34.48275862068966,-0.777,-0.217,-0.602
856,1759305311396,50.15,-160.39,7.3,818,781,897,896,888,33.333333333333336,-0.777,-0.217,-0.603
885,1759305311426,50.13,-160.36,7.32,823,784,884,900,908,34.48275862068966,-0.777,-0.217,-0.602
915,1759305311455,50.13,-160.37,7.32,815,776,898,907,891,33.333333333333336,-0.778,-0.216,-0.603
944,1759305311485,50.13,-160.34,7.3,821,780,883,900,881,34.48275862068966,-0.777,-0.217,-0.601
974,1759305311517,50.15,-160.33,7.29,814,783,906,894,897,33.333333333333336,-0.778,-0.216,-0.603
1003,1759305311545,50.16,-160.34,7.29,820,785,887,906,895,34.48275862068966,-0.777,-0.218,-0.603
1033,1759305311573,50.16,-160.36,7.32,818,781,894,895,894,33.333333333333336,-0.778,-0.219,-0.603
1062,1759305311603,50.15,-160.33,7.35,817,790,901,901,897,34.48275862068966,-0.777,-0.219,-0.601
1092,1759305311634,50.15,-160.33,7.38,816,782,894,903,893,33.333333333333336,-0.778,-0.217,-0.604
1121,1759305311666,50.11,-160.29,7.34,817,777,882,906,896,34.48275862068966,-0.778,-0.215,-0.603
1150,1759305311693,50.15,-160.35,7.32,824,772,888,897,888,34.48275862068966,-0.778,-0.217,-0.601
1180,1759305311728,50.19,-160.36,7.29,817,780,879,900,892,33.333333333333336,-0.778,-0.218,-0.6
1209,1759305311757,50.22,-160.35,7.29,818,774,889,913,902,34.48275862068966,-0.778,-0.219,-0.601
1239,1759305311786,50.22,-160.36,7.31,820,790,880,911,895,33.333333333333336,-0.778,-0.218,-0.602
1268,1759305311818,50.22,-160.36,7.31,814,788,888,891,892,34.48275862068966,-0.777,-0.217,-0.604
1298,1759305311840,50.23,-160.37,7.31,818,786,882,905,896,33.333333333333336,-0.777,-0.217,-0.602
1328,1759305311874,50.24,-160.36,7.3,824,791,897,901,897,33.333333333333336,-0.777,-0.218,-0.602
