timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759311078972,34.77,-156.33,-19.72,824,786,798,866,916,33.333333333333336,-0.576,-0.364,-0.75
29,1759311079001,34.74,-156.3,-19.74,820,787,812,881,903,34.48275862068966,-0.574,-0.364,-0.749
59,1759311079031,34.71,-156.28,-19.75,816,787,801,878,909,33.333333333333336,-0.575,-0.365,-0.75
89,1759311079060,34.69,-156.26,-19.75,839,781,796,877,908,33.333333333333336,-0.575,-0.365,-0.749
118,1759311079090,34.66,-156.23,-19.75,822,783,784,881,905,34.48275862068966,-0.575,-0.368,-0.748
148,1759311079120,34.65,-156.13,-19.77,816,788,799,884,894,33.333333333333336,-0.575,-0.368,-0.746
177,1759311079150,34.64,-156.06,-19.77,815,789,794,887,893,34.48275862068966,-0.575,-0.367,-0.747
197,1759311079169,34.64,-156.03,-19.76,821,784,802,889,909,50.0,-0.575,-0.367,-0.747
227,1759311079199,34.64,-156.05,-19.72,810,788,795,886,837,33.333333333333336,-0.576,-0.368,-0.747
256,1759311079228,34.63,-156.02,-19.7,807,788,806,897,790,34.48275862068966,-0.575,-0.368,-0.746
286,1759311079258,34.63,-156.0,-19.7,825,788,804,874,794,33.333333333333336,-0.576,-0.366,-0.746
316,1759311079288,34.63,-156.02,-19.71,819,775,798,894,794,33.333333333333336,-0.576,-0.366,-0.747
345,1759311079318,34.62,-156.05,-19.71,828,788,791,873,806,34.48275862068966,-0.576,-0.367,-0.746
375,1759311079347,34.62,-156.05,-19.71,811,787,796,899,798,33.333333333333336,-0.576,-0.366,-0.746
405,1759311079377,34.61,-156.06,-19.73,808,792,792,870,797,33.333333333333336,-0.576,-0.368,-0.745
434,1759311079406,34.6,-156.07,-19.74,813,787,793,893,822,34.48275862068966,-0.576,-0.367,-0.745
464,1759311079436,34.61,-156.08,-19.74,826,792,791,882,807,33.333333333333336,-0.576,-0.369,-0.745
493,1759311079465,34.61,-156.06,-19.73,820,786,798,878,835,34.48275862068966,-0.576,-0.369,-0.745
523,1759311079495,34.61,-156.05,-19.74,817,778,791,870,838,33.333333333333336,-0.576,-0.369,-0.746
552,1759311079525,34.6,-156.02,-19.75,826,790,798,871,870,34.48275862068966,-0.576,-0.368,-0.744
582,1759311079555,34.59,-156.0,-19.76,812,778,799,865,849,33.333333333333336,-0.576,-0.369,-0.745
612,1759311079584,34.6,-155.96,-19.76,816,787,794,866,838,33.333333333333336,-0.576,-0.369,-0.745
641,1759311079613,34.6,-155.94,-19.75,810,791,807,873,818,34.48275862068966,-0.576,-0.369,-0.745
671,1759311079643,34.59,-155.92,-19.75,814,782,802,879,805,33.333333333333336,-0.576,-0.37,-0.744
700,1759311079672,34.59,-155.88,-19.75,817,789,795,886,822,34.48275862068966,-0.576,-0.371,-0.744
730,1759311079702,34.59,-155.84,-19.73,831,787,788,883,818,33.333333333333336,-0.577,-0.371,-0.744
759,1759311079731,34.61,-155.81,-19.73,820,789,800,877,818,34.48275862068966,-0.577,-0.37,-0.743
789,1759311079761,34.64,-155.83,-19.73,828,782,794,882,813,33.333333333333336,-0.576,-0.368,-0.744
