timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759311517474,-14.81,-58.37,-13.56,827,783,889,858,767,33.333333333333336,0.265,-0.834,0.524
29,1759311517503,-14.8,-58.37,-13.54,824,780,888,857,765,34.48275862068966,0.265,-0.834,0.524
59,1759311517533,-14.81,-58.36,-13.52,821,785,884,859,767,33.333333333333336,0.265,-0.833,0.524
79,1759311517553,-14.8,-58.34,-13.52,827,777,883,863,768,50.0,0.264,-0.833,0.524
108,1759311517582,-14.8,-58.34,-13.52,831,793,885,854,770,34.48275862068966,0.265,-0.833,0.524
138,1759311517612,-14.81,-58.34,-13.51,825,782,896,865,769,33.333333333333336,0.265,-0.834,0.524
168,1759311517642,-14.8,-58.35,-13.49,823,783,891,862,771,33.333333333333336,0.264,-0.833,0.525
197,1759311517672,-14.78,-58.35,-13.49,831,787,888,850,767,34.48275862068966,0.264,-0.832,0.525
227,1759311517701,-14.78,-58.34,-13.51,824,780,899,849,769,33.333333333333336,0.264,-0.832,0.524
256,1759311517731,-14.78,-58.36,-13.52,831,788,894,861,765,34.48275862068966,0.263,-0.833,0.524
286,1759311517760,-14.77,-58.38,-13.51,827,787,893,868,774,33.333333333333336,0.263,-0.833,0.524
315,1759311517789,-14.77,-58.38,-13.52,824,781,896,857,769,34.48275862068966,0.264,-0.832,0.524
345,1759311517819,-14.77,-58.38,-13.53,827,779,890,859,761,33.333333333333336,0.264,-0.833,0.524
374,1759311517849,-14.78,-58.4,-13.54,829,778,871,862,778,34.48275862068966,0.264,-0.833,0.523
404,1759311517878,-14.78,-58.42,-13.55,822,791,898,868,784,33.333333333333336,0.263,-0.833,0.523
433,1759311517908,-14.77,-58.42,-13.56,813,790,881,862,753,34.48275862068966,0.264,-0.834,0.524
463,1759311517937,-14.79,-58.42,-13.57,826,784,892,862,755,33.333333333333336,0.264,-0.833,0.523
493,1759311517967,-14.8,-58.44,-13.57,823,785,896,861,758,33.333333333333336,0.264,-0.833,0.524
522,1759311517996,-14.79,-58.44,-13.57,823,768,894,871,760,34.48275862068966,0.265,-0.834,0.524
552,1759311518026,-14.78,-58.45,-13.58,823,772,891,851,761,33.333333333333336,0.265,-0.833,0.524
581,1759311518055,-14.77,-58.45,-13.59,817,787,893,863,763,34.48275862068966,0.265,-0.834,0.523
611,1759311518087,-14.76,-58.43,-13.59,828,787,903,876,755,33.333333333333336,0.265,-0.835,0.523
640,1759311518116,-14.76,-58.46,-13.56,826,788,886,865,749,34.48275862068966,0.265,-0.835,0.523
670,1759311518144,-14.76,-58.45,-13.55,821,774,882,854,772,33.333333333333336,0.265,-0.834,0.523
690,1759311518164,-14.76,-58.43,-13.55,830,784,874,868,763,50.0,0.265,-0.833,0.523
719,1759311518193,-14.74,-58.42,-13.54,823,773,879,855,771,34.48275862068966,0.265,-0.835,0.524
749,1759311518223,-14.72,-58.41,-13.5,841,787,880,873,770,33.333333333333336,0.265,-0.835,0.523
778,1759311518255,-14.73,-58.42,-13.47,818,781,899,859,769,34.48275862068966,0.264,-0.834,0.522
808,1759311518284,-14.74,-58.42,-13.46,824,788,891,858,761,33.333333333333336,0.264,-0.833,0.522
837,1759311518314,-14.75,-58.4,-13.45,823,784,895,856,756,34.48275862068966,0.264,-0.834,0.523
867,1759311518342,-14.73,-58.41,-13.43,832,792,890,864,770,33.333333333333336,0.264,-0.834,0.524
896,1759311518370,-14.73,-58.42,-13.43,824,788,888,873,760,34.48275862068966,0.263,-0.833,0.522
926,1759311518400,-14.75,-58.43,-13.44,825,783,893,850,761,33.333333333333336,0.262,-0.833,0.522
955,1759311518432,-14.75,-58.43,-13.44,832,778,881,863,760,34.48275862068966,0.263,-0.834,0.523
976,1759311518452,-14.74,-58.42,-13.44,823,786,892,862,758,47.61904761904762,0.263,-0.833,0.524
1006,1759311518480,-14.73,-58.43,-13.44,823,781,889,868,764,33.333333333333336,0.263,-0.833,0.524
1036,1759311518510,-14.73,-58.46,-13.45,821,788,871,868,761,33.333333333333336,0.263,-0.833,0.523
1066,1759311518540,-14.73,-58.47,-13.47,830,792,894,852,761,33.333333333333336,0.262,-0.833,0.522
1095,1759311518572,-14.73,-58.5,-13.49,826,785,879,867,746,34.48275862068966,0.263,-0.834,0.522
1125,1759311518605,-14.74,-58.51,-13.5,825,781,883,855,755,33.333333333333336,0.263,-0.835,0.523
1154,1759311518631,-14.74,-58.52,-13.51,833,784,887,872,746,34.48275862068966,0.263,-0.835,0.522
1184,1759311518659,-14.74,-58.51,-13.52,822,788,891,861,749,33.333333333333336,0.264,-0.835,0.521
1213,1759311518687,-14.75,-58.52,-13.53,814,786,894,865,743,34.48275862068966,0.264,-0.835,0.521
1243,1759311518717,-14.77,-58.53,-13.54,821,782,888,854,748,33.333333333333336,0.264,-0.835,0.521
1272,1759311518749,-14.76,-58.54,-13.54,820,783,884,875,748,34.48275862068966,0.264,-0.834,0.522
1302,1759311518783,-14.75,-58.55,-13.55,826,781,884,857,746,33.333333333333336,0.264,-0.835,0.522
1331,1759311518807,-14.74,-58.54,-13.56,826,791,892,855,746,34.48275862068966,0.265,-0.835,0.521
1361,1759311518844,-14.73,-58.54,-13.56,819,783,891,842,739,33.333333333333336,0.265,-0.836,0.521
1391,1759311518869,-14.72,-58.54,-13.55,818,785,901,865,739,33.333333333333336,0.265,-0.837,0.521
1420,1759311518897,-14.73,-58.52,-13.53,818,779,887,863,736,34.48275862068966,0.265,-0.836,0.521
1450,1759311518925,-14.74,-58.51,-13.53,824,771,889,852,750,33.333333333333336,0.264,-0.836,0.521
1479,1759311518956,-14.74,-58.49,-13.52,828,779,893,867,746,34.48275862068966,0.264,-0.835,0.521
1509,1759311518986,-14.74,-58.47,-13.52,826,777,885,857,752,33.333333333333336,0.264,-0.835,0.522
1538,1759311519019,-14.74,-58.48,-13.51,821,791,890,860,750,34.48275862068966,0.264,-0.834,0.522
1568,1759311519053,-14.75,-58.49,-13.51,822,791,896,862,741,33.333333333333336,0.264,-0.834,0.522
1598,1759311519075,-14.77,-58.46,-13.49,820,773,898,862,727,33.333333333333336,0.263,-0.834,0.522
1620,1759311519095,-14.82,-58.5,-13.52,832,786,887,858,718,45.45454545454545,0.264,-0.832,0.52
1650,1759311519133,-14.85,-58.54,-13.53,819,784,884,863,717,33.333333333333336,0.265,-0.835,0.522
1680,1759311519154,-14.84,-58.53,-13.5,831,780,890,866,732,33.333333333333336,0.266,-0.834,0.523
1709,1759311519196,-14.83,-58.53,-13.49,825,779,892,858,710,34.48275862068966,0.266,-0.834,0.523
1739,1759311519219,-14.83,-58.52,-13.49,830,778,898,874,707,33.333333333333336,0.265,-0.833,0.521
1768,1759311519265,-14.83,-58.53,-13.49,819,781,888,838,706,34.48275862068966,0.265,-0.834,0.521
1798,1759311519290,-14.82,-58.52,-13.48,824,785,882,864,704,33.333333333333336,0.266,-0.834,0.522
1828,1759311519314,-14.82,-58.52,-13.48,824,787,884,862,691,33.333333333333336,0.265,-0.834,0.522
