timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759306744690,-16.41,-15.17,-171.44,842,787,784,894,913,34.48275862068966,0.267,-0.285,0.937
30,1759306744720,-16.39,-15.14,-171.46,836,783,790,908,910,33.333333333333336,0.268,-0.282,0.936
59,1759306744749,-16.4,-15.19,-171.5,841,782,785,887,918,34.48275862068966,0.267,-0.28,0.935
89,1759306744779,-16.4,-15.2,-171.52,844,773,786,896,921,33.333333333333336,0.267,-0.282,0.936
118,1759306744808,-16.39,-15.22,-171.55,846,784,784,889,906,34.48275862068966,0.267,-0.282,0.936
148,1759306744838,-16.4,-15.24,-171.59,851,793,793,882,918,33.333333333333336,0.267,-0.283,0.936
177,1759306744867,-16.41,-15.24,-171.63,845,781,789,896,910,34.48275862068966,0.267,-0.282,0.936
207,1759306744897,-16.41,-15.27,-171.66,846,780,788,909,923,33.333333333333336,0.267,-0.281,0.935
236,1759306744926,-16.41,-15.3,-171.7,843,786,785,880,909,34.48275862068966,0.267,-0.284,0.936
266,1759306744956,-16.4,-15.29,-171.73,852,800,796,890,920,33.333333333333336,0.267,-0.284,0.936
295,1759306744985,-16.41,-15.28,-171.76,843,790,785,879,925,34.48275862068966,0.268,-0.282,0.935
325,1759306745014,-16.42,-15.29,-171.8,839,777,774,898,915,33.333333333333336,0.267,-0.283,0.936
354,1759306745044,-16.43,-15.29,-171.83,846,785,780,901,910,34.48275862068966,0.267,-0.282,0.935
383,1759306745073,-16.42,-15.3,-171.85,852,784,782,897,925,34.48275862068966,0.267,-0.283,0.935
413,1759306745103,-16.42,-15.32,-171.88,844,783,777,890,918,33.333333333333336,0.267,-0.283,0.935
442,1759306745132,-16.42,-15.31,-171.43,855,789,784,889,915,34.48275862068966,0.268,-0.283,0.936
472,1759306745162,-16.43,-15.29,-171.47,848,787,786,887,922,33.333333333333336,0.268,-0.282,0.935
502,1759306745192,-16.44,-15.31,-171.5,847,785,795,883,917,33.333333333333336,0.268,-0.282,0.936
531,1759306745222,-16.46,-15.31,-171.52,850,780,788,897,921,34.48275862068966,0.268,-0.282,0.936
561,1759306745251,-16.46,-15.32,-171.54,845,788,789,893,924,33.333333333333336,0.267,-0.282,0.935
590,1759306745280,-16.46,-15.34,-171.57,836,787,778,896,914,34.48275862068966,0.268,-0.282,0.936
620,1759306745310,-16.45,-15.36,-171.6,840,782,788,906,924,33.333333333333336,0.268,-0.283,0.936
649,1759306745339,-16.44,-15.36,-171.61,844,786,785,893,928,34.48275862068966,0.268,-0.283,0.936
679,1759306745370,-16.43,-15.38,-171.65,848,784,795,888,926,33.333333333333336,0.268,-0.282,0.936
708,1759306745401,-16.42,-15.41,-171.69,846,790,783,894,912,34.48275862068966,0.267,-0.283,0.936
738,1759306745427,-16.41,-15.39,-171.71,849,780,790,908,914,33.333333333333336,0.268,-0.284,0.935
767,1759306745458,-16.4,-15.36,-171.72,848,771,782,886,921,34.48275862068966,0.268,-0.283,0.933
797,1759306745487,-16.43,-15.39,-171.76,847,782,778,907,912,33.333333333333336,0.268,-0.284,0.934
826,1759306745516,-16.43,-15.4,-171.79,848,789,787,888,919,34.48275862068966,0.268,-0.284,0.935
856,1759306745547,-16.43,-15.43,-171.81,844,778,788,900,913,33.333333333333336,0.268,-0.282,0.934
886,1759306745580,-16.43,-15.42,-171.83,841,783,781,899,904,33.333333333333336,0.268,-0.285,0.935
915,1759306745608,-16.42,-15.4,-171.84,849,775,794,896,910,34.48275862068966,0.268,-0.284,0.936
945,1759306745639,-16.44,-15.43,-171.87,841,783,790,903,910,33.333333333333336,0.268,-0.281,0.933
974,1759306745664,-16.44,-15.43,-171.89,841,783,794,888,908,34.48275862068966,0.269,-0.285,0.936
1004,1759306745697,-16.41,-15.4,-171.88,849,780,782,898,913,33.333333333333336,0.268,-0.285,0.935
1033,1759306745724,-16.41,-15.42,-171.86,846,787,781,898,916,34.48275862068966,0.268,-0.283,0.935
1063,1759306745753,-16.42,-15.42,-171.87,844,785,788,896,925,33.333333333333336,0.268,-0.283,0.935
1093,1759306745784,-16.43,-15.42,-171.89,839,768,788,901,917,33.333333333333336,0.268,-0.283,0.935
1122,1759306745815,-16.42,-15.41,-171.9,855,774,777,900,917,34.48275862068966,0.268,-0.285,0.937
1151,1759306745841,-16.4,-15.39,-171.9,840,786,787,891,909,34.48275862068966,0.268,-0.285,0.936
1181,1759306745876,-16.37,-15.37,-171.9,850,785,784,888,910,33.333333333333336,0.267,-0.284,0.935
1211,1759306745905,-16.38,-15.39,-171.92,846,778,785,928,924,33.333333333333336,0.266,-0.283,0.933
1240,1759306745933,-16.38,-15.38,-171.95,850,779,789,910,921,34.48275862068966,0.268,-0.286,0.937
1270,1759306745965,-16.35,-15.36,-171.95,845,784,789,891,921,33.333333333333336,0.267,-0.284,0.936
1299,1759306745997,-16.32,-15.37,-171.93,845,788,782,895,926,34.48275862068966,0.265,-0.283,0.935
1328,1759306746021,-16.28,-15.33,-171.93,840,776,788,896,916,34.48275862068966,0.264,-0.286,0.936
1358,1759306746057,-16.28,-15.31,-171.95,848,787,785,892,917,33.333333333333336,0.266,-0.284,0.934
1387,1759306746082,-16.33,-15.32,-171.98,842,790,782,898,921,34.48275862068966,0.266,-0.282,0.935
1417,1759306746109,-16.35,-15.35,-172.02,853,781,792,892,915,33.333333333333336,0.265,-0.282,0.935
1446,1759306746137,-16.34,-15.36,-172.04,844,783,789,894,919,34.48275862068966,0.265,-0.286,0.937
1476,1759306746167,-16.33,-15.35,-172.05,846,782,781,885,916,33.333333333333336,0.266,-0.285,0.936
1505,1759306746197,-16.35,-15.36,-172.07,851,778,780,904,955,34.48275862068966,0.266,-0.282,0.935
1535,1759306746229,-16.36,-15.39,-172.1,838,783,787,908,918,33.333333333333336,0.265,-0.283,0.935
1564,1759306746263,-16.37,-15.41,-172.12,836,780,788,882,918,34.48275862068966,0.265,-0.284,0.936
1594,1759306746300,-16.35,-15.42,-172.13,846,785,783,898,911,33.333333333333336,0.266,-0.286,0.937
1623,1759306746319,-16.34,-15.42,-172.15,848,779,779,892,909,34.48275862068966,0.267,-0.284,0.936
1652,1759306746359,-16.39,-15.42,-172.2,843,780,793,890,916,34.48275862068966,0.267,-0.282,0.935
1682,1759306746379,-16.39,-15.42,-172.21,857,778,786,896,917,33.333333333333336,0.267,-0.287,0.937
1711,1759306746402,-16.36,-15.37,-172.21,852,783,798,886,918,34.48275862068966,0.266,-0.286,0.936
1741,1759306746445,-16.36,-15.37,-172.21,848,781,781,882,913,33.333333333333336,0.265,-0.282,0.934
1770,1759306746470,-16.38,-15.4,-172.24,846,786,791,906,918,34.48275862068966,0.265,-0.283,0.935
1800,1759306746495,-16.37,-15.41,-172.25,849,782,782,892,910,33.333333333333336,0.265,-0.285,0.935
1829,1759306746519,-16.36,-15.42,-172.25,835,777,788,916,917,34.48275862068966,0.265,-0.284,0.935
1858,1759306746573,-16.38,-15.43,-172.27,841,784,780,902,914,34.48275862068966,0.265,-0.283,0.934
1888,1759306746602,-16.39,-15.44,-172.29,851,784,781,898,901,33.333333333333336,0.266,-0.284,0.935
1917,1759306746631,-16.39,-15.47,-172.3,850,785,784,896,911,34.48275862068966,0.266,-0.283,0.934
1947,1759306746664,-16.42,-15.49,-172.33,839,786,786,901,916,33.333333333333336,0.267,-0.282,0.934
1976,1759306746696,-16.46,-15.51,-172.37,844,779,789,902,907,34.48275862068966,0.267,-0.284,0.935
2006,1759306746732,-16.49,-15.53,-172.41,849,770,785,917,898,33.333333333333336,0.267,-0.285,0.935
