timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759311813744,8.47,-96.31,-32.72,878,773,874,900,903,50.0,-0.143,-1.002,-0.106
29,1759311813746,8.49,-96.29,-32.72,854,780,871,904,901,34.48275862068966,-0.143,-1.002,-0.107
59,1759311813748,8.5,-96.29,-32.72,860,775,868,905,926,33.333333333333336,-0.143,-1.002,-0.108
88,1759311813774,8.52,-96.27,-32.72,851,782,867,896,909,34.48275862068966,-0.143,-1.002,-0.106
118,1759311813803,8.53,-96.23,-32.72,826,779,874,895,907,33.333333333333336,-0.143,-1.001,-0.106
148,1759311813833,8.53,-96.23,-32.73,856,771,864,902,912,33.333333333333336,-0.143,-1.001,-0.107
177,1759311813862,8.52,-96.26,-32.74,862,783,865,907,912,34.48275862068966,-0.143,-1.001,-0.107
206,1759311813892,8.5,-96.28,-32.74,854,789,874,893,922,34.48275862068966,-0.143,-1.002,-0.107
236,1759311813922,8.5,-96.25,-32.73,859,781,860,893,916,33.333333333333336,-0.143,-1.002,-0.105
266,1759311813951,8.51,-96.22,-32.73,870,781,870,907,917,33.333333333333336,-0.143,-1.002,-0.105
295,1759311813981,8.5,-96.24,-32.73,860,783,857,900,918,34.48275862068966,-0.143,-1.002,-0.106
325,1759311814010,8.49,-96.23,-32.72,853,785,851,904,901,33.333333333333336,-0.143,-1.001,-0.106
354,1759311814041,8.48,-96.24,-32.72,858,777,867,908,917,34.48275862068966,-0.143,-1.002,-0.105
384,1759311814070,8.48,-96.24,-32.72,845,779,863,901,925,33.333333333333336,-0.143,-1.002,-0.105
414,1759311814099,8.47,-96.22,-32.71,860,786,854,896,897,33.333333333333336,-0.143,-1.002,-0.106
443,1759311814129,8.46,-96.22,-32.7,857,779,878,899,917,34.48275862068966,-0.143,-1.003,-0.104
473,1759311814159,8.47,-96.18,-32.69,864,782,869,906,911,33.333333333333336,-0.143,-1.002,-0.104
502,1759311814188,8.47,-96.17,-32.69,862,775,872,913,902,34.48275862068966,-0.144,-1.001,-0.104
532,1759311814218,8.48,-96.19,-32.71,867,775,879,905,917,33.333333333333336,-0.144,-1.002,-0.104
561,1759311814247,8.49,-96.19,-32.7,856,790,856,907,912,34.48275862068966,-0.144,-1.003,-0.104
591,1759311814278,8.49,-96.19,-32.7,863,778,866,896,927,33.333333333333336,-0.144,-1.002,-0.105
620,1759311814306,8.49,-96.23,-32.7,849,784,871,903,920,34.48275862068966,-0.144,-1.002,-0.105
649,1759311814335,8.5,-96.25,-32.7,865,781,878,903,921,34.48275862068966,-0.144,-1.003,-0.104
679,1759311814366,8.52,-96.22,-32.69,868,790,858,895,917,33.333333333333336,-0.144,-1.003,-0.104
708,1759311814396,8.53,-96.19,-32.69,854,775,875,901,919,34.48275862068966,-0.144,-1.002,-0.106
738,1759311814424,8.52,-96.18,-32.7,862,771,861,905,908,33.333333333333336,-0.144,-1.003,-0.107
768,1759311814454,8.51,-96.19,-32.69,859,788,875,890,914,33.333333333333336,-0.144,-1.002,-0.107
797,1759311814485,8.49,-96.18,-32.69,852,790,861,897,923,34.48275862068966,-0.144,-1.003,-0.105
827,1759311814512,8.5,-96.15,-32.69,857,784,871,903,922,33.333333333333336,-0.144,-1.002,-0.105
857,1759311814542,8.48,-96.16,-32.69,858,772,856,903,933,33.333333333333336,-0.144,-1.002,-0.107
886,1759311814572,8.44,-96.18,-32.7,849,779,862,899,922,34.48275862068966,-0.144,-1.003,-0.106
915,1759311814602,8.43,-96.18,-32.68,859,780,860,905,919,34.48275862068966,-0.144,-1.002,-0.105
945,1759311814630,8.43,-96.16,-32.69,865,776,867,908,920,33.333333333333336,-0.144,-1.001,-0.104
974,1759311814664,8.42,-96.14,-32.7,863,785,865,901,914,34.48275862068966,-0.144,-1.001,-0.104
1004,1759311814689,8.42,-96.14,-32.7,861,779,857,895,907,33.333333333333336,-0.144,-1.002,-0.105
1033,1759311814721,8.4,-96.17,-32.71,864,783,874,899,912,34.48275862068966,-0.144,-1.001,-0.105
1063,1759311814748,8.4,-96.18,-32.72,862,776,861,918,912,33.333333333333336,-0.144,-1.001,-0.104
1092,1759311814783,8.42,-96.16,-32.73,855,782,867,904,903,34.48275862068966,-0.144,-1.002,-0.104
1122,1759311814813,8.42,-96.17,-32.74,850,787,878,901,916,33.333333333333336,-0.144,-1.002,-0.106
1151,1759311814837,8.41,-96.18,-32.75,847,779,875,901,911,34.48275862068966,-0.144,-1.002,-0.105
1181,1759311814869,8.42,-96.17,-32.76,853,776,861,895,911,33.333333333333336,-0.143,-1.002,-0.104
1210,1759311814896,8.44,-96.15,-32.78,848,791,858,899,917,34.48275862068966,-0.143,-1.004,-0.105
1240,1759311814931,8.45,-96.14,-32.78,860,789,863,900,915,33.333333333333336,-0.143,-1.003,-0.106
1260,1759311814951,8.44,-96.16,-32.79,877,784,870,901,938,50.0,-0.143,-1.001,-0.108
1290,1759311814979,8.42,-96.21,-32.8,867,775,863,900,908,33.333333333333336,-0.143,-1.003,-0.106
1320,1759311815010,8.45,-96.15,-32.78,863,784,870,898,908,33.333333333333336,-0.143,-1.003,-0.105
1349,1759311815041,8.47,-96.08,-32.79,860,765,864,896,914,34.48275862068966,-0.143,-1.002,-0.106
1379,1759311815065,8.46,-96.09,-32.79,858,788,861,891,905,33.333333333333336,-0.143,-1.003,-0.107
1409,1759311815099,8.46,-96.12,-32.79,857,790,879,892,919,33.333333333333336,-0.143,-1.003,-0.107
1438,1759311815124,8.46,-96.16,-32.79,851,799,876,904,904,34.48275862068966,-0.143,-1.003,-0.106
1468,1759311815164,8.46,-96.17,-32.8,872,786,868,904,908,33.333333333333336,-0.142,-1.002,-0.105
1497,1759311815191,8.46,-96.16,-32.8,873,776,866,912,919,34.48275862068966,-0.142,-1.004,-0.105
1527,1759311815221,8.47,-96.16,-32.8,848,785,875,905,908,33.333333333333336,-0.142,-1.003,-0.106
1557,1759311815252,8.47,-96.17,-32.8,852,778,859,893,914,33.333333333333336,-0.142,-1.004,-0.106
1586,1759311815284,8.48,-96.14,-32.79,871,787,866,901,921,34.48275862068966,-0.142,-1.004,-0.106
1616,1759311815301,8.48,-96.13,-32.8,843,782,866,908,909,33.333333333333336,-0.142,-1.003,-0.105
1645,1759311815337,8.48,-96.11,-32.79,851,780,854,912,921,34.48275862068966,-0.142,-1.003,-0.107
1675,1759311815374,8.46,-96.13,-32.78,848,794,873,892,917,33.333333333333336,-0.142,-1.004,-0.107
1704,1759311815395,8.46,-96.13,-32.77,855,780,873,899,914,34.48275862068966,-0.142,-1.003,-0.105
1734,1759311815436,8.48,-96.11,-32.77,859,786,863,902,919,33.333333333333336,-0.142,-1.002,-0.106
1763,1759311815459,8.48,-96.12,-32.77,854,780,868,911,908,34.48275862068966,-0.142,-1.003,-0.108
1793,1759311815482,8.46,-96.13,-32.77,859,785,882,892,899,33.333333333333336,-0.142,-1.003,-0.108
1823,1759311815528,8.45,-96.12,-32.77,865,771,875,900,915,33.333333333333336,-0.142,-1.003,-0.107
1853,1759311815553,8.44,-96.11,-32.78,857,778,859,903,912,33.333333333333336,-0.142,-1.003,-0.108
1882,1759311815581,8.44,-96.1,-32.77,860,772,874,904,919,34.48275862068966,-0.143,-1.003,-0.108
1912,1759311815608,8.43,-96.09,-32.77,859,788,870,907,915,33.333333333333336,-0.143,-1.003,-0.108
1942,1759311815639,8.41,-96.11,-32.77,852,787,867,900,911,33.333333333333336,-0.143,-1.002,-0.108
1971,1759311815669,8.41,-96.15,-32.77,869,780,862,900,915,34.48275862068966,-0.143,-1.002,-0.107
2001,1759311815702,8.42,-96.14,-32.78,854,780,874,903,907,33.333333333333336,-0.143,-1.002,-0.106
2030,1759311815735,8.42,-96.14,-32.79,866,794,864,894,910,34.48275862068966,-0.143,-1.003,-0.108
2060,1759311815771,8.47,-96.17,-32.77,842,781,860,910,914,33.333333333333336,-0.141,-1.001,-0.108
2089,1759311815807,8.46,-96.11,-32.79,866,788,885,908,913,34.48275862068966,-0.142,-1.002,-0.105
2119,1759311815839,8.4,-96.09,-32.82,865,784,864,902,920,33.333333333333336,-0.143,-1.007,-0.105
2148,1759311815871,8.44,-96.15,-32.81,851,787,877,899,907,34.48275862068966,-0.142,-1.004,-0.105
2178,1759311815901,8.45,-96.12,-32.84,852,777,877,909,930,33.333333333333336,-0.14,-1.001,-0.105
2208,1759311815930,8.41,-96.08,-32.82,875,780,851,898,908,33.333333333333336,-0.141,-1.004,-0.107
2237,1759311815957,8.39,-96.07,-32.8,851,792,873,911,914,34.48275862068966,-0.14,-1.004,-0.109
2267,1759311815983,8.39,-96.11,-32.83,896,787,865,897,915,33.333333333333336,-0.14,-1.001,-0.107
2297,1759311816008,8.4,-96.08,-32.82,861,801,869,907,909,33.333333333333336,-0.142,-1.003,-0.106
2327,1759311816032,8.38,-96.05,-32.81,860,786,858,897,902,33.333333333333336,-0.142,-1.003,-0.107
