timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1759307548864,38.77,45.6,-25.14,809,828,812,815,824,34.48275862068966,-0.615,0.561,0.535
30,1759307548867,38.73,45.6,-25.16,803,823,797,824,827,33.333333333333336,-0.617,0.56,0.537
59,1759307548884,38.72,45.61,-25.19,803,825,816,818,827,34.48275862068966,-0.616,0.559,0.537
89,1759307548914,38.71,45.58,-25.23,802,821,806,819,833,33.333333333333336,-0.618,0.557,0.539
118,1759307548943,38.69,45.59,-25.24,811,826,798,818,833,34.48275862068966,-0.618,0.556,0.54
148,1759307548973,38.69,45.6,-25.24,798,818,801,815,826,33.333333333333336,-0.617,0.556,0.542
177,1759307549002,38.72,45.61,-25.25,804,826,810,820,831,34.48275862068966,-0.618,0.556,0.542
207,1759307549032,38.76,45.63,-25.23,803,818,794,817,825,33.333333333333336,-0.618,0.556,0.542
236,1759307549062,38.77,45.65,-25.21,806,809,811,811,837,34.48275862068966,-0.617,0.555,0.54
266,1759307549091,38.77,45.65,-25.2,807,824,806,822,827,33.333333333333336,-0.617,0.555,0.538
295,1759307549120,38.78,45.64,-25.19,801,822,816,810,831,34.48275862068966,-0.619,0.555,0.538
324,1759307549150,38.78,45.63,-25.14,803,814,813,816,833,34.48275862068966,-0.619,0.554,0.538
354,1759307549179,38.79,45.62,-25.05,801,821,813,811,828,33.333333333333336,-0.617,0.555,0.538
384,1759307549209,38.84,45.64,-24.99,794,818,815,809,861,33.333333333333336,-0.618,0.558,0.538
413,1759307549238,38.86,45.65,-24.98,799,820,806,821,822,34.48275862068966,-0.617,0.561,0.535
442,1759307549268,38.83,45.61,-24.99,802,818,803,817,833,34.48275862068966,-0.614,0.562,0.533
472,1759307549297,38.8,45.6,-24.98,806,829,802,842,828,33.333333333333336,-0.613,0.562,0.535
501,1759307549326,38.77,45.61,-24.98,801,819,820,812,840,34.48275862068966,-0.614,0.564,0.537
531,1759307549356,38.78,45.6,-25.05,803,823,798,819,828,33.333333333333336,-0.613,0.565,0.539
560,1759307549385,38.79,45.58,-25.1,800,814,802,812,820,34.48275862068966,-0.614,0.563,0.54
589,1759307549416,38.78,45.6,-25.1,808,812,804,812,832,34.48275862068966,-0.615,0.56,0.539
619,1759307549445,38.78,45.61,-25.11,808,822,806,811,837,33.333333333333336,-0.616,0.558,0.54
648,1759307549474,38.79,45.62,-25.11,806,817,801,822,834,34.48275862068966,-0.617,0.557,0.542
