timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760524340987,-57.07,-54.51,-35.33,793,773,875,883,920,50.0,0.098,-0.849,0.556
21,1760524341008,-56.95,-54.51,-35.66,792,771,856,874,916,47.61904761904762,0.098,-0.849,0.556
42,1760524341029,-56.82,-54.5,-35.98,794,773,868,885,918,47.61904761904762,0.098,-0.848,0.556
63,1760524341051,-56.71,-54.53,-36.31,795,780,856,883,912,47.61904761904762,0.098,-0.849,0.554
85,1760524341073,-56.66,-54.55,-36.67,792,775,862,875,909,45.45454545454545,0.098,-0.85,0.554
107,1760524341094,-56.58,-54.55,-37.01,792,774,860,885,908,45.45454545454545,0.097,-0.851,0.554
128,1760524341114,-56.48,-54.55,-37.31,792,776,864,886,906,47.61904761904762,0.097,-0.85,0.555
148,1760524341134,-56.34,-54.57,-37.61,794,775,866,885,913,50.0,0.098,-0.851,0.555
168,1760524341158,-56.19,-54.58,-37.92,792,774,865,884,918,50.0,0.098,-0.851,0.555
190,1760524341177,-56.13,-54.6,-38.25,793,770,862,881,912,45.45454545454545,0.098,-0.85,0.554
211,1760524341199,-56.04,-54.6,-38.57,794,772,856,886,915,47.61904761904762,0.098,-0.85,0.554
233,1760524341222,-56.01,-54.59,-38.91,793,775,870,888,912,45.45454545454545,0.098,-0.851,0.555
256,1760524341243,-55.97,-54.59,-39.25,796,771,870,887,916,43.47826086956522,0.098,-0.851,0.554
276,1760524341262,-55.84,-54.6,-39.56,790,768,856,884,919,50.0,0.098,-0.85,0.555
296,1760524341282,-55.71,-54.61,-39.87,795,778,859,904,908,50.0,0.098,-0.849,0.555
316,1760524341302,-55.59,-54.61,-40.17,792,764,866,885,909,50.0,0.098,-0.849,0.555
346,1760524341333,-55.89,-54.59,-40.62,788,771,869,887,917,33.333333333333336,0.098,-0.85,0.555
367,1760524341353,-55.79,-54.59,-40.93,795,766,884,884,908,47.61904761904762,0.098,-0.849,0.556
387,1760524341374,-55.66,-54.58,-41.21,796,776,861,885,908,50.0,0.098,-0.848,0.556
407,1760524341393,-55.53,-54.58,-41.49,786,762,861,878,909,50.0,0.098,-0.849,0.556
437,1760524341423,-55.83,-54.58,-41.94,793,776,864,883,915,33.333333333333336,0.098,-0.85,0.555
457,1760524341444,-55.71,-54.6,-42.26,793,773,856,882,912,50.0,0.098,-0.85,0.554
478,1760524341464,-55.61,-54.62,-42.57,793,773,865,882,910,47.61904761904762,0.098,-0.85,0.555
498,1760524341484,-55.48,-54.62,-42.88,795,778,868,884,912,50.0,0.098,-0.85,0.556
518,1760524341504,-55.36,-54.61,-43.17,792,774,862,880,918,50.0,0.098,-0.851,0.555
538,1760524341526,-55.23,-54.63,-43.47,792,767,874,880,921,50.0,0.097,-0.85,0.555
560,1760524341546,-55.17,-54.64,-43.79,788,774,866,890,916,45.45454545454545,0.098,-0.85,0.554
580,1760524341566,-55.06,-54.68,-44.11,794,778,863,877,909,50.0,0.098,-0.85,0.553
600,1760524341586,-54.97,-54.68,-44.42,789,774,860,885,913,50.0,0.097,-0.849,0.554
620,1760524341606,-54.88,-54.68,-44.73,791,774,858,886,911,50.0,0.097,-0.85,0.555
641,1760524341627,-54.77,-54.67,-45.03,796,769,852,877,904,47.61904761904762,0.097,-0.851,0.556
661,1760524341647,-54.66,-54.66,-45.31,794,776,861,880,918,50.0,0.097,-0.851,0.555
681,1760524341667,-54.54,-54.69,-45.62,793,777,857,888,909,50.0,0.097,-0.851,0.554
701,1760524341687,-54.44,-54.7,-45.92,795,771,871,881,912,50.0,0.097,-0.85,0.554
721,1760524341708,-54.35,-54.72,-46.23,789,771,854,884,913,50.0,0.097,-0.849,0.553
742,1760524341728,-54.28,-54.74,-46.56,792,771,860,884,903,47.61904761904762,0.097,-0.849,0.554
762,1760524341748,-54.19,-54.74,-46.86,791,774,880,883,915,50.0,0.097,-0.85,0.554
792,1760524341778,-54.51,-54.74,-47.32,795,775,863,880,914,33.333333333333336,0.097,-0.851,0.554
812,1760524341798,-54.41,-54.75,-47.62,786,771,863,884,916,50.0,0.098,-0.851,0.554
832,1760524341818,-54.31,-54.77,-47.94,793,772,865,887,917,50.0,0.098,-0.85,0.554
852,1760524341838,-54.23,-54.77,-48.25,795,776,856,882,913,50.0,0.099,-0.85,0.556
872,1760524341859,-54.12,-54.75,-48.58,795,779,853,883,915,50.0,0.1,-0.851,0.555
892,1760524341879,-54.02,-54.77,-48.9,794,780,858,878,915,50.0,0.099,-0.851,0.554
912,1760524341902,-53.92,-54.79,-49.22,791,778,866,886,916,50.0,0.098,-0.852,0.552
933,1760524341919,-53.85,-54.8,-49.53,792,776,858,884,912,47.61904761904762,0.097,-0.853,0.552
953,1760524341942,-53.75,-54.79,-49.84,790,762,860,886,909,50.0,0.097,-0.853,0.553
973,1760524341960,-53.65,-54.76,-50.15,788,760,862,884,915,50.0,0.098,-0.852,0.553
1003,1760524341994,-53.98,-54.75,-50.59,788,764,864,884,910,33.333333333333336,0.099,-0.852,0.554
1023,1760524342014,-53.87,-54.76,-50.9,792,773,864,889,915,50.0,0.099,-0.852,0.553
1044,1760524342034,-53.79,-54.75,-51.22,790,773,860,885,911,47.61904761904762,0.098,-0.851,0.553
1074,1760524342065,-54.13,-54.73,-51.69,794,773,864,889,916,33.333333333333336,0.098,-0.852,0.553
1094,1760524342080,-54.02,-54.71,-51.98,796,776,871,884,916,50.0,0.098,-0.852,0.553
1114,1760524342102,-53.93,-54.72,-52.28,798,771,864,887,911,50.0,0.097,-0.852,0.553
1144,1760524342134,-54.26,-54.68,-52.74,796,763,859,884,917,33.333333333333336,0.098,-0.85,0.554
1164,1760524342151,-54.15,-54.67,-53.05,794,773,861,881,913,50.0,0.098,-0.849,0.555
1185,1760524342174,-54.07,-54.67,-53.36,790,768,866,882,916,47.61904761904762,0.097,-0.849,0.556
1205,1760524342193,-53.97,-54.68,-53.65,794,768,861,881,909,50.0,0.097,-0.85,0.555
1225,1760524342211,-53.87,-54.7,-53.95,794,773,852,884,913,50.0,0.097,-0.85,0.554
1255,1760524342241,-54.2,-54.71,-54.43,794,775,860,877,921,33.333333333333336,0.098,-0.85,0.554
1275,1760524342261,-54.11,-54.71,-54.74,794,771,867,888,907,50.0,0.099,-0.851,0.554
1305,1760524342292,-54.42,-54.68,-55.22,788,768,860,882,919,33.333333333333336,0.098,-0.852,0.554
1326,1760524342314,-54.33,-54.68,-55.54,795,773,862,877,922,47.61904761904762,0.097,-0.852,0.553
1347,1760524342336,-54.3,-54.68,-55.87,790,772,869,874,909,47.61904761904762,0.097,-0.851,0.553
1377,1760524342370,-54.64,-54.67,-56.35,794,779,864,886,910,33.333333333333336,0.098,-0.851,0.554
1407,1760524342395,-54.96,-54.63,-56.81,788,773,861,884,915,33.333333333333336,0.098,-0.851,0.555
1428,1760524342420,-54.83,-54.63,-57.11,792,768,861,885,912,47.61904761904762,0.098,-0.853,0.554
1448,1760524342434,-54.7,-54.61,-57.4,793,777,868,885,911,50.0,0.098,-0.853,0.554
1468,1760524342461,-54.59,-54.61,-57.69,794,764,870,882,912,50.0,0.098,-0.851,0.554
1498,1760524342489,-54.92,-54.59,-58.15,795,772,875,882,905,33.333333333333336,0.098,-0.849,0.555
1527,1760524342521,-55.23,-54.57,-58.13,794,768,864,878,914,34.48275862068966,0.097,-0.849,0.556
1547,1760524342536,-55.1,-54.57,-58.43,794,770,865,887,914,50.0,0.096,-0.851,0.556
1577,1760524342568,-55.38,-54.53,-58.84,794,773,865,881,913,33.333333333333336,0.097,-0.852,0.556
1598,1760524342585,-55.24,-54.51,-59.11,795,774,863,885,916,47.61904761904762,0.098,-0.852,0.557
1628,1760524342621,-55.51,-54.44,-59.52,789,783,866,884,912,33.333333333333336,0.099,-0.851,0.557
1658,1760524342657,-55.79,-54.43,-59.98,793,773,868,882,910,33.333333333333336,0.097,-0.849,0.556
1678,1760524342678,-55.66,-54.45,-60.28,790,769,859,883,914,50.0,0.095,-0.848,0.556
1708,1760524342698,-55.96,-54.43,-60.73,794,768,863,883,911,33.333333333333336,0.094,-0.848,0.556
1738,1760524342741,-56.23,-54.39,-61.17,796,776,858,879,910,33.333333333333336,0.095,-0.848,0.557
1767,1760524342763,-56.5,-54.4,-61.63,787,767,858,886,908,34.48275862068966,0.096,-0.847,0.557
1797,1760524342786,-56.78,-54.4,-62.09,790,775,866,881,912,33.333333333333336,0.096,-0.848,0.556
