timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760524683004,-30.72,-99.99,170.83,790,773,854,883,908,50.0,-0.32,-0.944,-0.204
30,1760524683034,-31.04,-99.98,170.37,796,778,848,875,909,33.333333333333336,-0.319,-0.943,-0.204
60,1760524683065,-31.37,-99.96,169.91,802,777,851,874,910,33.333333333333336,-0.32,-0.944,-0.204
81,1760524683085,-31.28,-99.94,169.59,790,776,849,900,905,47.61904761904762,-0.32,-0.944,-0.204
101,1760524683105,-31.15,-99.94,169.29,792,776,845,882,907,50.0,-0.32,-0.945,-0.203
121,1760524683125,-31.03,-99.94,168.99,791,775,852,880,910,50.0,-0.32,-0.944,-0.203
141,1760524683146,-30.92,-99.95,168.68,792,771,850,885,900,50.0,-0.32,-0.944,-0.204
161,1760524683166,-30.83,-99.96,168.37,789,771,850,880,909,50.0,-0.32,-0.944,-0.205
182,1760524683187,-30.73,-99.93,168.06,793,775,853,884,901,47.61904761904762,-0.32,-0.944,-0.204
203,1760524683207,-30.68,-99.91,167.74,794,775,849,887,898,47.61904761904762,-0.32,-0.945,-0.203
223,1760524683228,-30.56,-99.92,167.43,793,779,853,881,901,50.0,-0.32,-0.945,-0.203
244,1760524683248,-30.49,-99.9,167.12,790,779,858,883,907,47.61904761904762,-0.32,-0.945,-0.203
264,1760524683270,-30.38,-99.88,166.81,791,778,848,881,906,50.0,-0.32,-0.944,-0.203
285,1760524683291,-30.35,-99.87,166.48,792,780,849,875,906,47.61904761904762,-0.32,-0.944,-0.203
307,1760524683312,-30.32,-99.88,166.15,794,775,854,878,902,45.45454545454545,-0.32,-0.943,-0.203
327,1760524683333,-30.24,-99.89,165.83,793,775,855,885,902,50.0,-0.32,-0.943,-0.202
349,1760524683355,-30.21,-99.88,165.48,792,772,850,883,911,45.45454545454545,-0.32,-0.943,-0.201
371,1760524683377,-30.18,-99.87,165.15,789,772,846,879,903,45.45454545454545,-0.32,-0.945,-0.201
