timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760525446691,-44.58,-86.1,53.58,838,770,790,821,869,50.0,-0.132,-1.01,0.026
20,1760525446711,-44.42,-86.11,53.27,838,775,789,822,873,50.0,-0.132,-1.01,0.027
41,1760525446732,-44.28,-86.12,52.95,837,764,781,817,869,47.61904761904762,-0.132,-1.011,0.027
71,1760525446762,-44.56,-86.1,52.5,841,772,790,821,869,33.333333333333336,-0.132,-1.011,0.027
91,1760525446783,-44.42,-86.11,52.19,833,770,780,814,865,50.0,-0.132,-1.011,0.027
112,1760525446804,-44.28,-86.11,51.87,837,770,789,820,872,47.61904761904762,-0.133,-1.01,0.027
133,1760525446824,-44.15,-86.12,51.55,837,773,789,818,872,47.61904761904762,-0.133,-1.01,0.027
153,1760525446845,-44.0,-86.12,51.24,838,773,794,822,870,50.0,-0.132,-1.01,0.027
174,1760525446865,-43.86,-86.13,50.93,834,774,787,813,865,47.61904761904762,-0.132,-1.01,0.027
204,1760525446896,-44.14,-86.12,50.47,836,770,788,823,865,33.333333333333336,-0.132,-1.01,0.026
225,1760525446916,-44.05,-86.13,50.14,835,774,791,817,860,47.61904761904762,-0.132,-1.01,0.026
246,1760525446936,-43.89,-86.13,49.83,837,771,790,826,875,47.61904761904762,-0.132,-1.01,0.027
275,1760525446966,-44.16,-86.12,49.37,839,770,787,821,878,34.48275862068966,-0.132,-1.01,0.027
305,1760525446997,-44.42,-86.1,48.92,836,774,786,822,872,33.333333333333336,-0.132,-1.01,0.026
327,1760525447019,-44.32,-86.1,48.59,827,769,791,823,868,45.45454545454545,-0.132,-1.01,0.026
348,1760525447040,-44.23,-86.09,48.25,836,773,793,819,867,47.61904761904762,-0.131,-1.01,0.027
369,1760525447060,-44.11,-86.1,47.92,834,776,791,819,868,47.61904761904762,-0.131,-1.01,0.028
389,1760525447080,-43.95,-86.11,47.61,837,765,783,819,869,50.0,-0.132,-1.01,0.028
409,1760525447100,-43.79,-86.13,47.31,836,778,793,821,868,50.0,-0.132,-1.011,0.027
429,1760525447121,-43.63,-86.14,47.02,833,771,787,829,867,50.0,-0.132,-1.011,0.027
451,1760525447143,-43.54,-86.14,46.7,832,774,786,823,869,45.45454545454545,-0.132,-1.01,0.027
472,1760525447163,-43.44,-86.14,46.37,833,774,785,826,870,47.61904761904762,-0.131,-1.01,0.028
492,1760525447183,-43.3,-86.16,46.06,835,771,781,822,871,50.0,-0.131,-1.01,0.027
512,1760525447203,-43.15,-86.18,45.75,839,761,786,825,872,50.0,-0.131,-1.011,0.026
532,1760525447223,-43.02,-86.18,45.44,836,771,799,823,871,50.0,-0.132,-1.011,0.026
553,1760525447243,-42.89,-86.18,45.14,837,776,788,822,869,47.61904761904762,-0.132,-1.011,0.026
573,1760525447263,-42.77,-86.19,44.84,836,777,786,817,863,50.0,-0.131,-1.011,0.026
603,1760525447294,-43.07,-86.18,44.37,841,768,792,819,870,33.333333333333336,-0.131,-1.011,0.026
623,1760525447314,-42.95,-86.19,44.04,835,772,789,815,868,50.0,-0.131,-1.011,0.025
643,1760525447334,-42.82,-86.19,43.73,833,778,782,817,867,50.0,-0.131,-1.011,0.025
663,1760525447354,-42.69,-86.18,43.41,832,770,790,822,866,50.0,-0.131,-1.011,0.026
684,1760525447376,-42.57,-86.18,43.1,836,771,791,824,872,47.61904761904762,-0.131,-1.011,0.027
704,1760525447395,-42.45,-86.2,42.79,836,764,789,823,868,50.0,-0.131,-1.011,0.027
