timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760525784164,-22.18,-80.42,-42.7,830,777,785,815,911,50.0,-0.443,-0.907,0.116
20,1760525784185,-22.1,-80.42,-43.01,832,773,785,818,907,50.0,-0.443,-0.907,0.116
41,1760525784206,-22.04,-80.41,-43.32,839,763,782,813,902,47.61904761904762,-0.444,-0.906,0.117
62,1760525784227,-22.01,-80.4,-43.63,832,769,784,812,901,47.61904761904762,-0.444,-0.906,0.118
83,1760525784248,-21.96,-80.4,-43.95,834,774,784,808,902,47.61904761904762,-0.444,-0.905,0.119
103,1760525784269,-21.89,-80.42,-44.28,834,770,788,818,904,50.0,-0.444,-0.905,0.119
125,1760525784290,-21.85,-80.44,-44.62,830,770,786,813,926,45.45454545454545,-0.444,-0.906,0.119
146,1760525784313,-21.81,-80.45,-44.96,836,773,787,818,896,47.61904761904762,-0.444,-0.905,0.119
167,1760525784331,-21.77,-80.45,-45.29,835,771,789,820,904,47.61904761904762,-0.445,-0.905,0.118
187,1760525784351,-21.7,-80.45,-45.62,835,776,784,815,899,50.0,-0.445,-0.905,0.117
207,1760525784372,-21.65,-80.45,-45.92,822,766,782,817,902,50.0,-0.444,-0.906,0.116
228,1760525784393,-21.65,-80.46,-46.23,830,776,782,817,904,47.61904761904762,-0.444,-0.907,0.116
249,1760525784414,-21.66,-80.46,-46.54,830,776,782,814,901,47.61904761904762,-0.443,-0.907,0.117
270,1760525784434,-21.62,-80.4,-46.84,834,776,790,816,903,47.61904761904762,-0.444,-0.907,0.119
290,1760525784454,-21.57,-80.33,-47.11,833,774,793,814,909,50.0,-0.445,-0.907,0.12
310,1760525784475,-21.52,-80.26,-47.37,831,777,802,819,898,50.0,-0.445,-0.907,0.121
331,1760525784496,-21.52,-80.23,-47.65,831,765,781,810,897,47.61904761904762,-0.443,-0.907,0.121
352,1760525784516,-21.46,-80.16,-47.93,832,773,788,816,901,47.61904761904762,-0.443,-0.908,0.122
372,1760525784537,-21.41,-80.09,-48.21,827,768,787,816,898,50.0,-0.444,-0.908,0.124
393,1760525784559,-21.34,-80.02,-48.51,832,770,784,813,897,47.61904761904762,-0.443,-0.905,0.125
415,1760525784579,-21.28,-80.01,-48.82,834,773,786,820,901,45.45454545454545,-0.444,-0.904,0.128
435,1760525784600,-21.14,-80.07,-49.11,826,778,781,819,900,50.0,-0.445,-0.903,0.129
465,1760525784629,-21.39,-80.1,-49.59,832,774,792,819,905,33.333333333333336,-0.446,-0.903,0.125
485,1760525784650,-21.27,-80.1,-49.91,836,768,780,814,903,50.0,-0.448,-0.904,0.121
506,1760525784670,-21.19,-80.1,-50.18,832,769,786,819,903,47.61904761904762,-0.448,-0.908,0.118
526,1760525784690,-21.12,-80.11,-50.42,827,777,783,816,902,50.0,-0.447,-0.909,0.118
556,1760525784720,-21.46,-80.08,-50.85,826,780,788,811,892,33.333333333333336,-0.445,-0.906,0.12
586,1760525784750,-21.81,-80.02,-51.36,834,773,784,816,898,33.333333333333336,-0.447,-0.904,0.12
606,1760525784770,-21.73,-80.05,-51.68,831,777,780,817,907,50.0,-0.45,-0.903,0.121
626,1760525784790,-21.67,-80.07,-51.97,835,781,789,818,901,50.0,-0.452,-0.902,0.121
646,1760525784810,-21.61,-80.1,-52.26,834,772,782,818,901,50.0,-0.451,-0.902,0.124
666,1760525784832,-21.54,-80.1,-52.56,826,783,783,818,901,50.0,-0.45,-0.902,0.125
686,1760525784851,-21.46,-80.11,-52.89,831,775,790,809,905,50.0,-0.45,-0.902,0.125
707,1760525784871,-21.37,-80.13,-53.2,828,776,788,815,911,47.61904761904762,-0.45,-0.902,0.125
727,1760525784892,-21.28,-80.18,-53.5,833,764,782,818,903,50.0,-0.451,-0.902,0.123
747,1760525784913,-21.19,-80.22,-53.81,830,778,786,819,908,50.0,-0.451,-0.901,0.121
767,1760525784932,-21.13,-80.24,-54.13,832,769,788,818,904,50.0,-0.452,-0.9,0.12
787,1760525784952,-21.08,-80.27,-54.46,833,778,788,816,923,50.0,-0.451,-0.901,0.119
808,1760525784972,-21.03,-80.29,-54.79,827,770,782,811,902,47.61904761904762,-0.45,-0.903,0.12
828,1760525784992,-20.97,-80.3,-55.11,833,776,789,819,905,50.0,-0.449,-0.905,0.12
848,1760525785013,-20.91,-80.27,-55.41,831,765,790,818,901,50.0,-0.448,-0.907,0.122
868,1760525785034,-20.83,-80.22,-55.73,839,780,787,814,904,50.0,-0.446,-0.907,0.123
888,1760525785055,-20.77,-80.18,-56.07,833,772,786,816,941,50.0,-0.445,-0.907,0.123
909,1760525785073,-20.7,-80.13,-56.4,827,770,785,814,908,47.61904761904762,-0.447,-0.905,0.123
929,1760525785095,-20.63,-80.1,-56.71,828,770,786,817,902,50.0,-0.448,-0.904,0.122
949,1760525785113,-20.57,-80.09,-57.01,828,775,806,816,898,50.0,-0.45,-0.903,0.121
969,1760525785133,-20.53,-80.11,-57.3,828,768,784,814,904,50.0,-0.449,-0.902,0.121
989,1760525785153,-20.48,-80.14,-57.61,831,763,783,814,907,50.0,-0.449,-0.903,0.122
1009,1760525785173,-20.42,-80.18,-57.91,834,773,786,810,904,50.0,-0.448,-0.904,0.123
1039,1760525785207,-20.78,-80.21,-58.37,823,774,789,815,896,33.333333333333336,-0.448,-0.904,0.123
1069,1760525785235,-21.12,-80.25,-58.86,832,771,781,812,906,33.333333333333336,-0.447,-0.904,0.122
