timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760526273820,8.6,31.19,94.39,837,902,897,853,865,34.48275862068966,-0.901,0.204,0.37
30,1760526273850,8.42,31.18,93.92,842,910,901,847,872,33.333333333333336,-0.902,0.203,0.372
51,1760526273871,8.66,31.16,93.6,833,905,898,854,868,47.61904761904762,-0.902,0.201,0.372
71,1760526273891,8.89,31.14,93.28,839,921,892,854,880,50.0,-0.903,0.2,0.373
92,1760526273911,9.12,31.12,92.97,855,906,898,844,870,47.61904761904762,-0.903,0.2,0.373
122,1760526273941,8.93,31.11,92.5,845,909,892,852,868,33.333333333333336,-0.901,0.201,0.373
142,1760526273962,9.17,31.08,92.17,845,905,900,856,869,50.0,-0.901,0.202,0.372
162,1760526273982,9.38,31.07,91.84,842,905,901,856,878,50.0,-0.901,0.202,0.371
192,1760526274012,9.18,31.06,91.37,838,900,892,850,873,33.333333333333336,-0.902,0.2,0.372
222,1760526274042,8.98,31.06,90.9,834,916,897,848,870,33.333333333333336,-0.902,0.2,0.372
242,1760526274062,9.21,31.06,90.58,834,897,895,848,867,50.0,-0.9,0.2,0.372
272,1760526274092,9.01,31.05,90.11,837,894,900,850,875,33.333333333333336,-0.9,0.2,0.373
293,1760526274112,9.24,31.03,89.8,838,907,906,844,876,47.61904761904762,-0.901,0.2,0.374
313,1760526274132,9.47,31.01,89.49,841,904,898,856,881,50.0,-0.902,0.2,0.373
343,1760526274162,9.28,31.01,89.03,841,906,898,839,872,33.333333333333336,-0.901,0.199,0.373
373,1760526274192,9.07,31.0,88.55,835,905,896,843,889,33.333333333333336,-0.901,0.2,0.373
403,1760526274222,8.87,30.99,88.06,838,896,894,851,877,33.333333333333336,-0.901,0.199,0.373
423,1760526274242,9.1,30.96,87.73,836,903,901,852,871,50.0,-0.902,0.198,0.373
453,1760526274272,8.9,30.96,87.26,842,905,899,850,875,33.333333333333336,-0.902,0.196,0.375
473,1760526274292,9.13,30.95,86.94,840,901,893,847,883,50.0,-0.902,0.197,0.374
503,1760526274323,8.95,30.94,86.48,835,907,899,845,867,33.333333333333336,-0.902,0.196,0.375
523,1760526274343,9.19,30.91,86.16,840,894,895,852,873,50.0,-0.902,0.196,0.374
543,1760526274363,9.43,30.88,85.86,834,902,897,857,873,50.0,-0.902,0.195,0.375
573,1760526274393,9.25,30.87,85.44,837,897,904,854,871,33.333333333333336,-0.902,0.196,0.376
593,1760526274414,9.51,30.84,85.16,837,900,901,859,875,50.0,-0.901,0.197,0.375
614,1760526274435,9.72,30.81,84.85,840,902,903,856,900,47.61904761904762,-0.901,0.197,0.374
635,1760526274455,9.93,30.78,84.52,840,905,901,855,883,47.61904761904762,-0.902,0.196,0.374
665,1760526274485,9.73,30.78,84.08,844,909,892,849,873,33.333333333333336,-0.902,0.196,0.374
695,1760526274514,9.52,30.79,83.64,838,897,896,850,876,33.333333333333336,-0.902,0.198,0.374
725,1760526274546,9.31,30.78,83.17,836,904,901,862,877,33.333333333333336,-0.9,0.198,0.373
745,1760526274566,9.5,30.75,82.83,840,909,903,856,878,50.0,-0.9,0.198,0.372
766,1760526274587,9.68,30.73,82.47,842,899,893,854,881,47.61904761904762,-0.9,0.197,0.373
796,1760526274615,9.47,30.72,81.99,838,911,902,857,871,33.333333333333336,-0.901,0.196,0.375
826,1760526274645,9.28,30.71,81.56,836,905,895,860,877,33.333333333333336,-0.902,0.195,0.375
