timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760526784400,-13.83,13.75,-171.1,853,771,796,815,843,33.333333333333336,-0.616,0.154,0.771
20,1760526784420,-13.67,13.73,-171.41,852,781,791,811,849,50.0,-0.616,0.153,0.771
41,1760526784440,-13.53,13.7,-171.72,851,780,794,813,836,47.61904761904762,-0.616,0.153,0.771
61,1760526784461,-13.38,13.69,-172.04,851,783,805,812,845,50.0,-0.616,0.153,0.771
82,1760526784481,-13.25,13.67,-172.36,853,773,795,813,837,47.61904761904762,-0.616,0.152,0.772
102,1760526784501,-13.09,13.67,-172.66,846,782,789,815,844,50.0,-0.616,0.151,0.773
122,1760526784522,-12.93,13.67,-172.96,855,781,796,813,830,50.0,-0.616,0.15,0.773
142,1760526784543,-12.8,13.66,-173.26,849,769,795,813,844,50.0,-0.616,0.152,0.772
164,1760526784563,-12.74,13.65,-173.59,855,772,793,815,844,45.45454545454545,-0.615,0.153,0.771
184,1760526784584,-12.59,13.63,-173.91,850,770,795,815,840,50.0,-0.615,0.153,0.771
204,1760526784604,-12.44,13.63,-174.23,849,777,794,812,842,50.0,-0.615,0.151,0.772
225,1760526784625,-12.3,13.63,-174.54,852,775,790,817,842,47.61904761904762,-0.616,0.149,0.772
245,1760526784646,-12.21,13.62,-174.86,848,771,785,814,840,50.0,-0.615,0.15,0.771
266,1760526784666,-12.13,13.59,-175.2,858,776,793,812,840,47.61904761904762,-0.615,0.152,0.773
287,1760526784686,-11.98,13.6,-175.5,854,776,793,806,846,47.61904761904762,-0.615,0.152,0.774
307,1760526784706,-11.85,13.6,-175.8,845,773,795,806,842,50.0,-0.615,0.151,0.773
337,1760526784736,-12.2,13.57,-176.29,853,777,793,806,838,33.333333333333336,-0.615,0.152,0.771
357,1760526784756,-12.11,13.52,-176.63,844,786,791,815,840,50.0,-0.615,0.154,0.771
387,1760526784786,-12.44,13.51,-177.12,853,775,799,813,843,33.333333333333336,-0.615,0.153,0.773
417,1760526784816,-12.73,13.51,-177.6,850,780,794,817,838,33.333333333333336,-0.615,0.15,0.773
437,1760526784836,-12.6,13.49,-177.91,849,777,791,813,845,50.0,-0.616,0.15,0.773
457,1760526784857,-12.48,13.48,-178.21,848,782,788,811,849,50.0,-0.615,0.15,0.774
478,1760526784877,-12.36,13.48,-178.53,843,781,793,813,836,47.61904761904762,-0.615,0.15,0.775
508,1760526784907,-12.65,13.49,-178.97,847,776,789,813,836,33.333333333333336,-0.614,0.15,0.774
538,1760526784937,-12.95,13.48,-179.42,852,774,792,815,846,33.333333333333336,-0.614,0.15,0.773
558,1760526784957,-12.82,13.46,-179.73,851,777,789,803,842,50.0,-0.614,0.149,0.774
588,1760526784987,-13.1,13.44,179.82,845,768,797,811,849,33.333333333333336,-0.614,0.149,0.774
618,1760526785018,-13.4,13.44,179.36,849,788,791,811,844,33.333333333333336,-0.614,0.149,0.773
638,1760526785037,-13.24,13.43,179.06,852,773,790,812,842,50.0,-0.614,0.148,0.774
668,1760526785067,-13.51,13.46,178.61,852,772,798,808,836,33.333333333333336,-0.614,0.149,0.774
698,1760526785099,-13.79,13.46,178.16,846,781,791,812,852,33.333333333333336,-0.613,0.149,0.773
728,1760526785127,-14.05,13.47,177.7,845,782,794,817,843,33.333333333333336,-0.614,0.148,0.773
748,1760526785150,-13.89,13.45,177.39,852,777,786,811,842,50.0,-0.613,0.15,0.772
778,1760526785177,-14.14,13.47,176.93,842,781,787,804,844,33.333333333333336,-0.614,0.15,0.774
808,1760526785207,-14.4,13.44,176.49,853,776,792,807,841,33.333333333333336,-0.614,0.15,0.772
838,1760526785237,-14.68,13.4,176.04,846,779,796,814,842,33.333333333333336,-0.614,0.15,0.773
858,1760526785258,-14.5,13.37,175.73,851,776,794,809,838,50.0,-0.614,0.15,0.773
888,1760526785287,-14.73,13.39,175.29,846,783,792,805,842,33.333333333333336,-0.614,0.148,0.773
918,1760526785320,-14.98,13.37,174.86,856,790,788,809,840,33.333333333333336,-0.614,0.149,0.772
938,1760526785338,-14.8,13.34,174.55,849,779,788,808,846,50.0,-0.613,0.15,0.773
958,1760526785357,-14.65,13.32,174.23,849,787,793,815,839,50.0,-0.613,0.151,0.773
988,1760526785387,-14.89,13.32,173.75,848,782,795,813,844,33.333333333333336,-0.614,0.148,0.774
1018,1760526785417,-15.15,13.32,173.28,853,781,786,814,846,33.333333333333336,-0.614,0.146,0.775
1038,1760526785439,-14.95,13.32,172.99,850,785,784,806,841,50.0,-0.614,0.146,0.776
1058,1760526785461,-14.76,13.33,172.69,850,778,789,816,846,50.0,-0.614,0.148,0.774
1088,1760526785493,-14.97,13.34,172.24,852,781,794,809,845,33.333333333333336,-0.614,0.147,0.775
1108,1760526785509,-14.77,13.34,171.95,856,780,790,808,845,50.0,-0.614,0.145,0.775
1138,1760526785542,-15.03,13.37,171.51,846,774,796,813,843,33.333333333333336,-0.614,0.148,0.774
1168,1760526785569,-15.28,13.41,171.06,850,774,788,807,848,33.333333333333336,-0.614,0.15,0.772
1188,1760526785588,-15.08,13.4,170.75,850,776,790,810,840,50.0,-0.614,0.148,0.772
1209,1760526785608,-14.91,13.39,170.44,848,780,788,804,843,47.61904761904762,-0.615,0.146,0.773
1239,1760526785638,-15.18,13.4,169.99,844,782,794,818,837,33.333333333333336,-0.614,0.148,0.773
1259,1760526785660,-15.01,13.39,169.69,852,775,793,814,841,50.0,-0.614,0.15,0.773
1289,1760526785691,-15.24,13.41,169.23,848,779,794,810,840,33.333333333333336,-0.614,0.149,0.772
1309,1760526785713,-15.05,13.41,168.92,851,773,795,815,847,50.0,-0.614,0.148,0.773
1329,1760526785735,-14.87,13.4,168.62,852,779,793,804,848,50.0,-0.614,0.148,0.773
1349,1760526785748,-14.7,13.39,168.31,848,768,792,813,880,50.0,-0.614,0.148,0.773
1369,1760526785772,-14.53,13.38,168.01,851,780,791,811,846,50.0,-0.614,0.149,0.773
1389,1760526785798,-14.36,13.37,167.7,852,781,795,810,847,50.0,-0.614,0.149,0.773
1410,1760526785811,-14.2,13.36,167.4,849,778,791,810,844,47.61904761904762,-0.613,0.15,0.773
1430,1760526785838,-14.05,13.33,167.08,842,773,787,814,843,50.0,-0.613,0.151,0.773
1450,1760526785852,-13.9,13.3,166.76,849,777,798,810,841,50.0,-0.613,0.151,0.772
1470,1760526785881,-13.76,13.27,166.45,852,779,792,813,837,50.0,-0.613,0.15,0.773
