timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760527290403,-68.69,-53.13,-18.55,825,774,793,836,857,50.0,0.293,-0.806,0.553
30,1760527290433,-68.95,-53.14,-18.99,825,776,793,834,855,33.333333333333336,0.294,-0.806,0.553
50,1760527290454,-68.77,-53.15,-19.28,822,778,787,832,855,50.0,0.294,-0.807,0.552
72,1760527290475,-68.66,-53.17,-19.6,826,778,792,837,854,45.45454545454545,0.294,-0.807,0.551
93,1760527290497,-68.55,-53.18,-19.92,825,773,788,840,854,47.61904761904762,0.294,-0.807,0.551
114,1760527290517,-68.44,-53.2,-20.24,825,768,788,835,855,47.61904761904762,0.294,-0.807,0.552
135,1760527290537,-68.31,-53.2,-20.55,824,787,780,838,861,47.61904761904762,0.294,-0.807,0.552
155,1760527290557,-68.16,-53.2,-20.86,828,776,787,827,860,50.0,0.293,-0.807,0.552
185,1760527290589,-68.42,-53.17,-21.33,823,781,791,835,857,33.333333333333336,0.293,-0.807,0.552
206,1760527290610,-68.3,-53.16,-21.66,827,775,794,838,856,47.61904761904762,0.294,-0.807,0.552
227,1760527290630,-68.17,-53.16,-21.98,827,779,784,832,859,47.61904761904762,0.294,-0.807,0.552
248,1760527290650,-68.04,-53.16,-22.3,824,779,787,837,859,47.61904761904762,0.293,-0.807,0.552
268,1760527290671,-67.88,-53.16,-22.59,826,779,779,828,853,50.0,0.293,-0.806,0.553
289,1760527290692,-67.77,-53.18,-22.9,826,780,787,835,856,47.61904761904762,0.293,-0.805,0.553
309,1760527290712,-67.63,-53.21,-23.2,825,772,789,831,856,50.0,0.293,-0.805,0.552
330,1760527290733,-67.52,-53.23,-23.52,826,776,781,840,853,47.61904761904762,0.293,-0.805,0.552
350,1760527290753,-67.39,-53.25,-23.84,817,771,789,834,858,50.0,0.293,-0.806,0.552
370,1760527290773,-67.26,-53.26,-24.16,824,787,786,835,884,50.0,0.293,-0.807,0.552
