timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760527792690,30.23,-32.02,157.94,807,866,792,803,835,50.0,0.072,-0.409,0.924
21,1760527792709,30.21,-32.01,158.03,808,866,789,808,835,47.61904761904762,0.072,-0.41,0.924
51,1760527792739,30.49,-32.06,158.17,815,875,789,810,832,33.333333333333336,0.072,-0.41,0.925
81,1760527792771,30.77,-32.11,158.3,813,871,791,811,836,33.333333333333336,0.072,-0.409,0.925
103,1760527792791,30.78,-32.11,158.4,811,860,793,807,849,45.45454545454545,0.072,-0.408,0.925
124,1760527792812,30.75,-32.11,158.49,812,868,783,811,836,47.61904761904762,0.072,-0.408,0.924
144,1760527792834,30.71,-32.11,158.57,815,876,786,805,836,50.0,0.072,-0.408,0.924
165,1760527792855,30.68,-32.11,158.66,811,871,793,806,836,47.61904761904762,0.072,-0.408,0.924
186,1760527792876,30.67,-32.13,158.77,816,858,786,809,872,47.61904761904762,0.072,-0.409,0.924
207,1760527792897,30.65,-32.13,158.87,815,872,791,811,834,47.61904761904762,0.072,-0.41,0.925
228,1760527792920,30.63,-32.13,158.97,813,859,785,810,835,47.61904761904762,0.073,-0.41,0.925
249,1760527792940,30.62,-32.12,159.07,815,872,782,808,834,47.61904761904762,0.072,-0.41,0.924
271,1760527792959,30.62,-32.12,159.18,810,861,791,816,832,45.45454545454545,0.071,-0.411,0.924
301,1760527792988,30.88,-32.18,159.32,814,866,788,812,831,33.333333333333336,0.071,-0.411,0.924
321,1760527793008,30.82,-32.15,159.41,812,874,790,800,834,50.0,0.071,-0.412,0.924
350,1760527793039,31.07,-32.16,159.55,811,861,794,811,833,34.48275862068966,0.071,-0.412,0.924
371,1760527793060,31.04,-32.13,159.65,814,871,784,811,835,47.61904761904762,0.072,-0.41,0.923
392,1760527793082,31.0,-32.12,159.74,811,861,784,814,836,47.61904761904762,0.073,-0.408,0.924
413,1760527793103,30.96,-32.12,159.83,812,874,783,803,834,47.61904761904762,0.073,-0.406,0.924
434,1760527793124,30.93,-32.12,159.93,812,870,793,810,833,47.61904761904762,0.074,-0.406,0.925
455,1760527793144,30.9,-32.12,160.03,813,873,782,809,838,47.61904761904762,0.074,-0.406,0.925
476,1760527793166,30.88,-32.11,160.13,807,861,790,806,842,47.61904761904762,0.074,-0.407,0.926
497,1760527793187,30.86,-32.1,160.24,810,861,791,829,830,47.61904761904762,0.074,-0.407,0.925
519,1760527793208,30.85,-32.11,160.34,812,873,789,813,836,45.45454545454545,0.074,-0.407,0.924
540,1760527793230,30.83,-32.13,160.44,808,866,787,813,837,47.61904761904762,0.074,-0.407,0.924
561,1760527793251,30.8,-32.15,160.54,814,872,790,810,837,47.61904761904762,0.073,-0.408,0.924
582,1760527793271,30.78,-32.14,160.64,813,863,783,805,837,47.61904761904762,0.073,-0.409,0.925
604,1760527793294,30.8,-32.13,160.74,811,868,792,828,833,45.45454545454545,0.073,-0.41,0.925
625,1760527793314,30.8,-32.12,160.85,808,886,793,810,836,47.61904761904762,0.073,-0.409,0.924
646,1760527793336,30.77,-32.12,160.94,813,877,793,813,833,47.61904761904762,0.072,-0.407,0.923
667,1760527793356,30.75,-32.15,161.04,806,863,787,810,832,47.61904761904762,0.073,-0.406,0.923
688,1760527793378,30.72,-32.18,161.14,812,876,784,811,837,47.61904761904762,0.073,-0.408,0.923
709,1760527793400,30.7,-32.18,161.24,811,869,793,813,836,47.61904761904762,0.073,-0.41,0.925
731,1760527793420,30.72,-32.17,161.36,812,859,790,809,837,45.45454545454545,0.073,-0.412,0.926
752,1760527793442,30.75,-32.15,161.49,814,873,781,809,837,47.61904761904762,0.072,-0.412,0.925
