timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760528402259,28.89,-67.3,34.86,796,766,795,904,936,47.61904761904762,0.105,-0.872,0.519
21,1760528402279,28.88,-67.27,34.96,800,764,794,901,932,47.61904761904762,0.106,-0.874,0.52
42,1760528402300,28.88,-67.23,35.09,797,774,797,898,936,47.61904761904762,0.105,-0.875,0.52
62,1760528402321,28.89,-67.17,35.22,804,770,790,906,933,50.0,0.105,-0.874,0.52
84,1760528402342,28.9,-67.15,35.35,801,778,795,904,942,45.45454545454545,0.104,-0.871,0.519
105,1760528402362,28.87,-67.17,35.43,803,773,796,905,931,47.61904761904762,0.105,-0.869,0.517
126,1760528402383,28.82,-67.19,35.49,797,776,797,907,933,47.61904761904762,0.104,-0.87,0.517
146,1760528402406,28.76,-67.19,35.55,801,762,798,911,936,50.0,0.104,-0.871,0.517
168,1760528402427,28.75,-67.19,35.63,803,776,796,907,927,45.45454545454545,0.104,-0.872,0.518
189,1760528402446,28.72,-67.17,35.71,802,774,798,906,935,47.61904761904762,0.104,-0.875,0.518
210,1760528402469,28.69,-67.15,35.78,799,774,791,904,935,47.61904761904762,0.103,-0.875,0.516
231,1760528402489,28.66,-67.13,35.85,801,773,791,908,930,47.61904761904762,0.104,-0.873,0.516
252,1760528402510,28.59,-67.13,35.93,799,771,799,909,935,47.61904761904762,0.105,-0.873,0.517
272,1760528402531,28.52,-67.13,36.01,803,773,801,902,935,50.0,0.106,-0.873,0.518
293,1760528402550,28.47,-67.11,36.11,801,763,797,907,931,47.61904761904762,0.106,-0.873,0.52
313,1760528402572,28.43,-67.08,36.24,801,762,790,908,934,50.0,0.105,-0.874,0.521
335,1760528402593,28.44,-67.02,36.42,802,777,797,897,937,45.45454545454545,0.104,-0.874,0.523
356,1760528402614,28.45,-66.94,36.62,800,772,798,899,935,47.61904761904762,0.104,-0.873,0.525
376,1760528402634,28.48,-66.85,36.84,798,773,798,904,933,50.0,0.102,-0.873,0.526
397,1760528402655,28.54,-66.76,37.05,803,777,796,899,935,47.61904761904762,0.101,-0.871,0.526
418,1760528402677,28.58,-66.64,37.3,803,767,799,900,935,47.61904761904762,0.101,-0.871,0.525
439,1760528402696,28.56,-66.54,37.48,797,771,797,898,935,47.61904761904762,0.101,-0.871,0.525
460,1760528402717,28.5,-66.48,37.6,804,776,794,908,934,47.61904761904762,0.102,-0.869,0.523
480,1760528402739,28.46,-66.45,37.68,803,767,797,903,932,50.0,0.103,-0.864,0.524
502,1760528402760,28.43,-66.49,37.76,798,774,796,907,932,45.45454545454545,0.103,-0.862,0.526
522,1760528402781,28.39,-66.54,37.83,802,770,796,905,934,50.0,0.102,-0.862,0.527
543,1760528402801,28.36,-66.58,37.91,801,767,794,902,934,47.61904761904762,0.102,-0.862,0.529
564,1760528402822,28.35,-66.62,37.98,802,764,804,907,930,47.61904761904762,0.098,-0.864,0.529
586,1760528402844,28.36,-66.66,38.08,797,775,800,900,934,45.45454545454545,0.097,-0.866,0.529
606,1760528402865,28.35,-66.67,38.18,794,765,801,904,932,50.0,0.097,-0.868,0.529
627,1760528402887,28.37,-66.68,38.3,798,769,797,903,933,47.61904761904762,0.097,-0.868,0.53
