timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760528804011,33.21,-65.88,43.05,795,772,786,819,891,47.61904761904762,0.017,-0.862,0.544
22,1760528804033,33.22,-65.88,43.15,792,778,790,811,920,45.45454545454545,0.017,-0.863,0.544
44,1760528804053,33.24,-65.91,43.27,793,776,788,816,887,45.45454545454545,0.017,-0.863,0.545
64,1760528804074,33.22,-65.92,43.39,793,766,791,810,885,50.0,0.018,-0.864,0.544
85,1760528804095,33.23,-65.92,43.5,796,779,790,818,891,47.61904761904762,0.018,-0.865,0.543
106,1760528804119,33.21,-65.89,43.6,795,782,782,815,891,47.61904761904762,0.017,-0.865,0.542
129,1760528804138,33.24,-65.88,43.72,794,777,792,816,889,43.47826086956522,0.017,-0.865,0.542
149,1760528804160,33.21,-65.86,43.84,794,777,792,813,893,50.0,0.017,-0.864,0.543
171,1760528804183,33.21,-65.87,43.95,797,779,796,820,892,45.45454545454545,0.017,-0.864,0.543
193,1760528804202,33.24,-65.83,44.06,795,778,784,818,897,45.45454545454545,0.016,-0.864,0.544
213,1760528804224,33.21,-65.76,44.16,793,776,796,804,893,50.0,0.016,-0.864,0.546
234,1760528804245,33.19,-65.7,44.26,791,779,793,812,889,47.61904761904762,0.017,-0.863,0.546
256,1760528804266,33.21,-65.67,44.36,796,776,792,816,915,45.45454545454545,0.017,-0.862,0.545
277,1760528804288,33.21,-65.63,44.47,792,777,787,815,888,47.61904761904762,0.016,-0.861,0.545
298,1760528804307,33.18,-65.61,44.57,793,768,792,812,895,47.61904761904762,0.017,-0.859,0.545
318,1760528804328,33.14,-65.62,44.67,793,777,789,817,892,50.0,0.017,-0.859,0.546
339,1760528804349,33.11,-65.6,44.77,794,767,790,812,889,47.61904761904762,0.017,-0.86,0.546
360,1760528804370,33.12,-65.55,44.86,792,777,792,814,886,47.61904761904762,0.017,-0.862,0.548
381,1760528804391,33.14,-65.43,44.95,797,779,789,816,890,47.61904761904762,0.018,-0.865,0.551
402,1760528804412,33.2,-65.25,45.02,797,766,791,817,891,47.61904761904762,0.018,-0.864,0.554
423,1760528804433,33.23,-65.09,45.11,793,777,788,815,893,47.61904761904762,0.017,-0.861,0.553
444,1760528804455,33.29,-65.0,45.21,789,777,793,810,893,47.61904761904762,0.016,-0.857,0.552
466,1760528804476,33.32,-64.98,45.32,793,766,791,817,886,45.45454545454545,0.015,-0.853,0.551
487,1760528804498,33.32,-64.97,45.42,791,777,791,807,888,47.61904761904762,0.014,-0.851,0.552
508,1760528804519,33.3,-64.96,45.49,790,772,787,814,895,47.61904761904762,0.015,-0.85,0.554
529,1760528804540,33.28,-64.98,45.55,795,767,791,815,891,47.61904761904762,0.016,-0.85,0.555
551,1760528804562,33.28,-65.0,45.63,795,776,791,808,890,45.45454545454545,0.017,-0.851,0.556
573,1760528804583,33.3,-65.03,45.71,790,767,790,816,893,45.45454545454545,0.017,-0.852,0.558
594,1760528804605,33.32,-65.03,45.81,796,774,794,819,892,47.61904761904762,0.016,-0.853,0.557
615,1760528804626,33.32,-65.01,45.91,793,770,792,814,894,47.61904761904762,0.016,-0.853,0.557
637,1760528804648,33.32,-65.0,45.99,789,776,791,815,893,45.45454545454545,0.016,-0.852,0.556
659,1760528804670,33.32,-65.03,46.08,792,779,792,817,884,45.45454545454545,0.016,-0.85,0.556
681,1760528804691,33.29,-65.07,46.17,796,777,791,809,889,45.45454545454545,0.017,-0.849,0.557
702,1760528804715,33.28,-65.13,46.24,791,797,788,809,890,47.61904761904762,0.017,-0.852,0.559
724,1760528804735,33.31,-65.13,46.33,797,779,785,816,889,45.45454545454545,0.017,-0.853,0.559
745,1760528804756,33.34,-65.12,46.44,795,770,785,816,893,47.61904761904762,0.017,-0.853,0.558
766,1760528804776,33.32,-65.14,46.54,794,772,786,817,885,47.61904761904762,0.017,-0.852,0.557
787,1760528804799,33.28,-65.19,46.63,794,771,786,811,891,47.61904761904762,0.018,-0.851,0.556
808,1760528804819,33.26,-65.28,46.73,795,773,791,812,890,47.61904761904762,0.018,-0.852,0.555
829,1760528804841,33.22,-65.3,46.81,792,774,790,817,891,47.61904761904762,0.017,-0.854,0.556
849,1760528804860,33.19,-65.29,46.9,794,766,793,816,892,50.0,0.017,-0.854,0.556
870,1760528804881,33.18,-65.32,47.02,795,771,791,815,891,47.61904761904762,0.018,-0.854,0.555
891,1760528804901,33.16,-65.36,47.13,794,778,792,824,887,47.61904761904762,0.019,-0.854,0.555
912,1760528804922,33.15,-65.4,47.22,794,770,792,816,891,47.61904761904762,0.019,-0.856,0.554
933,1760528804943,33.12,-65.39,47.31,795,776,795,818,889,47.61904761904762,0.019,-0.857,0.553
954,1760528804966,33.1,-65.37,47.4,789,770,791,816,885,47.61904761904762,0.018,-0.858,0.552
975,1760528804987,33.1,-65.37,47.52,798,776,791,817,891,47.61904761904762,0.018,-0.858,0.552
996,1760528805008,33.09,-65.38,47.63,790,778,791,818,894,47.61904761904762,0.019,-0.857,0.552
1018,1760528805033,33.09,-65.41,47.71,789,775,790,817,890,45.45454545454545,0.018,-0.855,0.55
1039,1760528805052,33.04,-65.41,47.78,792,768,782,818,890,47.61904761904762,0.016,-0.855,0.549
1060,1760528805070,32.99,-65.41,47.86,791,774,792,811,890,47.61904761904762,0.017,-0.856,0.549
