timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760529349175,27.06,-70.96,66.86,792,867,793,830,881,33.333333333333336,0.185,-0.888,0.468
20,1760529349193,26.96,-70.93,66.95,795,872,789,828,880,50.0,0.185,-0.888,0.469
40,1760529349214,26.86,-70.91,67.04,794,870,790,834,879,50.0,0.185,-0.888,0.469
70,1760529349244,27.08,-70.95,67.19,794,868,792,827,874,33.333333333333336,0.185,-0.888,0.469
90,1760529349264,26.98,-70.92,67.29,788,866,790,826,876,50.0,0.185,-0.887,0.469
110,1760529349285,26.87,-70.9,67.38,792,873,787,829,879,50.0,0.185,-0.886,0.469
140,1760529349314,27.09,-70.96,67.52,791,859,787,822,872,33.333333333333336,0.185,-0.887,0.469
161,1760529349334,27.01,-70.94,67.63,795,866,784,828,880,47.61904761904762,0.185,-0.888,0.469
190,1760529349365,27.22,-71.0,67.77,794,872,789,828,880,34.48275862068966,0.185,-0.887,0.469
220,1760529349395,27.43,-71.04,67.91,793,867,781,829,882,33.333333333333336,0.185,-0.887,0.468
241,1760529349416,27.34,-71.0,68.01,793,860,787,826,878,47.61904761904762,0.185,-0.887,0.469
262,1760529349435,27.25,-70.98,68.11,796,869,787,825,873,47.61904761904762,0.184,-0.886,0.469
292,1760529349465,27.46,-71.1,68.26,789,858,779,826,875,33.333333333333336,0.185,-0.883,0.471
321,1760529349495,27.66,-71.26,68.37,793,862,779,833,879,34.48275862068966,0.185,-0.885,0.47
351,1760529349526,27.87,-71.34,68.49,795,870,789,829,878,33.333333333333336,0.185,-0.889,0.467
372,1760529349546,27.76,-71.31,68.6,791,864,787,828,877,47.61904761904762,0.185,-0.892,0.465
402,1760529349575,27.95,-71.31,68.75,797,864,786,825,872,33.333333333333336,0.185,-0.891,0.466
422,1760529349596,27.83,-71.27,68.84,792,868,789,829,881,50.0,0.186,-0.889,0.466
442,1760529349617,27.71,-71.24,68.92,788,866,784,831,879,50.0,0.186,-0.888,0.466
472,1760529349646,27.91,-71.27,69.06,794,859,783,829,880,33.333333333333336,0.185,-0.889,0.466
492,1760529349667,27.79,-71.23,69.15,795,880,787,826,880,50.0,0.185,-0.888,0.467
522,1760529349696,27.99,-71.27,69.29,795,869,785,825,882,33.333333333333336,0.185,-0.887,0.467
542,1760529349717,27.88,-71.26,69.38,794,871,792,828,874,50.0,0.185,-0.886,0.468
562,1760529349737,27.77,-71.26,69.48,792,873,787,827,875,50.0,0.185,-0.886,0.467
583,1760529349757,27.66,-71.26,69.56,791,866,785,840,882,47.61904761904762,0.185,-0.888,0.467
603,1760529349777,27.57,-70.93,69.66,792,863,790,830,877,50.0,0.185,-0.89,0.466
633,1760529349808,27.78,-70.98,69.82,792,867,791,826,881,33.333333333333336,0.185,-0.889,0.466
653,1760529349828,27.67,-70.96,69.92,790,858,784,824,879,50.0,0.185,-0.888,0.466
683,1760529349859,27.86,-71.05,70.04,795,871,788,828,881,33.333333333333336,0.185,-0.887,0.466
704,1760529349877,27.75,-71.05,70.12,794,870,792,822,874,47.61904761904762,0.185,-0.887,0.466
734,1760529349909,27.95,-71.14,70.25,792,872,785,840,885,33.333333333333336,0.185,-0.889,0.466
754,1760529349929,27.84,-71.14,70.35,788,868,788,826,881,50.0,0.185,-0.889,0.465
784,1760529349960,28.03,-71.19,70.48,790,862,784,829,880,33.333333333333336,0.185,-0.889,0.464
805,1760529349981,27.92,-71.17,70.56,793,871,789,829,881,47.61904761904762,0.185,-0.889,0.464
825,1760529349998,27.78,-71.16,70.64,790,856,790,824,872,50.0,0.186,-0.889,0.464
855,1760529350028,28.01,-71.19,70.78,788,864,786,831,879,33.333333333333336,0.185,-0.89,0.464
875,1760529350052,27.9,-71.15,70.87,795,869,789,828,877,50.0,0.185,-0.891,0.464
895,1760529350069,27.78,-71.09,70.97,796,861,778,827,877,50.0,0.185,-0.891,0.463
916,1760529350089,27.68,-71.05,71.06,796,868,790,828,882,47.61904761904762,0.186,-0.889,0.464
946,1760529350121,27.88,-71.13,71.2,791,869,790,820,874,33.333333333333336,0.186,-0.889,0.465
966,1760529350145,27.77,-71.12,71.3,793,866,788,826,875,50.0,0.186,-0.889,0.465
996,1760529350174,27.96,-71.17,71.42,794,870,789,831,882,33.333333333333336,0.186,-0.889,0.464
1025,1760529350199,28.16,-71.2,71.57,792,869,790,827,881,34.48275862068966,0.186,-0.891,0.465
1055,1760529350230,28.37,-71.21,71.74,790,861,788,829,880,33.333333333333336,0.186,-0.89,0.465
1076,1760529350255,28.26,-71.18,71.85,788,860,788,829,875,47.61904761904762,0.185,-0.887,0.466
1105,1760529350281,28.45,-71.25,71.97,795,861,790,829,881,34.48275862068966,0.186,-0.887,0.465
1126,1760529350302,28.32,-71.22,72.06,794,867,786,827,886,47.61904761904762,0.185,-0.889,0.465
1146,1760529350321,28.2,-71.19,72.16,795,867,789,829,882,50.0,0.185,-0.891,0.465
1176,1760529350350,28.39,-71.2,72.31,794,866,790,821,880,33.333333333333336,0.185,-0.889,0.465
1206,1760529350380,28.57,-71.26,72.43,793,867,788,825,880,33.333333333333336,0.185,-0.888,0.465
1226,1760529350403,28.44,-71.24,72.51,795,863,782,829,880,50.0,0.185,-0.888,0.465
1246,1760529350429,28.31,-71.21,72.6,796,870,787,821,887,50.0,0.185,-0.888,0.465
1266,1760529350441,28.17,-71.2,72.69,788,861,788,826,880,50.0,0.185,-0.888,0.466
1296,1760529350477,28.36,-71.29,72.83,794,861,785,830,878,33.333333333333336,0.185,-0.887,0.467
1317,1760529350492,28.25,-71.3,72.92,794,873,786,819,879,47.61904761904762,0.185,-0.888,0.466
1337,1760529350517,28.13,-71.29,73.01,794,864,782,820,875,50.0,0.185,-0.89,0.465
1358,1760529350531,28.01,-71.26,73.11,791,862,781,831,879,47.61904761904762,0.185,-0.891,0.465
1387,1760529350572,28.19,-71.28,73.26,793,866,781,827,882,34.48275862068966,0.186,-0.89,0.465
1408,1760529350588,28.07,-71.24,73.35,790,871,781,827,877,47.61904761904762,0.186,-0.889,0.466
1428,1760529350603,27.95,-71.2,73.45,792,872,789,832,881,50.0,0.186,-0.889,0.466
1448,1760529350634,27.83,-71.16,73.55,793,871,783,822,880,50.0,0.186,-0.889,0.466
1468,1760529350651,27.71,-71.14,73.64,795,870,788,829,889,50.0,0.186,-0.887,0.467
1489,1760529350667,27.61,-71.12,73.74,796,866,788,817,874,47.61904761904762,0.186,-0.887,0.467
1509,1760529350684,27.51,-71.11,73.83,794,867,779,822,896,50.0,0.186,-0.887,0.467
1530,1760529350720,27.41,-71.09,73.92,794,874,793,831,877,47.61904761904762,0.185,-0.888,0.466
1550,1760529350738,27.31,-71.07,74.02,793,864,788,827,880,50.0,0.185,-0.888,0.467
1571,1760529350759,27.21,-71.06,74.12,796,865,787,829,879,47.61904761904762,0.186,-0.888,0.466
1591,1760529350779,27.11,-71.04,74.21,790,869,791,827,881,50.0,0.185,-0.888,0.466
1621,1760529350798,27.31,-71.09,74.34,793,861,788,823,883,33.333333333333336,0.185,-0.889,0.466
1651,1760529350842,27.52,-71.12,74.48,794,868,783,829,874,33.333333333333336,0.186,-0.89,0.466
1671,1760529350863,27.41,-71.08,74.59,788,860,788,826,881,50.0,0.186,-0.891,0.466
1701,1760529350886,27.61,-71.08,74.74,791,863,789,828,881,33.333333333333336,0.186,-0.89,0.466
1722,1760529350910,27.51,-71.03,74.84,789,861,788,831,881,47.61904761904762,0.186,-0.889,0.467
1752,1760529350933,27.71,-71.05,74.98,794,870,790,840,878,33.333333333333336,0.185,-0.888,0.466
1772,1760529350961,27.6,-71.01,75.08,796,867,780,822,881,50.0,0.185,-0.888,0.467
1792,1760529350986,27.48,-70.97,75.18,795,871,784,826,881,50.0,0.185,-0.886,0.468
1812,1760529351014,27.36,-70.95,75.27,790,872,789,832,881,50.0,0.185,-0.885,0.469
1842,1760529351042,27.58,-71.01,75.39,789,866,788,839,879,33.333333333333336,0.185,-0.885,0.469
1872,1760529351072,27.78,-71.08,75.53,794,861,780,831,879,33.333333333333336,0.185,-0.885,0.469
1892,1760529351102,27.66,-71.08,75.62,793,873,787,826,877,50.0,0.185,-0.884,0.47
