timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1760529820028,64.2,-109.87,79.27,797,736,793,806,868,33.333333333333336,-0.463,-0.887,-0.176
20,1760529820046,64.11,-109.84,79.36,801,733,792,813,864,50.0,-0.463,-0.887,-0.176
40,1760529820066,64.02,-109.83,79.46,798,723,798,807,863,50.0,-0.463,-0.888,-0.177
70,1760529820096,64.22,-109.89,79.61,801,726,793,814,864,33.333333333333336,-0.463,-0.888,-0.177
90,1760529820117,64.1,-109.88,79.7,806,733,789,815,866,50.0,-0.463,-0.886,-0.176
120,1760529820147,64.32,-109.96,79.83,799,726,792,811,858,33.333333333333336,-0.463,-0.886,-0.174
141,1760529820167,64.24,-109.94,79.92,804,728,793,813,865,47.61904761904762,-0.462,-0.886,-0.174
171,1760529820197,64.46,-109.99,80.03,801,733,787,813,865,33.333333333333336,-0.462,-0.887,-0.175
191,1760529820217,64.37,-109.97,80.12,804,730,792,815,862,50.0,-0.462,-0.887,-0.175
221,1760529820248,64.58,-109.97,80.25,803,733,789,807,869,33.333333333333336,-0.462,-0.887,-0.174
251,1760529820278,64.8,-109.95,80.37,805,733,791,807,867,33.333333333333336,-0.461,-0.888,-0.174
272,1760529820298,64.72,-109.9,80.46,807,727,794,813,865,47.61904761904762,-0.462,-0.889,-0.174
292,1760529820318,64.61,-109.86,80.56,804,731,791,813,862,50.0,-0.462,-0.889,-0.173
322,1760529820349,64.85,-109.9,80.69,802,724,786,815,861,33.333333333333336,-0.461,-0.888,-0.172
352,1760529820378,65.09,-109.98,80.81,807,735,793,814,867,33.333333333333336,-0.461,-0.888,-0.172
372,1760529820399,64.98,-109.96,80.9,805,731,791,811,874,50.0,-0.462,-0.888,-0.174
392,1760529820419,64.88,-109.95,80.99,806,736,794,811,860,50.0,-0.462,-0.888,-0.174
422,1760529820449,65.1,-110.03,81.12,804,733,792,807,863,33.333333333333336,-0.462,-0.888,-0.173
442,1760529820469,64.99,-110.01,81.2,802,732,789,812,866,50.0,-0.461,-0.888,-0.173
462,1760529820490,64.88,-109.98,81.27,802,733,796,812,864,50.0,-0.461,-0.889,-0.174
492,1760529820520,65.1,-110.04,81.4,798,731,794,813,869,33.333333333333336,-0.461,-0.888,-0.173
512,1760529820539,65.0,-110.02,81.48,801,731,791,809,865,50.0,-0.46,-0.888,-0.172
