timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761113396907,52.69,47.8,-102.1,861,875,876,895,912,50.0,-0.771,0.445,0.435
30,1761113396937,52.73,47.89,-102.13,858,871,871,891,913,33.333333333333336,-0.771,0.447,0.434
60,1761113396969,52.76,47.97,-102.18,858,870,877,886,907,33.333333333333336,-0.771,0.447,0.432
81,1761113396988,52.78,48.01,-102.21,860,879,875,894,907,47.61904761904762,-0.771,0.447,0.432
101,1761113397009,52.8,48.05,-102.24,857,878,877,893,906,50.0,-0.771,0.447,0.432
123,1761113397030,52.83,48.1,-102.26,857,869,872,899,910,45.45454545454545,-0.772,0.448,0.431
143,1761113397051,52.85,48.14,-102.29,855,876,873,896,914,50.0,-0.771,0.449,0.43
165,1761113397073,52.86,48.15,-102.33,858,869,870,895,910,45.45454545454545,-0.771,0.449,0.428
186,1761113397094,52.85,48.16,-102.36,855,879,881,888,908,47.61904761904762,-0.771,0.448,0.426
207,1761113397117,52.86,48.2,-102.38,861,872,878,893,907,47.61904761904762,-0.772,0.448,0.429
227,1761113397135,52.86,48.25,-102.41,858,879,877,887,917,50.0,-0.772,0.449,0.427
249,1761113397158,52.85,48.26,-102.45,859,874,878,895,911,45.45454545454545,-0.772,0.449,0.426
269,1761113397177,52.84,48.28,-102.49,862,876,878,892,911,50.0,-0.77,0.449,0.426
291,1761113397199,52.85,48.33,-102.52,859,869,878,888,910,45.45454545454545,-0.772,0.449,0.428
311,1761113397220,52.86,48.38,-102.55,859,877,878,895,910,50.0,-0.773,0.45,0.428
331,1761113397239,52.87,48.42,-102.59,855,879,878,891,913,50.0,-0.773,0.45,0.426
353,1761113397261,52.88,48.45,-102.63,862,880,874,890,906,45.45454545454545,-0.772,0.45,0.426
374,1761113397282,52.87,48.49,-102.67,856,868,867,896,912,47.61904761904762,-0.772,0.45,0.425
395,1761113397303,52.86,48.51,-102.71,858,881,878,896,908,47.61904761904762,-0.773,0.449,0.425
416,1761113397324,52.86,48.54,-102.74,860,881,879,895,911,47.61904761904762,-0.774,0.45,0.426
437,1761113397345,52.87,48.57,-102.78,855,872,873,894,912,47.61904761904762,-0.774,0.45,0.425
457,1761113397365,52.87,48.59,-102.81,863,872,878,896,911,50.0,-0.774,0.45,0.425
478,1761113397386,52.87,48.61,-102.84,857,880,875,896,911,47.61904761904762,-0.774,0.45,0.425
508,1761113397417,52.88,48.66,-102.88,858,875,870,892,914,33.333333333333336,-0.774,0.45,0.425
