timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761113842733,44.85,-73.77,-107.18,811,885,851,853,912,33.333333333333336,-0.697,-0.715,0.165
30,1761113842763,44.85,-73.73,-107.24,805,882,849,853,936,33.333333333333336,-0.698,-0.715,0.165
60,1761113842794,44.86,-73.72,-107.3,802,885,851,849,906,33.333333333333336,-0.698,-0.715,0.165
80,1761113842814,44.86,-73.73,-107.33,812,887,854,853,913,50.0,-0.698,-0.716,0.165
100,1761113842834,44.85,-73.73,-107.35,803,874,849,853,910,50.0,-0.697,-0.716,0.165
130,1761113842864,44.86,-73.71,-107.4,810,885,854,852,906,33.333333333333336,-0.697,-0.716,0.165
151,1761113842886,44.86,-73.72,-107.43,810,886,848,854,904,47.61904761904762,-0.698,-0.715,0.164
172,1761113842907,44.86,-73.74,-107.46,810,886,852,854,907,47.61904761904762,-0.698,-0.716,0.164
193,1761113842927,44.86,-73.77,-107.48,809,892,852,848,906,47.61904761904762,-0.698,-0.716,0.164
214,1761113842948,44.85,-73.81,-107.5,809,888,853,853,904,47.61904761904762,-0.698,-0.716,0.164
234,1761113842969,44.84,-73.84,-107.52,806,877,849,854,903,50.0,-0.698,-0.716,0.165
255,1761113842989,44.83,-73.86,-107.55,809,889,846,853,906,47.61904761904762,-0.698,-0.716,0.164
276,1761113843010,44.83,-73.87,-107.57,812,888,852,852,909,47.61904761904762,-0.698,-0.716,0.164
297,1761113843031,44.83,-73.87,-107.6,807,890,852,845,909,47.61904761904762,-0.698,-0.715,0.164
318,1761113843053,44.82,-73.89,-107.64,803,881,852,859,906,47.61904761904762,-0.698,-0.715,0.164
340,1761113843076,44.81,-73.91,-107.67,803,893,849,847,907,45.45454545454545,-0.698,-0.716,0.163
363,1761113843097,44.81,-73.91,-107.7,807,885,854,855,906,43.47826086956522,-0.698,-0.716,0.163
383,1761113843117,44.79,-73.92,-107.73,807,887,854,858,915,50.0,-0.697,-0.715,0.164
404,1761113843138,44.78,-73.92,-107.76,809,890,856,849,909,47.61904761904762,-0.697,-0.715,0.165
424,1761113843159,44.78,-73.91,-107.8,810,885,845,856,911,50.0,-0.698,-0.715,0.165
454,1761113843189,44.78,-73.9,-107.86,810,888,853,851,908,33.333333333333336,-0.698,-0.715,0.164
474,1761113843208,44.77,-73.91,-107.89,821,883,850,848,906,50.0,-0.698,-0.715,0.163
495,1761113843230,44.76,-73.93,-107.92,810,884,854,854,904,47.61904761904762,-0.698,-0.716,0.164
515,1761113843250,44.76,-73.94,-107.96,809,879,851,851,908,50.0,-0.698,-0.715,0.164
537,1761113843272,44.75,-73.94,-107.99,804,881,852,853,909,45.45454545454545,-0.698,-0.715,0.164
559,1761113843294,44.75,-73.93,-108.03,813,885,849,856,908,45.45454545454545,-0.698,-0.715,0.164
581,1761113843316,44.75,-73.92,-108.06,810,886,851,853,907,45.45454545454545,-0.697,-0.715,0.164
602,1761113843336,44.75,-73.93,-108.1,810,884,853,858,902,47.61904761904762,-0.697,-0.715,0.164
623,1761113843359,44.75,-73.94,-108.13,810,886,848,848,907,47.61904761904762,-0.698,-0.716,0.164
644,1761113843379,44.74,-73.95,-108.16,803,889,856,853,906,47.61904761904762,-0.698,-0.716,0.163
665,1761113843399,44.74,-73.95,-108.19,810,900,853,852,905,47.61904761904762,-0.698,-0.716,0.163
686,1761113843421,44.74,-73.95,-108.22,810,878,846,853,908,47.61904761904762,-0.697,-0.716,0.164
708,1761113843444,44.73,-73.96,-108.25,810,887,852,855,915,45.45454545454545,-0.697,-0.716,0.164
730,1761113843465,44.73,-73.96,-108.29,810,888,850,854,904,45.45454545454545,-0.697,-0.716,0.164
751,1761113843484,44.73,-73.96,-108.32,808,879,850,852,905,47.61904761904762,-0.697,-0.716,0.163
771,1761113843506,44.72,-73.98,-108.35,809,887,854,847,908,50.0,-0.697,-0.716,0.163
792,1761113843527,44.72,-73.99,-108.38,810,890,855,853,906,47.61904761904762,-0.697,-0.716,0.163
814,1761113843550,44.71,-74.0,-108.41,807,887,853,853,902,45.45454545454545,-0.697,-0.716,0.164
835,1761113843571,44.71,-74.0,-108.44,809,887,851,855,909,47.61904761904762,-0.697,-0.716,0.164
857,1761113843593,44.71,-74.0,-108.47,805,876,857,848,912,45.45454545454545,-0.697,-0.716,0.164
879,1761113843613,44.71,-74.02,-108.5,803,887,853,859,904,45.45454545454545,-0.697,-0.716,0.163
899,1761113843635,44.7,-74.02,-108.53,807,878,852,854,912,50.0,-0.697,-0.717,0.164
920,1761113843655,44.7,-74.01,-108.56,806,882,853,858,902,47.61904761904762,-0.697,-0.716,0.164
942,1761113843681,44.69,-73.99,-108.59,804,886,847,853,901,45.45454545454545,-0.697,-0.716,0.164
963,1761113843699,44.69,-74.0,-108.62,807,880,843,845,905,47.61904761904762,-0.698,-0.716,0.164
984,1761113843720,44.69,-74.0,-108.65,809,881,844,870,906,47.61904761904762,-0.698,-0.716,0.164
1005,1761113843741,44.68,-74.01,-108.68,807,888,854,855,908,47.61904761904762,-0.698,-0.716,0.164
1027,1761113843764,44.68,-74.0,-108.71,805,882,843,846,909,45.45454545454545,-0.697,-0.715,0.164
1048,1761113843787,44.68,-74.0,-108.75,807,880,852,852,909,47.61904761904762,-0.697,-0.715,0.164
1069,1761113843803,44.67,-74.01,-108.78,803,882,854,858,906,47.61904761904762,-0.697,-0.715,0.164
1090,1761113843828,44.67,-74.02,-108.81,809,888,854,853,910,47.61904761904762,-0.698,-0.715,0.164
1112,1761113843846,44.67,-74.02,-108.84,809,883,853,847,910,45.45454545454545,-0.698,-0.715,0.164
1132,1761113843871,44.67,-74.03,-108.87,803,877,849,851,900,50.0,-0.698,-0.716,0.164
1154,1761113843889,44.67,-74.03,-108.9,810,878,846,847,904,45.45454545454545,-0.698,-0.716,0.163
1174,1761113843910,44.66,-74.04,-108.93,809,904,853,851,906,50.0,-0.698,-0.716,0.163
1196,1761113843930,44.66,-74.04,-108.96,809,882,846,854,907,45.45454545454545,-0.698,-0.716,0.164
1216,1761113843951,44.66,-74.05,-108.99,805,877,850,847,904,50.0,-0.698,-0.715,0.164
1238,1761113843972,44.65,-74.05,-109.02,807,886,852,854,909,45.45454545454545,-0.698,-0.715,0.164
1258,1761113843994,44.65,-74.05,-109.05,810,887,853,853,908,50.0,-0.698,-0.715,0.164
1280,1761113844016,44.65,-74.05,-109.09,810,881,846,854,910,45.45454545454545,-0.697,-0.715,0.164
1301,1761113844038,44.65,-74.05,-109.12,804,880,850,847,910,47.61904761904762,-0.697,-0.715,0.164
1322,1761113844060,44.64,-74.05,-109.15,805,885,855,855,907,47.61904761904762,-0.697,-0.716,0.164
1344,1761113844083,44.64,-74.04,-109.18,803,881,843,854,902,45.45454545454545,-0.698,-0.716,0.164
1365,1761113844109,44.63,-74.04,-109.21,809,891,853,856,923,47.61904761904762,-0.698,-0.716,0.164
1385,1761113844125,44.63,-74.04,-109.23,805,888,855,852,910,50.0,-0.697,-0.715,0.165
1406,1761113844152,44.63,-74.04,-109.26,808,876,846,845,900,47.61904761904762,-0.698,-0.715,0.165
1427,1761113844166,44.63,-74.05,-109.29,807,887,850,853,899,47.61904761904762,-0.698,-0.715,0.164
1448,1761113844182,44.63,-74.05,-109.32,805,887,855,849,907,47.61904761904762,-0.698,-0.715,0.164
1469,1761113844210,44.63,-74.05,-109.36,811,887,846,852,921,47.61904761904762,-0.698,-0.715,0.165
1499,1761113844240,44.64,-74.02,-109.4,812,885,854,852,905,33.333333333333336,-0.698,-0.715,0.165
1519,1761113844255,44.64,-74.03,-109.43,808,886,851,853,909,50.0,-0.698,-0.715,0.165
1540,1761113844287,44.64,-74.04,-109.47,809,888,853,852,905,47.61904761904762,-0.698,-0.715,0.164
1570,1761113844306,44.64,-74.0,-109.52,808,889,855,853,903,33.333333333333336,-0.697,-0.715,0.165
1592,1761113844340,44.64,-73.99,-109.55,809,877,854,853,908,45.45454545454545,-0.697,-0.715,0.165
1612,1761113844360,44.64,-74.0,-109.58,808,885,854,852,901,50.0,-0.698,-0.715,0.165
1642,1761113844380,44.65,-73.99,-109.63,807,886,850,853,905,33.333333333333336,-0.698,-0.716,0.164
1663,1761113844400,44.65,-73.99,-109.66,807,887,853,857,900,47.61904761904762,-0.698,-0.716,0.165
