timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761114532471,43.77,45.02,-44.92,860,784,867,858,890,47.61904761904762,-0.673,0.487,0.54
21,1761114532492,43.76,45.02,-44.95,861,786,864,850,892,47.61904761904762,-0.671,0.488,0.54
42,1761114532513,43.77,45.01,-44.99,858,784,863,860,896,47.61904761904762,-0.671,0.489,0.54
62,1761114532532,43.78,45.0,-45.03,861,783,867,862,894,50.0,-0.672,0.488,0.542
82,1761114532553,43.78,45.0,-45.06,853,774,862,855,889,50.0,-0.673,0.487,0.542
102,1761114532573,43.77,44.99,-45.08,856,778,863,859,893,50.0,-0.673,0.487,0.541
122,1761114532592,43.78,44.99,-45.11,860,784,862,860,892,50.0,-0.673,0.488,0.541
152,1761114532622,43.77,45.0,-45.15,860,777,864,855,891,33.333333333333336,-0.672,0.487,0.54
182,1761114532653,43.78,45.02,-45.2,861,784,864,857,903,33.333333333333336,-0.673,0.488,0.541
202,1761114532673,43.78,45.02,-45.22,860,779,858,850,893,50.0,-0.674,0.488,0.541
232,1761114532703,43.76,45.06,-45.24,859,774,857,862,897,33.333333333333336,-0.673,0.488,0.541
252,1761114532723,43.76,45.05,-45.27,860,785,865,858,886,50.0,-0.672,0.489,0.541
282,1761114532753,43.75,45.1,-45.31,855,782,863,852,897,33.333333333333336,-0.672,0.489,0.541
302,1761114532774,43.75,45.09,-45.34,857,792,868,859,893,50.0,-0.672,0.489,0.542
332,1761114532803,43.77,45.1,-45.39,856,772,861,859,893,33.333333333333336,-0.672,0.488,0.542
352,1761114532822,43.76,45.1,-45.41,858,783,864,850,898,50.0,-0.672,0.489,0.542
382,1761114532853,43.79,45.13,-45.47,857,774,858,853,898,33.333333333333336,-0.671,0.488,0.542
402,1761114532872,43.79,45.12,-45.5,861,784,862,850,891,50.0,-0.672,0.489,0.542
432,1761114532903,43.81,45.14,-45.55,864,774,865,853,896,33.333333333333336,-0.671,0.488,0.542
452,1761114532923,43.83,45.13,-45.59,860,789,865,855,890,50.0,-0.672,0.489,0.543
472,1761114532945,43.83,45.14,-45.61,855,785,867,858,893,50.0,-0.673,0.489,0.543
493,1761114532964,43.81,45.14,-45.63,858,773,862,854,895,47.61904761904762,-0.672,0.489,0.542
513,1761114532987,43.79,45.13,-45.66,855,774,856,856,889,50.0,-0.671,0.489,0.54
533,1761114533005,43.79,45.1,-45.71,862,776,863,854,894,50.0,-0.67,0.489,0.54
554,1761114533025,43.77,45.09,-45.75,862,783,860,856,893,47.61904761904762,-0.67,0.489,0.54
584,1761114533055,43.77,45.1,-45.83,858,783,857,859,890,33.333333333333336,-0.671,0.488,0.54
604,1761114533077,43.77,45.08,-45.87,864,788,863,857,895,50.0,-0.672,0.487,0.542
634,1761114533105,43.77,45.11,-45.91,859,784,861,853,889,33.333333333333336,-0.672,0.487,0.543
664,1761114533136,43.8,45.13,-45.95,851,780,868,856,886,33.333333333333336,-0.672,0.487,0.543
685,1761114533158,43.82,45.12,-45.98,861,783,863,860,892,47.61904761904762,-0.672,0.487,0.543
705,1761114533176,43.82,45.12,-46.0,860,786,868,859,893,50.0,-0.672,0.487,0.543
725,1761114533197,43.83,45.12,-46.02,858,775,859,861,894,50.0,-0.672,0.487,0.543
747,1761114533267,43.85,45.12,-46.06,861,786,863,857,921,45.45454545454545,-0.672,0.488,0.542
767,1761114533284,43.87,45.12,-46.08,858,784,863,851,893,50.0,-0.672,0.488,0.541
796,1761114533290,43.9,45.14,-46.13,856,785,870,857,891,34.48275862068966,-0.672,0.489,0.541
816,1761114533296,43.89,45.13,-46.17,859,784,869,858,892,50.0,-0.672,0.489,0.54
837,1761114533308,43.87,45.12,-46.21,856,782,861,860,894,47.61904761904762,-0.671,0.489,0.538
857,1761114533330,43.85,45.1,-46.27,859,781,863,857,892,50.0,-0.67,0.489,0.538
879,1761114533353,43.83,45.08,-46.33,859,773,864,857,895,45.45454545454545,-0.671,0.488,0.539
900,1761114533371,43.81,45.05,-46.38,862,781,853,852,891,47.61904761904762,-0.673,0.487,0.54
921,1761114533396,43.82,45.04,-46.43,859,774,859,858,890,47.61904761904762,-0.673,0.487,0.542
942,1761114533414,43.83,45.04,-46.47,859,789,859,858,893,47.61904761904762,-0.674,0.487,0.543
963,1761114533435,43.84,45.03,-46.5,860,782,859,858,892,47.61904761904762,-0.674,0.486,0.544
983,1761114533456,43.86,45.03,-46.52,857,780,878,857,895,50.0,-0.674,0.485,0.543
1013,1761114533484,43.87,45.07,-46.56,859,785,866,860,888,33.333333333333336,-0.675,0.486,0.542
1033,1761114533506,43.85,45.07,-46.58,860,775,854,851,890,50.0,-0.674,0.487,0.54
1053,1761114533528,43.81,45.04,-46.62,861,774,861,854,888,50.0,-0.672,0.487,0.539
1075,1761114533546,43.79,45.02,-46.68,856,777,865,860,892,45.45454545454545,-0.671,0.487,0.54
1095,1761114533570,43.78,45.0,-46.73,855,784,867,860,889,50.0,-0.672,0.485,0.541
1116,1761114533588,43.79,45.0,-46.76,857,782,871,850,897,47.61904761904762,-0.674,0.484,0.543
