timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761114691627,36.4,49.37,77.0,853,780,801,850,893,47.61904761904762,-0.572,0.582,0.562
30,1761114691658,36.41,49.38,76.95,862,782,799,846,891,33.333333333333336,-0.571,0.581,0.561
50,1761114691678,36.4,49.36,76.91,852,785,797,846,891,50.0,-0.572,0.581,0.561
71,1761114691699,36.4,49.35,76.88,861,784,799,853,888,47.61904761904762,-0.572,0.581,0.562
92,1761114691720,36.4,49.34,76.85,859,784,798,849,899,47.61904761904762,-0.572,0.582,0.563
113,1761114691742,36.4,49.33,76.82,861,785,794,849,893,47.61904761904762,-0.573,0.582,0.562
134,1761114691762,36.39,49.32,76.8,860,783,802,849,880,47.61904761904762,-0.572,0.581,0.562
155,1761114691784,36.38,49.31,76.77,860,777,789,845,894,47.61904761904762,-0.572,0.581,0.562
176,1761114691805,36.39,49.31,76.74,861,781,792,851,888,47.61904761904762,-0.571,0.581,0.562
196,1761114691825,36.4,49.3,76.71,859,776,808,852,890,50.0,-0.572,0.582,0.562
217,1761114691846,36.39,49.29,76.68,855,781,798,849,893,47.61904761904762,-0.572,0.581,0.562
238,1761114691867,36.39,49.29,76.65,858,798,799,854,893,47.61904761904762,-0.572,0.581,0.562
259,1761114691887,36.4,49.29,76.62,858,782,793,847,894,47.61904761904762,-0.572,0.582,0.562
280,1761114691907,36.4,49.29,76.6,857,775,801,848,894,47.61904761904762,-0.572,0.582,0.562
300,1761114691928,36.4,49.28,76.58,854,781,809,846,893,50.0,-0.571,0.582,0.561
320,1761114691948,36.4,49.27,76.55,856,786,801,854,894,50.0,-0.571,0.583,0.561
341,1761114691969,36.4,49.26,76.51,858,782,808,851,896,47.61904761904762,-0.57,0.582,0.561
362,1761114691990,36.4,49.25,76.48,863,788,798,849,892,47.61904761904762,-0.571,0.582,0.561
383,1761114692012,36.41,49.25,76.44,858,783,800,849,893,47.61904761904762,-0.571,0.583,0.561
403,1761114692032,36.42,49.24,76.41,852,785,800,853,894,50.0,-0.572,0.582,0.561
423,1761114692052,36.41,49.24,76.38,852,791,799,847,889,50.0,-0.571,0.582,0.561
444,1761114692073,36.42,49.24,76.34,858,776,797,850,893,47.61904761904762,-0.571,0.582,0.56
464,1761114692094,36.42,49.22,76.3,854,775,801,849,896,50.0,-0.571,0.583,0.56
484,1761114692116,36.4,49.21,76.26,860,773,794,852,892,50.0,-0.571,0.583,0.56
505,1761114692133,36.39,49.19,76.23,860,782,799,846,886,47.61904761904762,-0.571,0.583,0.56
525,1761114692154,36.38,49.17,76.19,854,776,794,849,890,50.0,-0.571,0.582,0.561
546,1761114692178,36.38,49.17,76.15,853,774,795,851,891,47.61904761904762,-0.572,0.582,0.562
567,1761114692196,36.39,49.17,76.12,859,785,798,850,887,47.61904761904762,-0.572,0.583,0.562
589,1761114692218,36.38,49.16,76.09,854,774,791,843,888,45.45454545454545,-0.572,0.583,0.56
619,1761114692248,36.38,49.16,76.03,861,783,798,854,891,33.333333333333336,-0.572,0.582,0.561
639,1761114692268,36.39,49.14,75.98,858,785,798,854,890,50.0,-0.572,0.582,0.562
661,1761114692289,36.4,49.14,75.95,859,789,799,847,892,45.45454545454545,-0.573,0.582,0.563
682,1761114692311,36.39,49.14,75.92,858,777,796,848,891,47.61904761904762,-0.573,0.582,0.563
702,1761114692331,36.38,49.12,75.9,856,780,800,846,890,50.0,-0.572,0.581,0.562
723,1761114692353,36.38,49.12,75.86,857,774,792,843,885,47.61904761904762,-0.572,0.581,0.561
746,1761114692373,36.38,49.11,75.82,857,782,802,855,891,43.47826086956522,-0.571,0.582,0.562
776,1761114692406,36.38,49.12,75.77,857,784,799,856,890,33.333333333333336,-0.572,0.581,0.562
798,1761114692428,36.38,49.11,75.73,860,786,800,845,886,45.45454545454545,-0.572,0.581,0.562
818,1761114692447,36.38,49.09,75.7,859,781,800,857,890,50.0,-0.572,0.581,0.562
839,1761114692469,36.38,49.08,75.66,859,786,794,854,890,47.61904761904762,-0.573,0.581,0.562
869,1761114692497,36.37,49.1,75.62,860,784,797,844,895,33.333333333333336,-0.572,0.581,0.562
890,1761114692520,36.37,49.08,75.58,861,775,802,853,892,47.61904761904762,-0.572,0.581,0.563
919,1761114692553,36.38,49.09,75.51,860,784,799,853,894,34.48275862068966,-0.572,0.581,0.563
940,1761114692567,36.38,49.07,75.48,857,782,792,847,896,47.61904761904762,-0.573,0.58,0.563
960,1761114692589,36.38,49.07,75.45,860,778,800,850,893,50.0,-0.572,0.58,0.563
981,1761114692610,36.44,49.12,75.4,862,785,796,849,891,47.61904761904762,-0.572,0.58,0.565
1001,1761114692633,36.51,49.13,75.36,860,782,802,848,894,50.0,-0.574,0.581,0.565
1021,1761114692649,36.52,49.14,75.33,859,785,792,843,893,50.0,-0.574,0.581,0.562
1051,1761114692679,36.47,49.15,75.31,858,783,795,854,893,33.333333333333336,-0.573,0.581,0.56
1072,1761114692702,36.46,49.12,75.26,858,783,801,850,891,47.61904761904762,-0.572,0.582,0.559
1093,1761114692730,36.45,49.1,75.21,857,783,791,841,894,47.61904761904762,-0.572,0.582,0.56
1113,1761114692743,36.44,49.08,75.17,859,780,796,845,889,50.0,-0.573,0.581,0.562
1143,1761114692777,36.45,49.09,75.12,861,772,794,846,891,33.333333333333336,-0.574,0.58,0.562
1165,1761114692797,36.45,49.08,75.08,854,780,795,853,893,45.45454545454545,-0.574,0.58,0.562
1187,1761114692816,36.45,49.08,75.05,854,785,796,853,891,45.45454545454545,-0.575,0.581,0.562
1208,1761114692838,36.43,49.06,75.02,854,785,801,849,893,47.61904761904762,-0.574,0.58,0.561
