timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761115482978,5.04,-83.96,12.65,872,777,840,852,871,34.48275862068966,-0.125,-0.943,0.364
21,1761115482999,5.04,-83.95,12.62,865,781,853,849,879,47.61904761904762,-0.125,-0.943,0.364
42,1761115483020,5.04,-83.92,12.59,864,778,847,841,874,47.61904761904762,-0.125,-0.942,0.364
63,1761115483042,5.04,-83.92,12.55,868,785,841,849,876,47.61904761904762,-0.125,-0.943,0.364
85,1761115483062,5.05,-83.92,12.52,870,775,842,843,869,45.45454545454545,-0.125,-0.943,0.364
105,1761115483083,5.05,-83.88,12.5,868,775,847,849,898,50.0,-0.125,-0.944,0.363
126,1761115483104,5.04,-83.85,12.47,874,785,843,848,877,47.61904761904762,-0.125,-0.943,0.364
147,1761115483125,5.04,-83.84,12.44,868,778,845,852,882,47.61904761904762,-0.125,-0.943,0.364
168,1761115483146,5.05,-83.83,12.41,868,774,844,852,872,47.61904761904762,-0.125,-0.943,0.365
189,1761115483166,5.05,-83.82,12.39,871,771,838,849,879,47.61904761904762,-0.125,-0.943,0.364
210,1761115483187,5.05,-83.79,12.36,869,779,851,845,876,47.61904761904762,-0.125,-0.943,0.364
230,1761115483208,5.05,-83.76,12.33,869,773,835,845,875,50.0,-0.125,-0.943,0.364
250,1761115483228,5.05,-83.75,12.29,868,784,843,855,876,50.0,-0.125,-0.943,0.364
271,1761115483249,5.05,-83.74,12.27,867,781,845,849,878,47.61904761904762,-0.125,-0.943,0.365
292,1761115483270,5.05,-83.72,12.24,863,781,845,852,883,47.61904761904762,-0.125,-0.943,0.365
313,1761115483291,5.05,-83.7,12.21,867,777,839,850,868,47.61904761904762,-0.125,-0.943,0.365
334,1761115483311,5.05,-83.68,12.18,867,785,842,843,874,47.61904761904762,-0.125,-0.942,0.365
364,1761115483342,5.03,-83.77,12.13,868,781,841,848,876,33.333333333333336,-0.125,-0.942,0.365
384,1761115483362,5.03,-83.75,12.1,866,770,838,854,882,50.0,-0.125,-0.943,0.365
405,1761115483383,5.03,-83.75,12.07,863,770,833,842,872,47.61904761904762,-0.125,-0.944,0.365
426,1761115483403,5.04,-83.73,12.05,864,773,838,844,882,47.61904761904762,-0.125,-0.943,0.365
456,1761115483433,5.02,-83.83,12.0,868,782,850,851,875,33.333333333333336,-0.125,-0.942,0.365
486,1761115483463,5.0,-83.93,11.96,863,777,844,847,881,33.333333333333336,-0.125,-0.942,0.366
516,1761115483492,5.0,-84.04,11.91,864,779,843,846,872,33.333333333333336,-0.125,-0.942,0.365
545,1761115483522,4.98,-84.15,11.87,866,786,844,859,872,34.48275862068966,-0.125,-0.943,0.365
575,1761115483552,4.97,-84.25,11.83,868,778,838,850,874,33.333333333333336,-0.125,-0.943,0.365
595,1761115483572,4.97,-84.21,11.8,870,782,841,838,875,50.0,-0.125,-0.942,0.365
625,1761115483602,4.96,-84.31,11.75,866,780,842,853,878,33.333333333333336,-0.125,-0.942,0.365
655,1761115483632,4.95,-84.41,11.7,868,771,839,851,878,33.333333333333336,-0.125,-0.942,0.365
685,1761115483662,4.94,-84.51,11.66,865,782,845,849,883,33.333333333333336,-0.125,-0.943,0.365
714,1761115483691,4.93,-84.6,11.61,867,779,844,846,877,34.48275862068966,-0.125,-0.942,0.365
744,1761115483722,4.91,-84.7,11.56,863,780,852,847,877,33.333333333333336,-0.125,-0.943,0.365
