timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761115913228,3.66,-88.62,91.49,822,770,786,833,851,34.48275862068966,-0.109,-0.95,0.352
30,1761115913258,3.66,-88.66,91.44,819,766,791,832,853,33.333333333333336,-0.109,-0.95,0.351
60,1761115913288,3.62,-88.68,91.4,826,765,792,833,848,33.333333333333336,-0.109,-0.95,0.35
80,1761115913308,3.61,-88.59,91.37,826,778,783,828,858,50.0,-0.109,-0.951,0.35
110,1761115913338,3.6,-88.65,91.33,825,769,778,834,856,33.333333333333336,-0.109,-0.951,0.351
140,1761115913367,3.59,-88.66,91.29,821,767,790,825,857,33.333333333333336,-0.108,-0.95,0.351
170,1761115913397,3.59,-88.74,91.24,824,775,785,827,861,33.333333333333336,-0.108,-0.95,0.351
199,1761115913427,3.58,-88.79,91.21,821,775,789,831,862,34.48275862068966,-0.108,-0.951,0.35
229,1761115913456,3.58,-88.84,91.17,823,777,783,823,854,33.333333333333336,-0.108,-0.95,0.349
259,1761115913486,3.56,-88.87,91.12,827,776,787,825,865,33.333333333333336,-0.108,-0.951,0.349
288,1761115913516,3.55,-88.92,91.08,821,783,794,828,847,34.48275862068966,-0.108,-0.951,0.349
318,1761115913558,3.55,-88.97,91.04,821,778,790,824,856,33.333333333333336,-0.108,-0.952,0.349
348,1761115913575,3.56,-88.96,90.99,821,780,788,821,849,33.333333333333336,-0.108,-0.951,0.348
377,1761115913605,3.54,-89.02,90.95,822,770,794,831,859,34.48275862068966,-0.108,-0.952,0.348
397,1761115913625,3.55,-88.91,90.92,822,781,793,829,886,50.0,-0.108,-0.951,0.348
427,1761115913655,3.54,-88.96,90.87,819,779,783,823,860,33.333333333333336,-0.108,-0.952,0.347
457,1761115913685,3.56,-88.98,90.82,825,771,780,832,852,33.333333333333336,-0.108,-0.952,0.347
487,1761115913714,3.56,-89.0,90.77,823,772,780,825,859,33.333333333333336,-0.107,-0.952,0.346
517,1761115913744,3.51,-89.0,90.74,824,777,791,830,865,33.333333333333336,-0.108,-0.953,0.346
546,1761115913774,3.49,-89.01,90.7,820,765,788,830,858,34.48275862068966,-0.108,-0.952,0.347
576,1761115913804,3.48,-89.03,90.66,823,781,794,830,853,33.333333333333336,-0.108,-0.951,0.347
