timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761118650990,30.82,-155.03,47.57,872,773,880,884,894,47.61904761904762,-0.552,-0.544,-0.651
22,1761118651012,30.82,-155.02,47.52,868,779,878,883,893,45.45454545454545,-0.551,-0.545,-0.65
44,1761118651034,30.83,-155.01,47.48,865,774,871,892,896,45.45454545454545,-0.551,-0.545,-0.65
65,1761118651054,30.83,-154.99,47.45,878,781,873,892,894,47.61904761904762,-0.55,-0.545,-0.65
86,1761118651075,30.84,-154.97,47.43,874,775,878,886,889,47.61904761904762,-0.551,-0.545,-0.651
106,1761118651096,30.86,-154.96,47.41,868,770,866,892,888,50.0,-0.551,-0.546,-0.65
128,1761118651118,30.86,-154.94,47.38,870,780,885,891,895,45.45454545454545,-0.551,-0.545,-0.65
149,1761118651139,30.87,-154.92,47.35,866,777,879,896,895,47.61904761904762,-0.551,-0.545,-0.651
171,1761118651160,30.86,-154.9,47.32,878,782,878,883,895,45.45454545454545,-0.552,-0.545,-0.651
191,1761118651180,30.86,-154.87,47.28,888,779,877,888,924,50.0,-0.552,-0.545,-0.651
212,1761118651202,30.85,-154.84,47.25,876,777,868,889,886,47.61904761904762,-0.551,-0.545,-0.65
233,1761118651223,30.86,-154.83,47.23,871,780,878,896,897,47.61904761904762,-0.55,-0.545,-0.65
254,1761118651243,30.88,-154.82,47.21,875,775,872,885,890,47.61904761904762,-0.551,-0.546,-0.65
275,1761118651263,30.89,-154.8,47.18,874,769,882,889,898,47.61904761904762,-0.551,-0.544,-0.651
305,1761118651293,30.88,-154.92,47.13,866,770,876,891,901,33.333333333333336,-0.551,-0.544,-0.651
325,1761118651314,30.88,-154.89,47.1,878,773,877,888,900,50.0,-0.551,-0.543,-0.65
345,1761118651334,30.89,-154.87,47.05,874,772,873,895,898,50.0,-0.551,-0.542,-0.651
365,1761118651356,30.92,-154.87,47.01,880,772,879,889,896,50.0,-0.552,-0.543,-0.651
387,1761118651375,30.95,-154.9,46.95,874,768,879,885,894,45.45454545454545,-0.551,-0.545,-0.649
417,1761118651406,30.96,-155.02,46.9,872,780,879,887,897,33.333333333333336,-0.55,-0.546,-0.651
438,1761118651427,30.96,-155.01,46.87,874,772,877,899,890,47.61904761904762,-0.551,-0.547,-0.653
458,1761118651447,30.96,-154.99,46.85,877,778,874,891,891,50.0,-0.55,-0.546,-0.652
479,1761118651468,30.95,-154.98,46.82,875,792,877,893,890,47.61904761904762,-0.55,-0.546,-0.651
500,1761118651490,30.95,-154.97,46.78,872,771,881,896,890,47.61904761904762,-0.55,-0.545,-0.651
521,1761118651510,30.95,-154.96,46.73,875,784,866,893,894,47.61904761904762,-0.55,-0.545,-0.652
551,1761118651541,30.93,-155.05,46.68,879,782,865,893,897,33.333333333333336,-0.55,-0.546,-0.652
572,1761118651564,30.93,-155.04,46.65,878,779,872,891,893,47.61904761904762,-0.549,-0.546,-0.652
595,1761118651584,30.93,-155.07,46.63,877,779,875,894,900,43.47826086956522,-0.549,-0.547,-0.651
616,1761118651606,30.95,-155.04,46.61,873,780,874,887,893,47.61904761904762,-0.549,-0.547,-0.649
637,1761118651625,30.97,-155.03,46.59,868,779,882,892,891,47.61904761904762,-0.549,-0.546,-0.65
657,1761118651646,31.0,-155.01,46.57,878,780,874,885,889,50.0,-0.548,-0.545,-0.652
678,1761118651668,31.01,-155.02,46.54,876,778,883,893,889,47.61904761904762,-0.549,-0.545,-0.653
700,1761118651691,31.0,-155.0,46.51,875,778,873,885,888,45.45454545454545,-0.548,-0.544,-0.652
721,1761118651710,31.01,-154.98,46.46,878,775,871,904,892,47.61904761904762,-0.548,-0.543,-0.65
742,1761118651731,31.05,-154.97,46.41,873,781,877,895,894,47.61904761904762,-0.548,-0.543,-0.65
763,1761118651752,31.08,-154.99,46.35,873,778,875,887,890,47.61904761904762,-0.548,-0.545,-0.652
784,1761118651772,31.08,-154.98,46.31,870,777,876,886,890,47.61904761904762,-0.548,-0.546,-0.654
804,1761118651792,31.06,-154.96,46.29,879,778,862,890,885,50.0,-0.548,-0.546,-0.655
834,1761118651824,31.02,-155.02,46.23,876,781,876,885,889,33.333333333333336,-0.547,-0.545,-0.654
855,1761118651845,31.03,-155.0,46.18,876,770,884,893,897,47.61904761904762,-0.547,-0.545,-0.653
876,1761118651868,31.04,-154.99,46.13,873,776,870,880,895,47.61904761904762,-0.547,-0.545,-0.654
896,1761118651887,31.02,-154.98,46.09,872,769,875,897,896,50.0,-0.547,-0.546,-0.655
926,1761118651916,30.97,-155.07,46.03,877,782,880,886,889,33.333333333333336,-0.547,-0.547,-0.655
948,1761118651937,30.94,-155.04,45.99,875,768,867,885,895,45.45454545454545,-0.547,-0.547,-0.654
968,1761118651958,30.94,-155.01,45.95,867,771,876,888,896,50.0,-0.546,-0.545,-0.652
989,1761118651977,30.95,-155.01,45.9,873,778,882,893,892,47.61904761904762,-0.546,-0.545,-0.652
1009,1761118651998,30.95,-155.03,45.84,872,783,876,883,889,50.0,-0.546,-0.546,-0.652
1030,1761118652019,30.94,-154.99,45.79,866,767,872,891,898,47.61904761904762,-0.546,-0.547,-0.653
1051,1761118652041,30.94,-154.98,45.74,873,775,879,895,883,47.61904761904762,-0.546,-0.548,-0.652
1072,1761118652063,30.94,-154.94,45.69,869,781,883,891,892,47.61904761904762,-0.546,-0.548,-0.652
