timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761119152315,23.91,-141.61,-111.7,809,777,789,820,851,45.45454545454545,-0.44,-0.729,-0.553
22,1761119152339,23.89,-141.62,-111.73,809,767,780,827,855,45.45454545454545,-0.44,-0.729,-0.553
46,1761119152360,23.88,-141.64,-111.76,813,775,785,824,844,41.666666666666664,-0.441,-0.73,-0.552
67,1761119152381,23.88,-141.6,-111.8,811,768,783,823,850,47.61904761904762,-0.44,-0.729,-0.55
89,1761119152402,23.88,-141.56,-111.84,807,778,789,822,845,45.45454545454545,-0.44,-0.728,-0.549
110,1761119152425,23.88,-141.56,-111.89,812,769,792,828,873,47.61904761904762,-0.44,-0.728,-0.551
132,1761119152447,23.88,-141.59,-111.93,814,772,791,828,850,45.45454545454545,-0.44,-0.73,-0.551
154,1761119152468,23.84,-141.6,-111.96,806,775,783,820,872,45.45454545454545,-0.44,-0.731,-0.551
175,1761119152489,23.82,-141.57,-112.0,806,775,783,821,845,47.61904761904762,-0.44,-0.73,-0.55
196,1761119152510,23.81,-141.53,-112.04,811,768,785,821,846,47.61904761904762,-0.44,-0.729,-0.549
217,1761119152531,23.82,-141.5,-112.08,808,772,785,828,840,47.61904761904762,-0.44,-0.729,-0.549
238,1761119152552,23.84,-141.49,-112.13,812,773,785,825,844,47.61904761904762,-0.44,-0.73,-0.55
259,1761119152574,23.82,-141.48,-112.16,809,779,788,826,839,47.61904761904762,-0.44,-0.732,-0.55
280,1761119152594,23.8,-141.47,-112.19,815,771,786,826,848,47.61904761904762,-0.44,-0.732,-0.549
301,1761119152615,23.79,-141.45,-112.21,810,775,791,824,842,47.61904761904762,-0.44,-0.732,-0.548
322,1761119152636,23.8,-141.43,-112.24,811,762,788,827,848,47.61904761904762,-0.44,-0.732,-0.547
343,1761119152657,23.82,-141.41,-112.27,812,775,783,818,852,47.61904761904762,-0.44,-0.732,-0.548
364,1761119152678,23.83,-141.41,-112.29,809,775,789,820,845,47.61904761904762,-0.44,-0.732,-0.549
385,1761119152700,23.82,-141.41,-112.32,805,775,783,828,849,47.61904761904762,-0.44,-0.733,-0.549
407,1761119152720,23.8,-141.4,-112.35,813,772,791,823,847,45.45454545454545,-0.44,-0.732,-0.548
427,1761119152743,23.81,-141.37,-112.4,812,774,781,825,849,50.0,-0.439,-0.731,-0.546
449,1761119152763,23.83,-141.35,-112.44,806,774,788,819,846,45.45454545454545,-0.439,-0.731,-0.546
470,1761119152784,23.84,-141.36,-112.49,811,771,778,830,846,47.61904761904762,-0.44,-0.733,-0.548
491,1761119152805,23.83,-141.36,-112.52,807,773,788,822,849,47.61904761904762,-0.44,-0.734,-0.549
513,1761119152826,23.81,-141.34,-112.54,814,775,779,822,845,45.45454545454545,-0.439,-0.733,-0.549
533,1761119152848,23.81,-141.35,-112.57,813,778,790,826,846,50.0,-0.439,-0.733,-0.548
555,1761119152869,23.82,-141.34,-112.61,814,770,781,827,840,45.45454545454545,-0.439,-0.733,-0.546
576,1761119152893,23.83,-141.28,-112.65,810,763,782,830,846,47.61904761904762,-0.439,-0.733,-0.546
598,1761119152913,23.84,-141.26,-112.7,814,764,792,822,844,45.45454545454545,-0.439,-0.732,-0.548
620,1761119152937,23.84,-141.28,-112.74,814,773,786,845,853,45.45454545454545,-0.439,-0.733,-0.549
644,1761119152958,23.81,-141.32,-112.76,808,778,791,824,852,41.666666666666664,-0.439,-0.734,-0.549
665,1761119152979,23.79,-141.31,-112.79,810,774,794,825,843,47.61904761904762,-0.439,-0.734,-0.547
686,1761119153000,23.79,-141.29,-112.81,805,778,787,827,848,47.61904761904762,-0.439,-0.734,-0.545
707,1761119153021,23.8,-141.27,-112.84,806,775,789,826,847,47.61904761904762,-0.438,-0.733,-0.545
728,1761119153042,23.81,-141.29,-112.86,811,764,790,825,844,47.61904761904762,-0.439,-0.734,-0.547
749,1761119153063,23.8,-141.31,-112.87,810,766,791,827,838,47.61904761904762,-0.439,-0.734,-0.546
770,1761119153084,23.81,-141.33,-112.89,810,780,778,828,847,47.61904761904762,-0.438,-0.733,-0.545
791,1761119153106,23.84,-141.33,-112.91,808,762,793,825,840,47.61904761904762,-0.438,-0.734,-0.544
813,1761119153127,23.86,-141.33,-112.94,810,780,789,816,847,45.45454545454545,-0.438,-0.735,-0.545
834,1761119153148,23.88,-141.32,-112.95,814,763,792,825,836,47.61904761904762,-0.439,-0.735,-0.548
864,1761119153177,23.84,-141.47,-112.95,811,776,785,825,846,33.333333333333336,-0.433,-0.733,-0.548
884,1761119153198,23.82,-141.46,-112.96,815,766,791,827,844,50.0,-0.433,-0.732,-0.548
905,1761119153221,23.82,-141.46,-113.0,807,772,783,820,849,47.61904761904762,-0.435,-0.731,-0.548
927,1761119153242,23.82,-141.46,-113.04,809,772,796,828,844,45.45454545454545,-0.436,-0.731,-0.548
949,1761119153263,23.82,-141.47,-113.08,813,763,790,839,840,45.45454545454545,-0.436,-0.731,-0.549
970,1761119153287,23.81,-141.47,-113.11,806,773,788,822,845,47.61904761904762,-0.437,-0.732,-0.549
991,1761119153308,23.8,-141.47,-113.14,803,765,783,823,842,47.61904761904762,-0.438,-0.732,-0.549
1012,1761119153329,23.81,-141.46,-113.16,808,775,786,821,841,47.61904761904762,-0.438,-0.732,-0.548
1032,1761119153346,23.82,-141.44,-113.19,811,773,780,822,843,50.0,-0.438,-0.731,-0.55
1053,1761119153368,23.82,-141.46,-113.21,805,780,789,847,844,47.61904761904762,-0.439,-0.732,-0.55
1074,1761119153391,23.81,-141.47,-113.24,807,773,781,820,842,47.61904761904762,-0.439,-0.732,-0.55
1096,1761119153409,23.79,-141.47,-113.28,807,777,790,825,846,45.45454545454545,-0.439,-0.731,-0.549
1116,1761119153434,23.8,-141.45,-113.32,812,768,792,826,844,50.0,-0.439,-0.73,-0.549
1136,1761119153451,23.81,-141.43,-113.37,810,781,786,824,846,50.0,-0.439,-0.731,-0.549
1158,1761119153471,23.82,-141.45,-113.41,813,777,788,827,843,45.45454545454545,-0.439,-0.732,-0.551
1178,1761119153497,23.81,-141.46,-113.44,811,778,791,824,838,50.0,-0.439,-0.733,-0.551
1199,1761119153519,23.8,-141.43,-113.46,811,773,788,818,838,47.61904761904762,-0.439,-0.732,-0.55
1220,1761119153539,23.8,-141.41,-113.49,806,773,785,825,849,47.61904761904762,-0.438,-0.731,-0.549
1241,1761119153558,23.82,-141.39,-113.53,813,769,789,825,843,47.61904761904762,-0.438,-0.73,-0.549
1263,1761119153581,23.84,-141.39,-113.56,812,766,788,824,853,45.45454545454545,-0.438,-0.731,-0.551
1283,1761119153602,23.83,-141.39,-113.59,810,775,785,822,845,50.0,-0.439,-0.732,-0.552
1304,1761119153625,23.81,-141.38,-113.62,810,770,787,820,847,47.61904761904762,-0.439,-0.732,-0.551
1326,1761119153648,23.81,-141.36,-113.66,807,772,781,826,843,45.45454545454545,-0.438,-0.731,-0.55
1348,1761119153661,23.82,-141.36,-113.7,808,775,793,827,850,45.45454545454545,-0.438,-0.731,-0.55
1368,1761119153686,23.82,-141.37,-113.72,809,775,787,823,846,50.0,-0.439,-0.732,-0.551
1389,1761119153711,23.81,-141.37,-113.75,809,772,785,819,850,47.61904761904762,-0.439,-0.733,-0.551
1411,1761119153726,23.79,-141.37,-113.77,813,777,790,828,839,45.45454545454545,-0.438,-0.732,-0.551
1432,1761119153755,23.78,-141.39,-113.79,812,776,780,823,848,47.61904761904762,-0.438,-0.732,-0.55
1453,1761119153770,23.78,-141.37,-113.83,811,786,786,825,851,47.61904761904762,-0.438,-0.732,-0.549
1475,1761119153799,23.78,-141.38,-113.86,813,763,785,826,849,45.45454545454545,-0.438,-0.732,-0.55
1497,1761119153815,23.78,-141.38,-113.89,811,764,790,826,850,45.45454545454545,-0.439,-0.732,-0.55
1517,1761119153831,23.78,-141.36,-113.92,806,774,779,818,845,50.0,-0.439,-0.733,-0.551
1538,1761119153864,23.76,-141.38,-113.95,812,764,790,826,844,47.61904761904762,-0.439,-0.733,-0.552
1559,1761119153880,23.74,-141.38,-113.97,812,775,788,826,841,47.61904761904762,-0.439,-0.733,-0.55
1579,1761119153897,23.73,-141.35,-114.0,809,776,792,822,853,50.0,-0.438,-0.732,-0.549
1600,1761119153916,23.74,-141.33,-114.03,808,775,786,820,847,47.61904761904762,-0.438,-0.731,-0.549
1620,1761119153935,23.74,-141.32,-114.06,811,769,788,825,848,50.0,-0.438,-0.732,-0.55
1642,1761119153956,23.74,-141.32,-114.1,807,773,777,825,849,45.45454545454545,-0.439,-0.732,-0.55
1663,1761119153978,23.71,-141.31,-114.14,810,779,793,829,847,47.61904761904762,-0.439,-0.732,-0.551
1683,1761119153999,23.68,-141.3,-114.18,808,768,790,826,842,50.0,-0.439,-0.732,-0.551
