timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761119467008,-35.63,-54.47,149.05,821,785,816,854,867,47.61904761904762,0.563,-0.539,0.657
20,1761119467028,-35.63,-54.45,149.02,822,778,822,850,866,50.0,0.563,-0.539,0.657
40,1761119467051,-35.62,-54.42,148.99,818,780,828,851,859,50.0,0.563,-0.54,0.657
62,1761119467072,-35.62,-54.42,148.96,816,780,823,859,866,45.45454545454545,0.563,-0.539,0.657
83,1761119467093,-35.62,-54.41,148.93,815,779,821,850,869,47.61904761904762,0.562,-0.538,0.657
105,1761119467114,-35.6,-54.42,148.9,816,773,818,852,865,45.45454545454545,0.562,-0.538,0.657
126,1761119467134,-35.59,-54.41,148.87,824,779,826,857,857,47.61904761904762,0.563,-0.538,0.658
146,1761119467155,-35.59,-54.39,148.84,821,776,825,857,863,50.0,0.562,-0.539,0.657
166,1761119467175,-35.58,-54.37,148.8,819,770,829,854,904,50.0,0.562,-0.539,0.657
187,1761119467196,-35.58,-54.35,148.77,819,782,819,856,867,47.61904761904762,0.562,-0.54,0.657
207,1761119467217,-35.57,-54.34,148.74,822,766,824,847,863,50.0,0.562,-0.539,0.657
228,1761119467238,-35.57,-54.33,148.72,821,772,828,850,864,47.61904761904762,0.568,-0.539,0.657
249,1761119467258,-35.57,-54.33,148.68,824,770,826,852,869,47.61904761904762,0.568,-0.54,0.657
270,1761119467279,-35.57,-54.32,148.65,822,770,828,847,866,47.61904761904762,0.567,-0.541,0.657
291,1761119467300,-35.57,-54.3,148.62,822,776,825,850,863,47.61904761904762,0.565,-0.541,0.656
312,1761119467321,-35.57,-54.29,148.58,818,785,830,850,870,47.61904761904762,0.564,-0.541,0.657
333,1761119467342,-35.57,-54.27,148.56,822,773,832,851,863,47.61904761904762,0.564,-0.541,0.657
353,1761119467362,-35.57,-54.26,148.53,817,778,825,845,869,50.0,0.564,-0.54,0.656
374,1761119467384,-35.57,-54.25,148.51,826,770,823,848,867,47.61904761904762,0.564,-0.54,0.657
395,1761119467405,-35.57,-54.25,148.48,820,776,828,846,862,47.61904761904762,0.564,-0.54,0.657
416,1761119467425,-35.57,-54.24,148.45,822,778,826,850,865,47.61904761904762,0.563,-0.54,0.657
437,1761119467446,-35.57,-54.23,148.42,822,779,823,855,869,47.61904761904762,0.563,-0.541,0.657
458,1761119467467,-35.57,-54.22,148.39,821,774,826,851,864,47.61904761904762,0.563,-0.542,0.656
