timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761119742550,-26.44,-47.22,107.39,800,778,788,825,841,33.333333333333336,0.418,-0.486,0.789
30,1761119742577,-26.45,-47.33,107.35,805,765,791,826,840,33.333333333333336,0.419,-0.486,0.789
50,1761119742597,-26.44,-47.29,107.32,804,778,786,823,848,50.0,0.419,-0.486,0.79
80,1761119742627,-26.45,-47.39,107.27,801,773,806,828,842,33.333333333333336,0.418,-0.487,0.789
100,1761119742648,-26.44,-47.35,107.24,805,770,786,828,836,50.0,0.418,-0.487,0.789
130,1761119742678,-26.44,-47.44,107.19,803,781,785,821,836,33.333333333333336,0.418,-0.487,0.789
151,1761119742700,-26.44,-47.41,107.15,804,767,785,833,834,47.61904761904762,0.418,-0.487,0.789
172,1761119742720,-26.43,-47.38,107.12,800,772,790,822,844,47.61904761904762,0.418,-0.488,0.789
202,1761119742750,-26.45,-47.46,107.07,802,774,790,823,844,33.333333333333336,0.418,-0.488,0.789
223,1761119742771,-26.44,-47.42,107.04,803,774,788,821,839,47.61904761904762,0.418,-0.487,0.789
244,1761119742792,-26.44,-47.38,107.0,802,778,790,825,850,47.61904761904762,0.419,-0.486,0.79
264,1761119742812,-26.42,-47.34,106.97,803,773,789,832,840,50.0,0.419,-0.485,0.789
284,1761119742832,-26.41,-47.31,106.94,801,769,793,831,840,50.0,0.419,-0.486,0.79
314,1761119742863,-26.43,-47.38,106.9,808,776,789,823,839,33.333333333333336,0.418,-0.486,0.79
335,1761119742883,-26.43,-47.35,106.87,803,777,774,827,839,47.61904761904762,0.418,-0.486,0.79
355,1761119742904,-26.42,-47.31,106.84,800,777,785,820,841,50.0,0.419,-0.486,0.79
377,1761119742925,-26.42,-47.3,106.81,799,769,787,830,847,45.45454545454545,0.419,-0.486,0.79
398,1761119742946,-26.42,-47.27,106.78,803,766,789,818,838,47.61904761904762,0.419,-0.486,0.789
418,1761119742967,-26.42,-47.23,106.75,801,772,789,826,836,50.0,0.419,-0.486,0.79
439,1761119742988,-26.42,-47.21,106.72,805,767,790,819,844,47.61904761904762,0.418,-0.486,0.79
