timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761120192677,-5.89,-111.6,-165.97,810,773,806,837,864,45.45454545454545,0.077,-1.009,-0.123
23,1761120192700,-5.9,-111.63,-165.99,811,770,808,828,860,43.47826086956522,0.076,-1.01,-0.123
45,1761120192721,-5.9,-111.66,-166.0,816,778,805,839,864,45.45454545454545,0.076,-1.01,-0.123
67,1761120192743,-5.9,-111.69,-166.01,810,775,801,838,857,45.45454545454545,0.076,-1.01,-0.123
89,1761120192763,-5.91,-111.72,-166.03,812,776,810,829,862,45.45454545454545,0.076,-1.009,-0.123
109,1761120192784,-5.91,-111.71,-166.05,809,770,805,843,864,50.0,0.076,-1.009,-0.123
130,1761120192805,-5.91,-111.69,-166.09,809,777,794,841,860,47.61904761904762,0.075,-1.008,-0.124
150,1761120192826,-5.91,-111.66,-166.14,812,773,802,839,860,50.0,0.075,-1.008,-0.124
171,1761120192846,-5.91,-111.64,-166.18,808,775,806,827,900,47.61904761904762,0.075,-1.009,-0.124
191,1761120192866,-5.9,-111.61,-166.21,810,777,807,828,866,50.0,0.076,-1.01,-0.124
211,1761120192886,-5.9,-111.58,-166.25,807,778,812,836,867,50.0,0.076,-1.009,-0.125
232,1761120192907,-5.9,-111.57,-166.28,809,777,812,826,864,47.61904761904762,0.075,-1.009,-0.126
253,1761120192928,-5.89,-111.57,-166.29,809,774,801,840,868,47.61904761904762,0.076,-1.01,-0.126
273,1761120192948,-5.88,-111.55,-166.31,805,775,802,837,867,50.0,0.076,-1.01,-0.125
303,1761120192978,-5.91,-111.64,-166.37,810,774,812,831,864,33.333333333333336,0.076,-1.009,-0.124
323,1761120192998,-5.92,-111.6,-166.42,810,772,810,833,858,50.0,0.076,-1.009,-0.124
344,1761120193019,-5.93,-111.58,-166.47,806,770,808,834,867,47.61904761904762,0.075,-1.009,-0.124
365,1761120193040,-5.94,-111.56,-166.5,803,776,809,827,863,47.61904761904762,0.075,-1.01,-0.118
385,1761120193060,-5.94,-111.55,-166.53,810,773,807,846,856,50.0,0.076,-1.01,-0.118
406,1761120193081,-5.94,-111.5,-166.58,815,777,807,836,860,47.61904761904762,0.077,-1.008,-0.118
426,1761120193101,-5.95,-111.45,-166.64,810,788,811,826,868,50.0,0.076,-1.008,-0.12
447,1761120193122,-5.95,-111.42,-166.69,810,775,807,836,877,47.61904761904762,0.076,-1.01,-0.121
468,1761120193144,-5.96,-111.42,-166.71,809,772,811,828,868,47.61904761904762,0.076,-1.011,-0.121
489,1761120193164,-5.97,-111.45,-166.71,810,774,803,826,859,47.61904761904762,0.077,-1.011,-0.121
510,1761120193185,-5.97,-111.46,-166.72,807,778,819,838,858,47.61904761904762,0.078,-1.01,-0.12
530,1761120193205,-5.97,-111.44,-166.76,809,775,802,831,864,50.0,0.079,-1.009,-0.12
