timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
0,1761120307636,47.52,19.96,87.61,839,818,798,811,842,33.333333333333336,-0.757,0.378,0.52
30,1761120307666,47.5,19.88,87.57,831,815,806,810,835,33.333333333333336,-0.756,0.379,0.519
59,1761120307696,47.48,19.79,87.53,831,815,797,812,837,34.48275862068966,-0.756,0.379,0.519
89,1761120307726,47.47,19.71,87.47,828,806,798,817,835,33.333333333333336,-0.756,0.379,0.519
109,1761120307747,47.47,19.76,87.44,833,807,804,807,840,50.0,-0.757,0.378,0.52
130,1761120307768,47.49,19.81,87.42,824,816,795,810,845,47.61904761904762,-0.756,0.378,0.521
151,1761120307787,47.51,19.88,87.39,829,815,797,803,842,47.61904761904762,-0.756,0.378,0.521
180,1761120307818,47.52,19.83,87.35,830,810,799,813,843,34.48275862068966,-0.757,0.378,0.52
201,1761120307839,47.52,19.87,87.32,826,819,806,803,840,47.61904761904762,-0.757,0.378,0.519
222,1761120307860,47.51,19.9,87.3,827,812,802,812,840,47.61904761904762,-0.757,0.378,0.518
243,1761120307881,47.5,19.93,87.28,831,816,809,805,843,47.61904761904762,-0.756,0.378,0.519
264,1761120307902,47.5,19.97,87.26,830,810,802,804,844,47.61904761904762,-0.757,0.378,0.52
285,1761120307923,47.51,20.02,87.24,827,806,802,808,831,47.61904761904762,-0.758,0.379,0.52
306,1761120307943,47.51,20.03,87.2,830,808,798,813,841,47.61904761904762,-0.757,0.379,0.52
336,1761120307973,47.52,19.95,87.17,827,813,807,807,833,33.333333333333336,-0.757,0.379,0.52
357,1761120307993,47.52,20.0,87.14,829,821,801,813,837,47.61904761904762,-0.756,0.379,0.519
386,1761120308024,47.51,19.93,87.09,832,818,806,813,839,34.48275862068966,-0.756,0.379,0.52
407,1761120308044,47.51,19.96,87.07,827,808,805,804,844,47.61904761904762,-0.757,0.379,0.519
427,1761120308066,47.5,20.0,87.04,832,823,804,801,837,50.0,-0.756,0.379,0.519
449,1761120308086,47.5,20.03,87.02,829,817,800,813,841,45.45454545454545,-0.756,0.379,0.519
469,1761120308108,47.51,20.07,87.0,828,818,793,811,842,50.0,-0.756,0.38,0.519
491,1761120308129,47.5,20.1,86.97,832,816,804,813,833,45.45454545454545,-0.756,0.381,0.518
520,1761120308159,47.46,19.99,86.91,835,816,800,812,840,34.48275862068966,-0.755,0.381,0.518
541,1761120308179,47.44,20.01,86.87,824,820,806,808,837,47.61904761904762,-0.754,0.38,0.518
571,1761120308209,47.41,19.9,86.81,825,818,803,814,840,33.333333333333336,-0.755,0.379,0.52
