timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
161316,1758096914230,20.93,-85.3,-50.39,776,775,839,834,913,33.333333333333336,-0.356,-0.944,0.077
161345,1758096914231,20.95,-85.29,-50.43,785,766,845,825,900,34.48275862068966,-0.356,-0.941,0.079
161375,1758096914234,20.98,-85.33,-50.48,784,768,839,831,926,33.333333333333336,-0.357,-0.944,0.076
161404,1758096914235,20.94,-85.33,-50.48,784,770,839,840,914,34.48275862068966,-0.356,-0.947,0.074
161434,1758096914237,20.91,-85.34,-50.48,780,771,831,825,895,33.333333333333336,-0.355,-0.944,0.077
161463,1758096914239,20.95,-85.37,-50.49,782,766,851,831,899,34.48275862068966,-0.356,-0.944,0.077
161493,1758096914242,20.95,-85.39,-50.51,781,770,858,839,901,33.333333333333336,-0.356,-0.946,0.074
161523,1758096914243,20.91,-85.36,-50.49,790,781,862,836,899,33.333333333333336,-0.356,-0.947,0.074
161552,1758096914245,20.91,-85.37,-50.48,780,770,849,831,899,34.48275862068966,-0.356,-0.945,0.077
161582,1758096914247,20.95,-85.4,-50.49,780,788,836,837,904,33.333333333333336,-0.356,-0.944,0.077
161611,1758096914250,20.97,-85.41,-50.48,774,776,840,842,900,34.48275862068966,-0.356,-0.946,0.075
161641,1758096914252,20.94,-85.39,-50.47,782,771,848,832,897,33.333333333333336,-0.356,-0.946,0.074
161670,1758096914254,20.91,-85.4,-50.47,784,782,842,833,901,34.48275862068966,-0.356,-0.944,0.075
161700,1758096914256,20.93,-85.4,-50.49,783,769,838,845,894,33.333333333333336,-0.355,-0.943,0.075
161729,1758096914258,20.92,-85.41,-50.5,777,777,847,819,899,34.48275862068966,-0.356,-0.945,0.074
161759,1758096914260,20.91,-85.39,-50.49,776,777,842,837,901,33.333333333333336,-0.357,-0.945,0.076
161789,1758096914262,20.95,-85.39,-50.5,779,780,845,840,898,33.333333333333336,-0.356,-0.944,0.076
161818,1758096914264,20.97,-85.4,-50.53,778,762,852,838,900,34.48275862068966,-0.356,-0.943,0.074
161847,1758096914266,20.93,-85.4,-50.55,781,780,839,840,899,34.48275862068966,-0.356,-0.944,0.074
161877,1758096914268,20.93,-85.43,-50.59,779,777,854,840,898,33.333333333333336,-0.356,-0.944,0.075
161906,1758096914271,20.94,-85.42,-50.59,779,776,846,827,904,34.48275862068966,-0.356,-0.946,0.075
