timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
163083,1758097813703,-11.23,-77.63,-83.13,838,781,778,819,850,33.333333333333336,0.209,-0.975,0.202
163113,1758097813705,-11.26,-77.62,-83.13,848,774,778,812,846,33.333333333333336,0.209,-0.973,0.203
163142,1758097813707,-11.25,-77.65,-83.16,848,777,775,839,851,34.48275862068966,0.208,-0.971,0.205
163172,1758097813709,-11.26,-77.68,-83.17,850,773,787,815,845,33.333333333333336,0.207,-0.973,0.203
163201,1758097813711,-11.28,-77.68,-83.16,850,782,778,810,845,34.48275862068966,0.208,-0.974,0.203
163231,1758097813712,-11.28,-77.68,-83.18,850,765,784,811,845,33.333333333333336,0.21,-0.972,0.203
163260,1758097813715,-11.29,-77.71,-83.22,844,760,778,807,844,34.48275862068966,0.21,-0.973,0.202
163290,1758097813717,-11.29,-77.7,-83.24,846,772,784,812,843,33.333333333333336,0.209,-0.973,0.204
163320,1758097813719,-11.27,-77.66,-83.24,844,773,784,815,853,33.333333333333336,0.209,-0.973,0.204
163349,1758097813720,-11.29,-77.66,-83.25,845,773,786,805,849,34.48275862068966,0.209,-0.973,0.201
163379,1758097813722,-11.32,-77.66,-83.28,844,780,778,819,848,33.333333333333336,0.21,-0.973,0.203
163408,1758097813725,-11.29,-77.66,-83.31,848,790,791,813,847,34.48275862068966,0.21,-0.972,0.204
163438,1758097813727,-11.28,-77.67,-83.31,847,778,783,802,844,33.333333333333336,0.209,-0.974,0.202
163467,1758097813729,-11.3,-77.68,-83.33,847,777,782,816,849,34.48275862068966,0.21,-0.973,0.202
163487,1758097813731,-11.3,-77.7,-83.35,847,768,786,808,849,50.0,0.21,-0.972,0.203
163517,1758097813732,-11.3,-77.71,-83.37,847,777,777,810,846,33.333333333333336,0.21,-0.974,0.201
163546,1758097813735,-11.32,-77.69,-83.37,846,765,788,811,848,34.48275862068966,0.209,-0.973,0.203
163576,1758097813737,-11.33,-77.66,-83.39,850,768,779,813,851,33.333333333333336,0.209,-0.972,0.203
163605,1758097813739,-11.31,-77.67,-83.41,844,774,789,815,847,34.48275862068966,0.209,-0.973,0.203
163635,1758097813741,-11.32,-77.66,-83.42,850,776,785,813,849,33.333333333333336,0.21,-0.973,0.202
163665,1758097813743,-11.33,-77.65,-83.43,851,769,780,813,847,33.333333333333336,0.21,-0.972,0.203
163694,1758097813745,-11.32,-77.63,-83.45,848,779,776,811,840,34.48275862068966,0.211,-0.973,0.203
163714,1758097813747,-11.33,-77.61,-83.46,848,776,785,806,844,50.0,0.211,-0.973,0.202
163744,1758097813749,-11.34,-77.57,-83.48,842,766,778,815,853,33.333333333333336,0.21,-0.973,0.203
163773,1758097813751,-11.34,-77.58,-83.49,849,766,779,815,845,34.48275862068966,0.21,-0.972,0.203
163794,1758097813753,-11.34,-77.62,-83.51,848,778,775,814,849,47.61904761904762,0.211,-0.972,0.203
163823,1758097813755,-11.35,-77.62,-83.52,845,778,780,815,849,34.48275862068966,0.211,-0.972,0.203
163853,1758097813757,-11.34,-77.58,-83.55,851,771,773,819,839,33.333333333333336,0.21,-0.973,0.204
163882,1758097813758,-11.34,-77.55,-83.56,842,775,774,815,852,34.48275862068966,0.21,-0.971,0.203
163912,1758097813760,-11.34,-77.59,-83.56,852,768,777,807,851,33.333333333333336,0.211,-0.972,0.204
163941,1758097813762,-11.35,-77.58,-83.58,848,774,772,815,848,34.48275862068966,0.211,-0.972,0.203
163971,1758097813764,-11.35,-77.55,-83.59,841,782,776,811,849,33.333333333333336,0.211,-0.972,0.204
164000,1758097813766,-11.35,-77.54,-83.6,849,774,777,812,848,34.48275862068966,0.211,-0.972,0.204
164030,1758097813769,-11.37,-77.59,-83.62,850,778,792,815,846,33.333333333333336,0.212,-0.973,0.204
164059,1758097813771,-11.37,-77.57,-83.63,854,774,780,814,850,34.48275862068966,0.212,-0.975,0.205
164089,1758097813774,-11.38,-77.52,-83.64,839,772,780,818,848,33.333333333333336,0.212,-0.974,0.205
164118,1758097813775,-11.36,-77.52,-83.66,858,780,784,817,848,34.48275862068966,0.212,-0.975,0.204
164148,1758097813777,-11.38,-77.45,-83.66,848,775,775,817,841,33.333333333333336,0.211,-0.974,0.206
164177,1758097813779,-11.37,-77.42,-83.66,841,771,783,814,839,34.48275862068966,0.212,-0.973,0.207
164207,1758097813781,-11.37,-77.41,-83.67,846,783,768,800,842,33.333333333333336,0.212,-0.973,0.206
164236,1758097813784,-11.38,-77.43,-83.68,853,770,779,814,849,34.48275862068966,0.211,-0.972,0.206
164266,1758097813786,-11.38,-77.44,-83.7,846,766,777,807,850,33.333333333333336,0.211,-0.972,0.208
164295,1758097813788,-11.38,-77.43,-83.71,848,763,779,816,848,34.48275862068966,0.211,-0.972,0.208
164315,1758097813790,-11.38,-77.43,-83.73,847,772,773,815,851,50.0,0.211,-0.971,0.208
164345,1758097813792,-11.38,-77.44,-83.75,851,771,790,808,847,33.333333333333336,0.21,-0.972,0.208
164374,1758097813794,-11.4,-77.42,-83.75,846,779,784,812,843,34.48275862068966,0.211,-0.972,0.207
164404,1758097813796,-11.39,-77.39,-83.78,844,761,774,803,848,33.333333333333336,0.211,-0.972,0.208
164433,1758097813798,-11.4,-77.41,-83.79,847,779,775,818,851,34.48275862068966,0.211,-0.973,0.208
164462,1758097813800,-11.4,-77.42,-83.8,851,768,779,819,848,34.48275862068966,0.211,-0.972,0.209
164492,1758097813802,-11.4,-77.4,-83.81,847,778,782,810,848,33.333333333333336,0.211,-0.972,0.208
164522,1758097813804,-11.4,-77.35,-83.83,846,768,779,811,847,33.333333333333336,0.212,-0.971,0.208
164551,1758097813806,-11.41,-77.33,-83.85,853,782,762,813,852,34.48275862068966,0.212,-0.971,0.208
164581,1758097813809,-11.43,-77.3,-83.86,847,766,784,814,845,33.333333333333336,0.213,-0.972,0.209
164610,1758097813810,-11.45,-77.24,-83.88,858,768,779,803,848,34.48275862068966,0.213,-0.971,0.21
164640,1758097813813,-11.43,-77.21,-83.92,840,783,785,814,848,33.333333333333336,0.213,-0.972,0.21
164669,1758097813815,-11.36,-77.33,-83.93,847,772,785,810,848,34.48275862068966,0.213,-0.969,0.21
164699,1758097813817,-11.34,-77.31,-84.02,840,773,777,809,845,33.333333333333336,0.212,-0.968,0.21
164728,1758097813819,-11.46,-77.22,-84.16,848,776,781,794,837,34.48275862068966,0.212,-0.969,0.207
164758,1758097813821,-11.45,-77.28,-84.19,845,778,788,812,850,33.333333333333336,0.215,-0.972,0.213
164787,1758097813823,-11.32,-77.28,-84.33,843,777,781,805,838,34.48275862068966,0.216,-0.969,0.215
164817,1758097813826,-11.16,-77.08,-84.51,844,767,786,797,845,33.333333333333336,0.215,-0.971,0.212
164847,1758097813829,-11.07,-76.93,-84.64,850,781,788,810,849,33.333333333333336,0.215,-0.969,0.215
164876,1758097813830,-11.05,-77.03,-84.74,848,773,784,805,844,34.48275862068966,0.217,-0.966,0.213
164906,1758097813832,-11.0,-77.1,-84.81,844,769,784,799,846,33.333333333333336,0.217,-0.972,0.216
164936,1758097813834,-11.06,-76.9,-84.97,844,772,774,801,850,33.333333333333336,0.22,-0.968,0.218
164965,1758097813836,-11.0,-76.8,-85.05,840,773,793,800,839,34.48275862068966,0.222,-0.968,0.216
164995,1758097813838,-11.1,-76.91,-85.13,841,773,786,787,869,33.333333333333336,0.223,-0.968,0.21
165025,1758097813841,-11.3,-77.01,-85.17,840,772,779,803,844,33.333333333333336,0.222,-0.966,0.211
165054,1758097813842,-11.57,-77.19,-85.18,845,773,789,800,838,34.48275862068966,0.224,-0.967,0.214
165074,1758097813845,-11.66,-77.31,-85.15,838,778,782,801,845,50.0,0.225,-0.966,0.219
165104,1758097813847,-11.69,-77.31,-85.2,843,778,780,797,838,33.333333333333336,0.228,-0.967,0.22
165133,1758097813849,-11.78,-77.27,-85.31,840,766,773,797,838,34.48275862068966,0.232,-0.964,0.216
165163,1758097813851,-11.72,-77.29,-85.43,845,773,773,804,844,33.333333333333336,0.235,-0.963,0.223
165192,1758097813853,-11.63,-77.24,-85.74,845,776,772,817,841,34.48275862068966,0.236,-0.959,0.219
165222,1758097813855,-11.74,-77.26,-85.94,839,777,783,810,849,33.333333333333336,0.232,-0.966,0.212
165252,1758097813857,-11.87,-77.43,-85.89,843,767,779,808,854,33.333333333333336,0.233,-0.967,0.212
165281,1758097813859,-11.9,-77.56,-85.88,844,776,781,801,842,34.48275862068966,0.233,-0.963,0.212
165311,1758097813861,-12.0,-77.43,-85.94,848,781,790,807,858,33.333333333333336,0.235,-0.962,0.209
165340,1758097813864,-12.06,-77.16,-85.91,834,786,791,818,855,34.48275862068966,0.236,-0.964,0.211
165369,1758097813866,-12.04,-77.08,-85.85,841,776,785,824,851,34.48275862068966,0.24,-0.962,0.213
