timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
159323,1758101883394,8.42,-87.89,-43.22,782,778,781,793,894,33.333333333333336,-0.143,-1.004,0.04
159352,1758101883397,8.41,-87.9,-43.21,785,784,778,789,896,34.48275862068966,-0.143,-1.003,0.038
159382,1758101883399,8.43,-88.0,-43.22,786,786,778,798,886,33.333333333333336,-0.143,-1.005,0.037
159411,1758101883401,8.42,-87.96,-43.23,785,785,781,797,894,34.48275862068966,-0.143,-1.004,0.038
159441,1758101883403,8.41,-87.91,-43.24,789,795,790,780,891,33.333333333333336,-0.143,-1.004,0.039
159470,1758101883405,8.39,-87.94,-43.26,778,789,778,799,886,34.48275862068966,-0.143,-1.004,0.037
159500,1758101883407,8.37,-87.99,-43.28,782,784,788,801,886,33.333333333333336,-0.143,-1.004,0.039
159529,1758101883409,8.4,-87.98,-43.27,786,787,767,792,886,34.48275862068966,-0.142,-1.005,0.041
159549,1758101883411,8.41,-87.98,-43.26,786,774,785,794,911,50.0,-0.142,-1.005,0.038
159579,1758101883413,8.41,-88.04,-43.24,786,782,788,790,891,33.333333333333336,-0.142,-1.005,0.038
159608,1758101883415,8.4,-88.03,-43.25,783,783,786,800,889,34.48275862068966,-0.142,-1.005,0.039
159638,1758101883417,8.4,-87.99,-43.22,785,785,790,794,892,33.333333333333336,-0.142,-1.005,0.037
159668,1758101883419,8.38,-87.99,-43.2,785,782,787,791,892,33.333333333333336,-0.143,-1.004,0.037
159697,1758101883421,8.37,-87.99,-43.21,794,790,786,798,917,34.48275862068966,-0.143,-1.004,0.041
159726,1758101883423,8.4,-87.97,-43.21,773,784,780,788,887,34.48275862068966,-0.143,-1.005,0.039
159756,1758101883426,8.4,-87.94,-43.21,785,776,779,790,895,33.333333333333336,-0.143,-1.005,0.038
159785,1758101883428,8.36,-87.91,-43.22,785,785,788,806,893,34.48275862068966,-0.143,-1.002,0.039
159815,1758101883430,8.33,-87.91,-43.26,781,780,787,793,896,33.333333333333336,-0.144,-1.003,0.037
159844,1758101883432,8.3,-87.86,-43.32,785,784,780,802,895,34.48275862068966,-0.143,-1.005,0.038
159874,1758101883434,8.26,-87.81,-43.33,789,789,776,801,893,33.333333333333336,-0.142,-1.004,0.041
159903,1758101883436,8.7,-87.81,-43.32,785,790,791,788,895,34.48275862068966,-0.142,-1.006,0.043
159933,1758101883438,8.72,-87.82,-43.29,780,785,777,803,897,33.333333333333336,-0.143,-1.005,0.042
159962,1758101883440,8.76,-87.9,-43.31,780,776,782,793,889,34.48275862068966,-0.143,-1.004,0.041
159992,1758101883442,8.78,-87.94,-43.31,782,773,786,788,894,33.333333333333336,-0.142,-1.005,0.04
160021,1758101883444,8.76,-87.9,-43.3,783,789,776,801,895,34.48275862068966,-0.142,-1.005,0.038
160051,1758101883446,8.73,-87.86,-43.32,784,775,784,795,932,33.333333333333336,-0.142,-1.003,0.04
160081,1758101883448,8.73,-87.89,-43.32,790,784,786,790,895,33.333333333333336,-0.142,-1.005,0.041
160110,1758101883450,8.76,-87.96,-43.3,786,780,777,794,895,34.48275862068966,-0.142,-1.005,0.041
160140,1758101883452,8.78,-87.94,-43.29,783,789,774,794,895,33.333333333333336,-0.141,-1.005,0.041
160170,1758101883454,8.76,-87.91,-43.27,787,788,785,792,891,33.333333333333336,-0.142,-1.005,0.038
160199,1758101883456,8.74,-87.95,-43.26,790,784,789,798,891,34.48275862068966,-0.143,-1.004,0.039
160229,1758101883458,8.74,-87.97,-43.29,785,782,784,804,890,33.333333333333336,-0.143,-1.003,0.039
160258,1758101883460,8.74,-87.96,-43.32,776,786,785,789,892,34.48275862068966,-0.143,-1.005,0.039
160278,1758101883462,8.74,-87.96,-43.33,784,784,782,788,893,50.0,-0.142,-1.004,0.039
160308,1758101883464,8.73,-87.97,-43.33,789,781,789,791,895,33.333333333333336,-0.142,-1.004,0.038
160337,1758101883466,8.71,-87.95,-43.31,786,777,784,792,893,34.48275862068966,-0.142,-1.006,0.038
160367,1758101883468,8.66,-87.86,-43.35,781,791,781,802,897,33.333333333333336,-0.143,-1.003,0.039
160396,1758101883470,8.6,-87.78,-43.4,785,788,782,795,894,34.48275862068966,-0.143,-1.004,0.039
160426,1758101883472,8.57,-87.73,-43.39,791,789,789,793,895,33.333333333333336,-0.142,-1.006,0.039
160455,1758101883474,8.6,-87.78,-43.33,779,790,784,797,892,34.48275862068966,-0.142,-1.005,0.041
160485,1758101883476,8.64,-87.87,-43.31,790,778,784,815,892,33.333333333333336,-0.143,-1.005,0.042
160514,1758101883478,8.67,-87.97,-43.3,794,779,785,795,888,34.48275862068966,-0.143,-1.006,0.04
160534,1758101883480,8.67,-87.99,-43.28,781,792,785,801,884,50.0,-0.142,-1.005,0.038
160564,1758101883482,8.65,-87.96,-43.3,785,774,777,798,893,33.333333333333336,-0.142,-1.003,0.041
160593,1758101883484,8.65,-87.96,-43.31,779,788,788,792,890,34.48275862068966,-0.142,-1.005,0.041
160623,1758101883486,8.63,-87.96,-43.3,773,780,783,793,894,33.333333333333336,-0.142,-1.005,0.035
160653,1758101883488,8.62,-87.92,-43.3,783,785,776,794,896,33.333333333333336,-0.142,-1.002,0.038
160682,1758101883490,8.65,-87.92,-43.3,782,777,779,795,893,34.48275862068966,-0.142,-1.003,0.038
160712,1758101883492,8.65,-87.89,-43.29,784,778,780,793,893,33.333333333333336,-0.142,-1.004,0.036
160741,1758101883493,8.62,-87.88,-43.3,787,793,775,795,891,34.48275862068966,-0.143,-1.004,0.036
160771,1758101883496,8.61,-87.87,-43.32,777,782,779,799,893,33.333333333333336,-0.143,-1.003,0.038
160800,1758101883498,8.6,-87.86,-43.35,784,776,780,798,876,34.48275862068966,-0.143,-1.004,0.039
160830,1758101883500,8.59,-87.9,-43.37,778,788,783,796,893,33.333333333333336,-0.143,-1.004,0.037
160860,1758101883502,8.59,-87.94,-43.36,779,792,782,792,889,33.333333333333336,-0.142,-1.005,0.037
160889,1758101883504,8.59,-87.95,-43.33,787,777,782,811,897,34.48275862068966,-0.142,-1.004,0.036
160918,1758101883506,8.58,-87.96,-43.35,793,784,788,798,892,34.48275862068966,-0.142,-1.004,0.038
160948,1758101883508,8.6,-87.95,-43.37,782,782,789,796,884,33.333333333333336,-0.142,-1.003,0.039
160978,1758101883510,8.59,-87.89,-43.39,785,787,790,800,886,33.333333333333336,-0.142,-1.004,0.037
