timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
28456,1758102043610,51.37,14.31,7.89,791,843,810,844,857,33.333333333333336,-0.774,0.152,0.608
28486,1758102043612,51.32,14.3,7.87,788,843,800,857,875,33.333333333333336,-0.773,0.152,0.608
28515,1758102043614,51.31,14.3,7.85,784,839,804,842,874,34.48275862068966,-0.774,0.151,0.612
28545,1758102043616,51.32,14.35,7.86,785,854,814,862,869,33.333333333333336,-0.774,0.151,0.611
28575,1758102043618,51.3,14.34,7.88,782,850,799,854,867,33.333333333333336,-0.772,0.152,0.61
28595,1758102043621,51.31,14.32,7.88,785,835,815,856,870,50.0,-0.773,0.152,0.611
28625,1758102043622,51.32,14.28,7.9,783,851,795,862,865,33.333333333333336,-0.773,0.151,0.612
28654,1758102043624,51.34,14.29,7.92,786,838,811,845,866,34.48275862068966,-0.773,0.15,0.611
28684,1758102043626,51.34,14.27,7.95,792,830,813,843,868,33.333333333333336,-0.773,0.15,0.61
28714,1758102043628,51.32,14.29,7.98,785,848,812,849,865,33.333333333333336,-0.772,0.152,0.609
28743,1758102043630,51.33,14.29,8.0,793,849,816,857,873,34.48275862068966,-0.773,0.153,0.611
28773,1758102043632,51.35,14.29,8.0,785,849,793,870,860,33.333333333333336,-0.775,0.154,0.611
28803,1758102043636,51.38,14.3,8.01,787,850,817,852,868,33.333333333333336,-0.773,0.153,0.61
28832,1758102043666,51.35,14.31,8.0,784,840,819,853,868,34.48275862068966,-0.771,0.154,0.61
28862,1758102043696,51.35,14.29,7.99,785,848,811,845,864,33.333333333333336,-0.771,0.153,0.611
28892,1758102043726,51.36,14.29,8.0,787,839,813,858,854,33.333333333333336,-0.772,0.154,0.608
28922,1758102043755,51.35,14.29,8.02,788,830,805,859,867,33.333333333333336,-0.772,0.155,0.608
28951,1758102043785,51.34,14.29,8.04,794,846,808,850,860,34.48275862068966,-0.771,0.154,0.608
28981,1758102043815,51.34,14.27,8.06,788,832,806,855,900,33.333333333333336,-0.772,0.154,0.608
29011,1758102043844,51.34,14.28,8.11,784,832,804,848,870,33.333333333333336,-0.773,0.153,0.609
29040,1758102043874,51.39,14.29,8.13,790,831,818,859,869,34.48275862068966,-0.771,0.156,0.607
29070,1758102043904,51.39,14.26,8.11,790,841,810,856,860,33.333333333333336,-0.772,0.155,0.607
29100,1758102043933,51.38,14.27,8.13,790,843,807,848,870,33.333333333333336,-0.772,0.155,0.607
