timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
108496,1758102340405,52.31,39.07,-0.91,860,786,788,797,804,34.48275862068966,-0.781,0.391,0.474
108525,1758102340407,52.29,39.07,-0.93,856,777,792,796,807,34.48275862068966,-0.781,0.392,0.474
108555,1758102340409,52.31,39.05,-0.95,854,790,797,796,811,33.333333333333336,-0.781,0.392,0.474
108584,1758102340411,52.3,39.06,-0.95,846,781,793,799,814,34.48275862068966,-0.781,0.39,0.474
108614,1758102340413,52.28,39.05,-0.96,861,796,796,797,812,33.333333333333336,-0.781,0.391,0.474
108643,1758102340415,52.27,39.06,-0.96,853,783,784,815,803,34.48275862068966,-0.781,0.392,0.475
108673,1758102340417,52.26,39.05,-0.95,858,786,788,796,809,33.333333333333336,-0.78,0.39,0.475
108702,1758102340419,52.24,39.04,-0.97,849,782,786,802,843,34.48275862068966,-0.78,0.391,0.474
108732,1758102340422,52.21,39.03,-0.99,859,777,786,799,806,33.333333333333336,-0.78,0.391,0.475
108761,1758102340424,52.2,39.02,-0.99,854,781,787,802,803,34.48275862068966,-0.78,0.39,0.475
108791,1758102340426,52.19,39.01,-0.99,851,770,789,798,809,33.333333333333336,-0.78,0.39,0.476
108820,1758102340429,52.14,39.01,-1.02,852,785,785,793,797,34.48275862068966,-0.779,0.391,0.474
108850,1758102340431,52.09,39.01,-1.05,854,782,786,801,802,33.333333333333336,-0.779,0.391,0.476
108879,1758102340432,52.06,39.01,-1.05,857,783,786,800,805,34.48275862068966,-0.781,0.389,0.478
108909,1758102340435,52.05,39.02,-1.04,850,792,794,795,796,33.333333333333336,-0.781,0.389,0.477
108938,1758102340437,52.01,39.0,-1.06,865,778,794,803,811,34.48275862068966,-0.78,0.389,0.478
108967,1758102340443,52.0,38.99,-1.06,854,787,798,795,809,34.48275862068966,-0.78,0.388,0.479
108997,1758102340473,51.99,38.99,-1.05,847,774,787,785,810,33.333333333333336,-0.779,0.388,0.479
109026,1758102340502,51.98,38.98,-1.06,850,778,792,806,812,34.48275862068966,-0.779,0.388,0.478
109056,1758102340531,51.97,38.98,-1.06,852,784,786,791,809,33.333333333333336,-0.779,0.39,0.477
109085,1758102340561,51.96,38.95,-1.09,847,773,779,804,812,34.48275862068966,-0.778,0.389,0.477
109115,1758102340590,51.94,38.93,-1.1,849,787,784,801,810,33.333333333333336,-0.779,0.388,0.477
109144,1758102340620,51.9,38.91,-1.11,849,778,796,787,799,34.48275862068966,-0.779,0.388,0.476
109173,1758102340649,51.87,38.87,-1.12,862,784,790,792,804,34.48275862068966,-0.778,0.388,0.479
109203,1758102340679,51.86,38.86,-1.11,853,782,791,795,812,33.333333333333336,-0.778,0.388,0.48
109232,1758102340708,51.85,38.85,-1.11,850,777,791,794,803,34.48275862068966,-0.778,0.387,0.48
109262,1758102340737,51.84,38.82,-1.11,858,774,793,801,797,33.333333333333336,-0.778,0.388,0.48
109291,1758102340767,51.83,38.79,-1.12,843,782,789,801,804,34.48275862068966,-0.777,0.389,0.481
109321,1758102340797,51.83,38.74,-1.14,850,781,793,806,802,33.333333333333336,-0.777,0.388,0.482
109350,1758102340826,51.83,38.73,-1.13,850,794,797,797,798,34.48275862068966,-0.777,0.387,0.483
109380,1758102340856,51.83,38.73,-1.13,853,785,791,798,807,33.333333333333336,-0.777,0.388,0.482
109409,1758102340885,51.82,38.69,-1.15,851,772,786,798,813,34.48275862068966,-0.777,0.387,0.482
109439,1758102340914,51.81,38.67,-1.15,849,784,785,797,804,33.333333333333336,-0.778,0.387,0.482
109468,1758102340944,51.81,38.69,-1.13,846,770,784,793,794,34.48275862068966,-0.778,0.387,0.483
109498,1758102340973,51.79,38.66,-1.13,846,780,781,803,806,33.333333333333336,-0.777,0.386,0.483
109527,1758102341003,51.77,38.64,-1.14,855,783,790,801,807,34.48275862068966,-0.776,0.387,0.482
109556,1758102341032,51.79,38.59,-1.13,845,784,786,793,822,34.48275862068966,-0.777,0.386,0.484
109586,1758102341061,51.79,38.6,-1.11,844,775,793,801,801,33.333333333333336,-0.777,0.386,0.483
109615,1758102341091,51.77,38.59,-1.11,844,776,795,797,813,34.48275862068966,-0.776,0.385,0.483
109644,1758102341120,51.77,38.59,-1.09,851,781,788,795,800,34.48275862068966,-0.778,0.386,0.485
109674,1758102341149,51.76,38.58,-1.08,851,777,787,790,813,33.333333333333336,-0.776,0.387,0.484
109703,1758102341179,51.76,38.58,-1.09,844,773,786,790,812,34.48275862068966,-0.776,0.388,0.485
109733,1758102341209,51.77,38.58,-1.07,851,776,779,794,803,33.333333333333336,-0.777,0.386,0.485
109762,1758102341238,51.76,38.6,-1.04,855,776,794,797,805,34.48275862068966,-0.776,0.387,0.484
109792,1758102341268,51.76,38.59,-1.04,852,782,796,791,816,33.333333333333336,-0.775,0.388,0.484
109821,1758102341297,51.76,38.61,-1.03,847,785,794,799,804,34.48275862068966,-0.776,0.389,0.484
109851,1758102341327,51.76,38.59,-1.04,857,788,789,798,807,33.333333333333336,-0.775,0.389,0.483
109880,1758102341356,51.74,38.56,-1.06,851,784,777,801,805,34.48275862068966,-0.776,0.388,0.485
109910,1758102341386,51.75,38.57,-1.04,845,778,794,803,799,33.333333333333336,-0.776,0.388,0.484
109940,1758102341416,51.73,38.54,-1.04,852,775,790,796,813,33.333333333333336,-0.776,0.388,0.483
109969,1758102341445,51.71,38.51,-1.05,854,782,784,795,804,34.48275862068966,-0.776,0.388,0.485
109999,1758102341474,51.73,38.49,-1.04,849,785,780,792,809,33.333333333333336,-0.777,0.387,0.487
110028,1758102341504,51.72,38.47,-1.05,844,792,792,801,804,34.48275862068966,-0.775,0.388,0.483
110057,1758102341533,51.7,38.46,-1.05,852,776,794,797,804,34.48275862068966,-0.775,0.388,0.484
110087,1758102341563,51.7,38.45,-1.04,842,779,793,795,793,33.333333333333336,-0.775,0.388,0.486
110116,1758102341592,51.7,38.49,-1.01,843,777,782,794,805,34.48275862068966,-0.775,0.389,0.485
110146,1758102341621,51.72,38.49,-1.01,849,785,791,800,808,33.333333333333336,-0.775,0.389,0.485
110175,1758102341651,51.71,38.47,-1.02,845,786,785,803,808,34.48275862068966,-0.775,0.389,0.485
110205,1758102341681,51.69,38.46,-1.03,844,796,793,801,808,33.333333333333336,-0.775,0.388,0.484
110234,1758102341710,51.68,38.46,-1.03,848,783,784,794,801,34.48275862068966,-0.776,0.388,0.486
110264,1758102341740,51.69,38.48,-1.02,847,784,786,792,813,33.333333333333336,-0.775,0.388,0.485
110293,1758102341769,51.69,38.46,-1.02,841,774,787,792,802,34.48275862068966,-0.774,0.389,0.485
110323,1758102341799,51.71,38.46,-1.01,842,784,779,798,809,33.333333333333336,-0.775,0.389,0.485
110352,1758102341828,51.69,38.47,-1.01,839,782,792,791,810,34.48275862068966,-0.775,0.388,0.485
110382,1758102341857,51.65,38.44,-1.03,854,788,790,796,803,33.333333333333336,-0.775,0.389,0.484
110411,1758102341887,51.65,38.46,-1.02,843,794,786,783,814,34.48275862068966,-0.775,0.388,0.485
110441,1758102341917,51.64,38.48,-1.01,846,766,788,794,806,33.333333333333336,-0.774,0.388,0.486
110470,1758102341946,51.63,38.5,-1.01,844,778,782,791,803,34.48275862068966,-0.774,0.39,0.485
