timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
61778,1758103897388,-11.71,-51.7,1.65,830,783,793,848,927,33.333333333333336,0.22,-0.778,0.617
61807,1758103897389,-11.72,-51.68,1.66,822,786,777,854,932,34.48275862068966,0.221,-0.775,0.616
61837,1758103897391,-11.73,-51.68,1.67,825,782,784,858,928,33.333333333333336,0.22,-0.773,0.615
61866,1758103897394,-11.75,-51.72,1.66,833,771,789,846,939,34.48275862068966,0.221,-0.773,0.614
61896,1758103897395,-11.78,-51.78,1.66,825,781,785,846,938,33.333333333333336,0.222,-0.773,0.615
61926,1758103897397,-11.79,-51.82,1.67,830,784,783,867,932,33.333333333333336,0.221,-0.774,0.615
61955,1758103897399,-11.79,-51.81,1.67,828,782,783,852,939,34.48275862068966,0.222,-0.775,0.616
61984,1758103897402,-11.77,-51.83,1.67,830,784,780,850,931,34.48275862068966,0.222,-0.776,0.616
62014,1758103897403,-11.77,-51.86,1.7,829,787,783,860,930,33.333333333333336,0.223,-0.776,0.614
62044,1758103897406,-11.79,-51.86,1.72,844,773,781,864,925,33.333333333333336,0.222,-0.776,0.613
62073,1758103897408,-11.79,-51.83,1.73,841,774,793,852,936,34.48275862068966,0.22,-0.777,0.615
62103,1758103897409,-11.8,-51.77,1.74,838,784,783,851,934,33.333333333333336,0.219,-0.776,0.614
62133,1758103897412,-11.8,-51.71,1.75,833,786,788,855,931,33.333333333333336,0.22,-0.776,0.615
62162,1758103897414,-11.79,-51.71,1.79,836,785,785,847,929,34.48275862068966,0.221,-0.775,0.615
62192,1758103897415,-11.78,-51.7,1.82,835,785,770,858,925,33.333333333333336,0.221,-0.775,0.615
62221,1758103897418,-11.78,-51.72,1.83,838,783,791,864,924,34.48275862068966,0.221,-0.774,0.616
62251,1758103897419,-11.78,-51.74,1.83,843,777,788,865,932,33.333333333333336,0.22,-0.772,0.615
62271,1758103897422,-11.78,-51.77,1.84,832,787,779,851,929,50.0,0.219,-0.775,0.615
62300,1758103897445,-11.75,-51.75,1.87,837,780,786,860,931,34.48275862068966,0.22,-0.775,0.615
62330,1758103897475,-11.8,-51.78,1.85,840,782,780,851,933,33.333333333333336,0.221,-0.772,0.615
