timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
101998,1758104316666,-11.04,-64.84,-52.73,793,781,782,887,927,33.333333333333336,0.204,-0.898,0.427
102028,1758104316668,-11.06,-64.83,-52.74,797,780,786,907,936,33.333333333333336,0.204,-0.9,0.428
102058,1758104316670,-11.05,-64.83,-52.72,793,780,772,892,936,33.333333333333336,0.206,-0.9,0.428
102087,1758104316672,-11.05,-64.85,-52.72,798,773,787,890,932,34.48275862068966,0.206,-0.9,0.427
102117,1758104316674,-11.05,-64.84,-52.72,792,790,769,917,958,33.333333333333336,0.206,-0.9,0.427
102147,1758104316677,-11.06,-64.81,-52.74,796,781,779,898,949,33.333333333333336,0.205,-0.899,0.426
102177,1758104316679,-11.05,-64.81,-52.73,799,778,783,890,929,33.333333333333336,0.206,-0.9,0.427
102207,1758104316697,-11.05,-64.77,-52.75,796,785,779,892,943,33.333333333333336,0.207,-0.9,0.425
102236,1758104316727,-11.04,-64.75,-52.76,798,782,776,891,933,34.48275862068966,0.207,-0.9,0.426
102266,1758104316757,-11.02,-64.77,-52.76,789,782,778,913,943,33.333333333333336,0.208,-0.901,0.427
102296,1758104316787,-11.0,-64.75,-52.76,801,774,780,900,939,33.333333333333336,0.207,-0.898,0.426
102316,1758104316807,-11.0,-64.72,-52.77,789,781,780,907,929,50.0,0.206,-0.896,0.426
102337,1758104316827,-11.01,-64.73,-52.78,792,779,779,909,939,47.61904761904762,0.206,-0.898,0.425
102366,1758104316857,-11.02,-64.7,-52.76,798,780,772,893,940,34.48275862068966,0.206,-0.899,0.426
102396,1758104316887,-11.03,-64.69,-52.75,793,782,772,901,938,33.333333333333336,0.206,-0.898,0.426
102426,1758104316917,-11.02,-64.66,-52.74,794,779,774,924,940,33.333333333333336,0.205,-0.897,0.427
102456,1758104316946,-11.03,-64.66,-52.75,796,779,780,916,937,33.333333333333336,0.206,-0.898,0.426
102485,1758104316976,-11.05,-64.69,-52.76,798,774,770,893,937,34.48275862068966,0.207,-0.899,0.427
102515,1758104317006,-11.05,-64.68,-52.76,801,781,783,918,931,33.333333333333336,0.206,-0.899,0.427
102545,1758104317036,-11.06,-64.66,-52.75,794,779,778,902,940,33.333333333333336,0.206,-0.899,0.426
102575,1758104317066,-11.06,-64.66,-52.75,798,777,772,886,933,33.333333333333336,0.206,-0.898,0.426
102605,1758104317095,-11.07,-64.69,-52.76,793,784,788,885,972,33.333333333333336,0.207,-0.898,0.427
102634,1758104317125,-11.06,-64.67,-52.76,794,780,773,906,937,34.48275862068966,0.207,-0.899,0.428
102664,1758104317155,-11.08,-64.68,-52.76,800,779,780,893,928,33.333333333333336,0.207,-0.898,0.424
102694,1758104317185,-11.08,-64.66,-52.76,808,777,778,921,938,33.333333333333336,0.207,-0.9,0.427
