timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
103732,1758104507181,-9.33,-51.64,-36.46,789,773,773,787,923,33.333333333333336,0.168,-0.781,0.624
103761,1758104507183,-9.37,-51.65,-36.5,778,782,781,778,931,34.48275862068966,0.168,-0.781,0.623
103791,1758104507184,-9.42,-51.64,-36.51,783,786,768,784,957,33.333333333333336,0.168,-0.783,0.623
103820,1758104507186,-9.43,-51.63,-36.49,790,786,780,784,955,34.48275862068966,0.168,-0.783,0.624
103840,1758104507189,-9.42,-51.64,-36.48,788,785,777,787,945,50.0,0.169,-0.783,0.625
103870,1758104507191,-9.38,-51.66,-36.48,784,785,767,788,945,33.333333333333336,0.169,-0.781,0.624
103899,1758104507193,-9.37,-51.65,-36.47,782,780,780,778,951,34.48275862068966,0.167,-0.783,0.623
103928,1758104507195,-9.39,-51.63,-36.44,789,801,767,787,937,34.48275862068966,0.168,-0.784,0.624
103958,1758104507197,-9.36,-51.65,-36.41,789,784,785,803,926,33.333333333333336,0.168,-0.782,0.625
103988,1758104507199,-9.32,-51.68,-36.41,786,788,771,765,949,33.333333333333336,0.167,-0.782,0.624
104017,1758104507201,-9.35,-51.66,-36.42,790,781,775,784,939,34.48275862068966,0.167,-0.783,0.623
104047,1758104507203,-9.36,-51.66,-36.42,784,781,775,786,952,33.333333333333336,0.167,-0.783,0.623
104076,1758104507205,-9.37,-51.67,-36.4,786,783,774,783,936,34.48275862068966,0.168,-0.782,0.624
104106,1758104507207,-9.37,-51.67,-36.42,789,787,772,781,933,33.333333333333336,0.168,-0.782,0.624
104135,1758104507209,-9.4,-51.67,-36.43,786,787,775,780,943,34.48275862068966,0.168,-0.782,0.625
104165,1758104507212,-9.39,-51.71,-36.44,777,781,785,776,957,33.333333333333336,0.167,-0.782,0.623
104194,1758104507213,-9.38,-51.71,-36.43,790,789,781,785,915,34.48275862068966,0.167,-0.783,0.623
104224,1758104507216,-9.38,-51.69,-36.42,790,779,776,782,949,33.333333333333336,0.168,-0.784,0.624
104253,1758104507218,-9.39,-51.71,-36.42,779,783,768,791,925,34.48275862068966,0.168,-0.782,0.624
104283,1758104507221,-9.4,-51.73,-36.43,788,779,769,784,948,33.333333333333336,0.168,-0.783,0.623
104312,1758104507223,-9.41,-51.71,-36.44,787,784,775,787,951,34.48275862068966,0.168,-0.785,0.623
104342,1758104507225,-9.42,-51.69,-36.42,782,784,771,774,964,33.333333333333336,0.168,-0.785,0.624
104371,1758104507229,-9.41,-51.67,-36.4,782,772,779,781,952,34.48275862068966,0.168,-0.784,0.624
104401,1758104507258,-9.39,-51.69,-36.4,786,783,781,791,946,33.333333333333336,0.168,-0.784,0.624
104430,1758104507288,-9.4,-51.7,-36.42,780,783,781,785,937,34.48275862068966,0.168,-0.786,0.623
104460,1758104507317,-9.42,-51.68,-36.41,784,781,776,786,911,33.333333333333336,0.168,-0.786,0.623
104489,1758104507347,-9.44,-51.68,-36.41,784,796,775,786,956,34.48275862068966,0.168,-0.782,0.624
104519,1758104507376,-9.44,-51.7,-36.42,782,786,780,790,953,33.333333333333336,0.168,-0.784,0.623
104548,1758104507406,-9.44,-51.69,-36.4,786,788,776,786,946,34.48275862068966,0.168,-0.786,0.623
104578,1758104507436,-9.46,-51.64,-36.37,790,777,780,776,952,33.333333333333336,0.167,-0.785,0.623
