timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
139867,1758104733148,-7.96,-54.12,-151.67,791,815,782,802,851,34.48275862068966,0.141,-0.827,0.59
139897,1758104733150,-7.88,-54.08,-151.67,783,815,784,802,837,33.333333333333336,0.147,-0.825,0.587
139926,1758104733152,-7.85,-54.16,-151.65,785,811,782,792,843,34.48275862068966,0.147,-0.824,0.581
139956,1758104733154,-7.82,-54.29,-151.65,784,810,782,801,840,33.333333333333336,0.146,-0.828,0.581
139985,1758104733155,-7.71,-54.41,-151.57,797,816,784,804,844,34.48275862068966,0.147,-0.831,0.579
140015,1758104733158,-7.46,-54.59,-151.47,786,817,780,787,827,33.333333333333336,0.146,-0.831,0.582
140044,1758104733160,-7.16,-54.74,-151.33,790,818,781,802,842,34.48275862068966,0.147,-0.832,0.582
140074,1758104733162,-6.97,-54.81,-151.19,787,813,789,802,841,33.333333333333336,0.145,-0.828,0.576
140103,1758104733164,-6.9,-54.97,-151.09,786,804,791,777,834,34.48275862068966,0.141,-0.825,0.571
140133,1758104733166,-6.85,-54.98,-151.1,784,809,776,796,828,33.333333333333336,0.137,-0.827,0.568
140163,1758104733168,-6.86,-54.95,-151.13,797,811,781,796,836,33.333333333333336,0.136,-0.832,0.566
140192,1758104733170,-6.83,-54.95,-151.12,790,813,787,794,842,34.48275862068966,0.137,-0.836,0.567
140222,1758104733172,-6.78,-54.93,-151.05,789,807,783,798,849,33.333333333333336,0.134,-0.833,0.564
140251,1758104733174,-6.78,-54.85,-151.04,786,811,787,791,837,34.48275862068966,0.132,-0.833,0.564
140281,1758104733175,-6.82,-54.7,-151.09,788,808,781,791,825,33.333333333333336,0.129,-0.833,0.565
140310,1758104733178,-6.88,-54.51,-151.09,792,813,781,793,831,34.48275862068966,0.126,-0.832,0.566
140340,1758104733180,-6.94,-54.41,-151.09,790,809,782,824,842,33.333333333333336,0.125,-0.828,0.567
140370,1758104733182,-7.0,-54.41,-151.08,788,814,774,818,833,33.333333333333336,0.124,-0.824,0.569
140399,1758104733184,-7.04,-54.42,-151.12,786,810,779,798,834,34.48275862068966,0.123,-0.827,0.572
140429,1758104733186,-7.08,-54.43,-151.12,789,805,782,803,833,33.333333333333336,0.122,-0.83,0.572
140459,1758104733188,-7.09,-54.44,-151.1,787,812,785,785,828,33.333333333333336,0.121,-0.828,0.573
140488,1758104733190,-7.1,-54.51,-151.11,787,805,793,788,845,34.48275862068966,0.122,-0.829,0.575
140518,1758104733192,-7.09,-54.57,-151.15,784,811,780,783,835,33.333333333333336,0.124,-0.832,0.572
140547,1758104733194,-7.06,-54.62,-151.13,789,806,785,791,834,34.48275862068966,0.124,-0.832,0.573
140577,1758104733196,-7.05,-54.66,-151.15,785,813,784,787,838,33.333333333333336,0.122,-0.829,0.572
140606,1758104733199,-7.04,-54.68,-151.2,786,806,788,782,837,34.48275862068966,0.121,-0.832,0.571
140636,1758104733201,-7.03,-54.65,-151.22,786,807,775,776,834,33.333333333333336,0.119,-0.833,0.57
140665,1758104733202,-7.01,-54.63,-151.19,785,806,784,793,845,34.48275862068966,0.119,-0.835,0.57
140695,1758104733204,-6.97,-54.58,-151.2,782,815,778,784,832,33.333333333333336,0.119,-0.834,0.572
140725,1758104733206,-6.88,-54.54,-151.24,790,808,782,786,836,33.333333333333336,0.118,-0.831,0.575
140754,1758104733209,-6.8,-54.46,-150.81,789,808,777,788,833,34.48275862068966,0.116,-0.831,0.574
140784,1758104733211,-6.77,-54.35,-150.85,787,814,775,812,837,33.333333333333336,0.118,-0.829,0.572
140813,1758104733213,-6.61,-54.46,-150.85,787,804,785,801,832,34.48275862068966,0.115,-0.829,0.574
140843,1758104733215,-6.32,-54.75,-150.77,790,797,785,778,838,33.333333333333336,0.112,-0.833,0.577
140872,1758104733217,-6.06,-54.94,-150.75,788,807,782,782,838,34.48275862068966,0.111,-0.831,0.574
140901,1758104733219,-5.87,-55.02,-150.77,788,817,781,802,827,34.48275862068966,0.112,-0.823,0.573
140931,1758104733221,-5.72,-55.58,-150.78,787,807,784,798,825,33.333333333333336,0.108,-0.824,0.57
140960,1758104733223,-5.54,-55.94,-150.79,789,813,777,779,843,34.48275862068966,0.104,-0.841,0.573
140990,1758104733225,-5.54,-55.95,-150.82,786,804,783,787,841,33.333333333333336,0.099,-0.836,0.567
141019,1758104733227,-5.61,-55.95,-150.91,785,812,777,797,836,34.48275862068966,0.095,-0.831,0.56
141049,1758104733229,-5.41,-56.12,-150.86,786,816,792,783,834,33.333333333333336,0.095,-0.848,0.562
141079,1758104733231,-5.11,-56.33,-150.71,790,809,777,791,837,33.333333333333336,0.093,-0.851,0.561
141108,1758104733233,-4.93,-56.34,-150.58,787,733,780,802,836,34.48275862068966,0.093,-0.848,0.561
141138,1758104733235,-5.02,-56.35,-150.61,789,772,786,793,834,33.333333333333336,0.091,-0.845,0.552
141167,1758104733237,-5.2,-56.26,-150.71,788,807,779,785,837,34.48275862068966,0.087,-0.851,0.546
141197,1758104733239,-5.43,-56.1,-150.79,782,810,787,786,840,33.333333333333336,0.085,-0.855,0.55
141226,1758104733242,-5.63,-55.96,-150.82,785,735,786,788,833,34.48275862068966,0.085,-0.855,0.552
141256,1758104733244,-5.87,-55.71,-150.85,787,806,785,788,836,33.333333333333336,0.089,-0.85,0.55
141285,1758104733245,-6.02,-55.58,-150.9,781,806,781,784,839,34.48275862068966,0.091,-0.845,0.554
141315,1758104733248,-6.16,-55.59,-150.97,790,811,778,809,828,33.333333333333336,0.091,-0.839,0.555
141345,1758104733249,-6.23,-55.64,-151.08,791,810,788,793,835,33.333333333333336,0.091,-0.84,0.558
141374,1758104733251,-6.27,-55.68,-151.13,786,787,777,806,835,34.48275862068966,0.09,-0.848,0.554
141404,1758104733254,-6.36,-55.64,-151.12,790,767,772,784,837,33.333333333333336,0.092,-0.849,0.552
141434,1758104733256,-6.42,-55.58,-151.09,787,692,785,787,829,33.333333333333336,0.097,-0.848,0.556
141463,1758104733258,-6.41,-55.62,-151.08,788,815,779,779,828,34.48275862068966,0.099,-0.848,0.56
141493,1758104733260,-6.41,-55.65,-151.07,784,788,783,786,833,33.333333333333336,0.099,-0.846,0.556
141522,1758104733262,-6.41,-55.72,-150.98,782,803,782,783,835,34.48275862068966,0.095,-0.847,0.555
141552,1758104733264,-6.35,-55.7,-150.89,785,803,783,799,834,33.333333333333336,0.093,-0.849,0.559
141581,1758104733266,-6.27,-55.64,-150.81,790,795,785,781,833,34.48275862068966,0.092,-0.848,0.558
141611,1758104733268,-6.23,-55.6,-150.74,787,772,780,773,834,33.333333333333336,0.092,-0.844,0.555
141640,1758104733270,-6.14,-55.62,-150.71,782,797,781,800,837,34.48275862068966,0.092,-0.844,0.555
141670,1758104733273,-6.08,-55.59,-150.67,786,776,786,810,834,33.333333333333336,0.091,-0.847,0.556
141699,1758104733275,-6.06,-55.55,-150.65,794,800,787,778,838,34.48275862068966,0.093,-0.845,0.557
141729,1758104733277,-6.08,-55.55,-150.74,787,797,783,779,841,33.333333333333336,0.091,-0.841,0.559
141758,1758104733278,-6.09,-55.53,-150.79,780,786,782,789,837,34.48275862068966,0.09,-0.838,0.558
141788,1758104733280,-6.09,-55.51,-150.81,788,801,782,781,838,33.333333333333336,0.088,-0.841,0.556
141817,1758104733283,-6.07,-55.53,-150.77,783,805,781,779,830,34.48275862068966,0.088,-0.843,0.56
