timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
92083,1758104859696,10.07,-80.5,-39.56,843,786,777,785,928,33.333333333333336,-0.176,-0.986,0.16
92112,1758104859697,10.06,-80.49,-39.56,855,781,777,789,928,34.48275862068966,-0.175,-0.986,0.16
92142,1758104859700,10.08,-80.52,-39.57,852,781,778,787,927,33.333333333333336,-0.175,-0.985,0.161
92171,1758104859701,10.08,-80.55,-39.58,847,778,780,781,925,34.48275862068966,-0.176,-0.987,0.161
92201,1758104859704,10.05,-80.54,-39.58,864,775,780,784,937,33.333333333333336,-0.175,-0.987,0.16
92230,1758104859705,10.05,-80.53,-39.58,862,776,775,781,927,34.48275862068966,-0.176,-0.988,0.16
92260,1758104859708,10.06,-80.54,-39.58,856,783,777,776,923,33.333333333333336,-0.175,-0.987,0.161
92289,1758104859710,10.08,-80.59,-39.57,852,780,778,783,921,34.48275862068966,-0.176,-0.987,0.16
92319,1758104859712,10.07,-80.61,-39.57,857,767,778,792,926,33.333333333333336,-0.176,-0.987,0.159
92348,1758104859714,10.04,-80.58,-39.59,852,783,774,790,929,34.48275862068966,-0.176,-0.986,0.159
92378,1758104859716,10.01,-80.61,-39.62,849,783,772,781,930,33.333333333333336,-0.175,-0.986,0.157
92408,1758104859718,9.98,-80.63,-39.62,847,776,779,793,933,33.333333333333336,-0.175,-0.988,0.157
92437,1758104859720,9.96,-80.65,-39.63,849,777,783,786,928,34.48275862068966,-0.175,-0.986,0.158
92467,1758104859723,9.95,-80.71,-39.64,856,785,788,788,935,33.333333333333336,-0.175,-0.988,0.156
92496,1758104859725,9.93,-80.72,-39.63,851,778,777,795,934,34.48275862068966,-0.175,-0.988,0.157
92526,1758104859727,9.91,-80.71,-39.62,868,777,778,790,931,33.333333333333336,-0.175,-0.986,0.158
92556,1758104859728,9.93,-80.74,-39.63,856,781,775,788,938,33.333333333333336,-0.174,-0.986,0.157
92585,1758104859731,9.96,-80.78,-39.65,856,784,778,787,933,34.48275862068966,-0.174,-0.987,0.156
92615,1758104859733,9.95,-80.77,-39.65,861,777,771,787,926,33.333333333333336,-0.175,-0.988,0.156
92645,1758104859736,9.92,-80.74,-39.64,858,769,775,791,922,33.333333333333336,-0.176,-0.986,0.156
92674,1758104859752,9.91,-80.75,-39.66,851,779,784,783,925,34.48275862068966,-0.175,-0.984,0.155
92704,1758104859781,9.89,-80.78,-39.69,860,785,773,788,935,33.333333333333336,-0.174,-0.986,0.153
92733,1758104859810,9.89,-80.8,-39.7,857,782,779,788,932,34.48275862068966,-0.174,-0.986,0.153
92763,1758104859840,9.88,-80.82,-39.73,865,777,776,787,935,33.333333333333336,-0.174,-0.986,0.152
92792,1758104859870,9.86,-80.82,-39.75,854,776,773,791,942,34.48275862068966,-0.174,-0.986,0.153
