timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
70324,1758105016263,61.92,20.94,1.15,863,922,907,886,924,33.333333333333336,-0.877,0.162,0.446
70353,1758105016264,61.93,20.96,1.15,871,920,904,883,920,34.48275862068966,-0.876,0.163,0.447
70382,1758105016266,61.93,20.97,1.15,864,919,889,891,921,34.48275862068966,-0.877,0.163,0.446
70412,1758105016268,61.92,20.98,1.13,863,916,901,888,923,33.333333333333336,-0.877,0.164,0.445
70441,1758105016270,61.92,20.99,1.12,869,916,913,899,919,34.48275862068966,-0.876,0.164,0.446
70470,1758105016273,61.92,21.01,1.12,871,916,906,887,922,34.48275862068966,-0.876,0.164,0.446
70500,1758105016275,61.9,21.01,1.11,865,925,900,888,918,33.333333333333336,-0.877,0.163,0.445
70529,1758105016277,61.89,20.94,1.04,864,920,902,896,923,34.48275862068966,-0.879,0.16,0.446
70559,1758105016279,61.81,21.02,1.08,860,914,910,886,924,33.333333333333336,-0.874,0.162,0.449
70588,1758105016281,61.9,21.0,1.1,864,918,905,885,931,34.48275862068966,-0.883,0.169,0.448
70618,1758105016283,61.86,21.09,1.09,866,904,901,893,924,33.333333333333336,-0.879,0.163,0.443
70647,1758105016285,61.78,21.01,1.03,866,918,906,896,924,34.48275862068966,-0.88,0.164,0.445
70676,1758105016286,61.78,21.06,1.04,871,902,913,891,926,34.48275862068966,-0.876,0.163,0.446
70706,1758105016289,61.83,21.03,1.02,868,925,896,901,920,33.333333333333336,-0.879,0.162,0.448
70735,1758105016291,61.8,21.06,1.02,865,914,907,895,925,34.48275862068966,-0.88,0.162,0.448
70765,1758105016293,61.82,21.11,1.05,866,917,902,885,915,33.333333333333336,-0.874,0.162,0.447
70794,1758105016294,61.86,21.07,0.99,865,905,907,886,922,34.48275862068966,-0.878,0.165,0.448
70824,1758105016296,61.82,21.12,0.98,866,902,912,892,922,33.333333333333336,-0.877,0.164,0.446
70853,1758105016298,61.8,21.11,0.97,865,915,901,880,929,34.48275862068966,-0.875,0.163,0.447
70882,1758105016300,61.84,21.13,0.94,868,921,907,897,927,34.48275862068966,-0.878,0.162,0.446
70911,1758105016303,61.85,21.16,0.95,871,920,909,896,923,34.48275862068966,-0.876,0.162,0.445
70941,1758105016305,61.83,21.13,0.94,867,906,901,883,918,33.333333333333336,-0.875,0.163,0.445
70970,1758105016307,61.84,21.15,0.9,871,910,917,890,915,34.48275862068966,-0.876,0.164,0.444
70999,1758105016309,61.84,21.16,0.88,867,925,896,895,926,34.48275862068966,-0.876,0.164,0.444
71029,1758105016311,61.81,21.15,0.86,868,920,907,891,917,33.333333333333336,-0.877,0.163,0.445
71058,1758105016313,61.81,21.16,0.85,860,920,895,890,926,34.48275862068966,-0.876,0.162,0.444
71088,1758105016315,61.81,21.16,0.82,872,925,910,894,918,33.333333333333336,-0.875,0.162,0.445
71117,1758105016317,61.82,21.16,0.81,867,916,907,894,928,34.48275862068966,-0.877,0.162,0.445
71146,1758105016319,61.79,21.18,0.82,862,928,901,897,922,34.48275862068966,-0.877,0.161,0.444
71176,1758105016321,61.8,21.17,0.81,866,917,884,888,926,33.333333333333336,-0.877,0.162,0.444
71206,1758105016323,61.81,21.18,0.8,868,925,909,895,917,33.333333333333336,-0.876,0.163,0.445
71236,1758105016325,61.79,21.19,0.82,863,917,898,885,925,33.333333333333336,-0.876,0.163,0.444
71265,1758105016327,61.8,21.19,0.8,865,905,911,901,921,34.48275862068966,-0.877,0.163,0.445
71294,1758105016329,61.8,21.2,0.78,869,917,904,892,924,34.48275862068966,-0.876,0.163,0.445
71324,1758105016331,61.79,21.2,0.78,872,915,904,898,925,33.333333333333336,-0.876,0.163,0.445
71353,1758105016333,61.8,21.2,0.77,880,929,899,896,916,34.48275862068966,-0.877,0.162,0.445
71382,1758105016335,61.78,21.21,0.77,867,919,918,894,915,34.48275862068966,-0.876,0.163,0.445
71412,1758105016337,61.77,21.19,0.76,870,920,908,885,930,33.333333333333336,-0.876,0.162,0.445
71442,1758105016339,61.77,21.2,0.75,869,912,902,888,905,33.333333333333336,-0.876,0.163,0.446
71471,1758105016341,61.79,21.21,0.73,869,914,912,879,931,34.48275862068966,-0.875,0.163,0.445
71500,1758105016343,61.79,21.21,0.71,861,923,906,890,930,34.48275862068966,-0.876,0.163,0.446
71530,1758105016345,61.78,21.22,0.71,860,914,909,886,922,33.333333333333336,-0.876,0.163,0.445
71559,1758105016347,61.79,21.23,0.69,868,911,898,884,922,34.48275862068966,-0.877,0.163,0.445
71588,1758105016349,61.8,21.24,0.68,868,925,903,888,914,34.48275862068966,-0.876,0.163,0.445
71618,1758105016350,61.79,21.23,0.66,859,920,907,897,917,33.333333333333336,-0.876,0.162,0.445
71647,1758105016353,61.79,21.23,0.64,863,924,915,887,921,34.48275862068966,-0.876,0.162,0.445
71676,1758105016355,61.79,21.24,0.63,872,920,923,888,925,34.48275862068966,-0.876,0.162,0.444
71706,1758105016357,61.8,21.25,0.63,870,915,929,887,911,33.333333333333336,-0.876,0.162,0.444
71735,1758105016359,61.79,21.25,0.6,866,916,898,897,929,34.48275862068966,-0.876,0.162,0.445
71765,1758105016361,61.79,21.25,0.58,870,924,908,893,914,33.333333333333336,-0.877,0.162,0.445
71794,1758105016363,61.79,21.25,0.56,869,917,907,898,933,34.48275862068966,-0.877,0.161,0.445
71823,1758105016365,61.79,21.26,0.55,865,912,902,899,918,34.48275862068966,-0.877,0.162,0.444
71853,1758105016367,61.79,21.27,0.55,868,919,907,891,914,33.333333333333336,-0.877,0.161,0.444
71882,1758105016369,61.78,21.27,0.53,866,923,913,886,924,34.48275862068966,-0.876,0.163,0.445
71912,1758105016371,61.78,21.25,0.5,872,911,907,901,919,33.333333333333336,-0.876,0.162,0.445
71941,1758105016373,61.76,21.25,0.47,866,918,909,896,922,34.48275862068966,-0.877,0.161,0.445
71970,1758105016375,61.76,21.24,0.45,870,913,892,889,918,34.48275862068966,-0.876,0.161,0.444
71999,1758105016377,61.78,21.25,0.44,871,914,908,896,915,34.48275862068966,-0.878,0.16,0.445
72029,1758105016379,61.8,21.25,0.44,867,916,915,890,915,33.333333333333336,-0.877,0.159,0.446
72059,1758105016381,61.83,21.24,0.45,867,913,909,891,920,33.333333333333336,-0.878,0.159,0.445
72088,1758105016383,61.84,21.24,0.46,866,921,917,898,926,34.48275862068966,-0.877,0.16,0.443
72117,1758105016385,61.85,21.23,0.46,866,921,908,898,911,34.48275862068966,-0.878,0.16,0.443
72147,1758105016387,61.81,21.21,0.44,864,915,907,892,923,33.333333333333336,-0.878,0.159,0.443
72176,1758105016389,61.75,21.17,0.4,870,923,915,893,943,34.48275862068966,-0.878,0.159,0.443
72205,1758105016391,61.7,21.21,0.37,868,913,901,881,924,34.48275862068966,-0.877,0.159,0.446
72235,1758105016392,61.66,21.22,0.35,867,916,899,890,919,33.333333333333336,-0.875,0.161,0.448
72264,1758105016394,61.63,21.24,0.31,864,916,918,894,924,34.48275862068966,-0.874,0.162,0.45
72293,1758105016395,61.63,21.28,0.27,869,907,896,894,921,34.48275862068966,-0.875,0.163,0.45
72323,1758105016398,61.66,21.32,0.26,865,917,903,885,923,33.333333333333336,-0.876,0.161,0.449
72352,1758105016400,61.68,21.33,0.27,868,925,912,890,912,34.48275862068966,-0.878,0.158,0.446
72382,1758105016402,61.68,21.32,0.27,866,922,907,884,935,33.333333333333336,-0.878,0.158,0.444
72411,1758105016404,61.68,21.29,0.27,866,918,919,892,924,34.48275862068966,-0.876,0.159,0.443
72441,1758105016406,61.68,21.27,0.24,872,912,913,897,921,33.333333333333336,-0.877,0.16,0.445
72470,1758105016408,61.67,21.26,0.23,869,919,908,893,927,34.48275862068966,-0.876,0.16,0.448
72499,1758105016410,61.68,21.27,0.2,869,916,900,912,921,34.48275862068966,-0.875,0.159,0.449
72529,1758105016412,61.7,21.28,0.19,863,923,901,895,917,33.333333333333336,-0.876,0.159,0.449
72558,1758105016414,61.72,21.29,0.17,871,916,904,896,922,34.48275862068966,-0.876,0.16,0.448
72588,1758105016416,61.74,21.28,0.17,864,915,904,892,929,33.333333333333336,-0.876,0.16,0.447
72617,1758105016418,61.72,21.26,0.18,867,914,911,898,929,34.48275862068966,-0.878,0.158,0.444
72647,1758105016420,61.69,21.23,0.18,864,910,912,888,925,33.333333333333336,-0.878,0.158,0.444
