timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
162340,1758105292874,29.22,-93.38,-19.75,801,801,815,819,858,34.48275862068966,-0.495,-0.882,-0.054
162370,1758105292876,29.23,-93.38,-19.75,799,805,810,816,892,33.333333333333336,-0.494,-0.881,-0.05
162400,1758105292878,29.22,-93.37,-19.77,798,816,803,818,865,33.333333333333336,-0.493,-0.882,-0.051
162420,1758105292880,29.22,-93.37,-19.77,795,812,801,810,861,50.0,-0.493,-0.883,-0.052
162449,1758105292882,29.23,-93.36,-19.78,801,811,808,809,870,34.48275862068966,-0.493,-0.883,-0.051
162479,1758105292884,29.24,-93.35,-19.78,796,814,801,807,868,33.333333333333336,-0.492,-0.883,-0.052
162509,1758105292886,29.26,-93.36,-19.79,799,816,821,813,868,33.333333333333336,-0.491,-0.884,-0.054
162538,1758105292887,29.26,-93.37,-19.79,792,811,813,817,866,34.48275862068966,-0.491,-0.883,-0.054
162568,1758105292890,29.27,-93.36,-19.78,793,801,818,828,854,33.333333333333336,-0.492,-0.884,-0.051
162597,1758105292892,29.29,-93.31,-19.78,797,813,812,824,863,34.48275862068966,-0.492,-0.884,-0.051
162627,1758105292894,29.31,-93.29,-19.79,789,800,801,814,861,33.333333333333336,-0.491,-0.883,-0.053
162656,1758105292896,29.29,-93.32,-19.79,797,820,810,827,857,34.48275862068966,-0.492,-0.883,-0.053
162686,1758105292898,29.28,-93.28,-19.81,794,804,812,812,863,33.333333333333336,-0.492,-0.882,-0.051
162716,1758105292900,29.28,-93.31,-19.82,800,803,813,814,870,33.333333333333336,-0.493,-0.883,-0.053
162745,1758105292921,29.28,-93.32,-19.83,796,814,805,821,859,34.48275862068966,-0.492,-0.882,-0.052
162774,1758105292951,29.25,-93.35,-19.83,794,809,813,819,856,34.48275862068966,-0.493,-0.883,-0.052
162804,1758105292980,29.29,-93.41,-19.82,791,813,801,804,857,33.333333333333336,-0.492,-0.883,-0.05
162834,1758105293010,29.3,-93.37,-19.83,797,817,807,804,858,33.333333333333336,-0.493,-0.882,-0.05
162863,1758105293040,29.28,-93.38,-19.83,801,820,806,815,863,34.48275862068966,-0.494,-0.883,-0.053
162893,1758105293069,29.28,-93.31,-19.84,796,809,803,817,866,33.333333333333336,-0.493,-0.882,-0.052
162923,1758105293099,29.22,-93.24,-19.85,788,813,815,812,848,33.333333333333336,-0.493,-0.882,-0.052
162953,1758105293129,29.26,-93.27,-19.86,799,813,808,814,856,33.333333333333336,-0.493,-0.883,-0.052
162982,1758105293158,29.29,-93.27,-19.85,797,821,814,814,858,34.48275862068966,-0.492,-0.884,-0.05
163012,1758105293188,29.29,-93.23,-19.85,801,810,813,805,855,33.333333333333336,-0.492,-0.883,-0.049
163041,1758105293217,29.28,-93.21,-19.86,798,814,807,818,867,34.48275862068966,-0.493,-0.883,-0.051
163071,1758105293247,29.31,-93.23,-19.85,795,815,807,809,865,33.333333333333336,-0.494,-0.883,-0.051
163101,1758105293277,29.3,-93.23,-19.85,792,808,807,822,863,33.333333333333336,-0.494,-0.883,-0.052
163130,1758105293306,29.27,-93.19,-19.85,796,816,812,812,860,34.48275862068966,-0.493,-0.882,-0.051
163160,1758105293336,29.24,-93.2,-19.85,795,807,805,806,864,33.333333333333336,-0.493,-0.882,-0.05
163190,1758105293366,29.27,-93.24,-19.84,791,814,813,817,860,33.333333333333336,-0.493,-0.882,-0.05
163219,1758105293395,29.26,-93.21,-19.85,798,819,805,811,863,34.48275862068966,-0.493,-0.883,-0.05
163249,1758105293425,29.24,-93.2,-19.86,798,816,814,807,863,33.333333333333336,-0.492,-0.884,-0.051
163278,1758105293454,29.26,-93.2,-19.86,795,809,803,812,864,34.48275862068966,-0.492,-0.883,-0.05
163308,1758105293484,29.25,-93.2,-19.86,793,815,816,810,858,33.333333333333336,-0.491,-0.883,-0.049
163337,1758105293513,29.26,-93.19,-19.86,787,801,808,822,852,34.48275862068966,-0.492,-0.883,-0.048
163367,1758105293543,29.25,-93.16,-19.85,796,798,809,822,860,33.333333333333336,-0.493,-0.881,-0.048
163396,1758105293573,29.25,-93.17,-19.84,793,807,812,815,859,34.48275862068966,-0.495,-0.881,-0.048
163426,1758105293602,29.22,-93.18,-19.84,794,808,805,818,854,33.333333333333336,-0.495,-0.881,-0.049
163455,1758105293632,29.22,-93.2,-19.85,797,801,808,808,865,34.48275862068966,-0.495,-0.88,-0.048
163485,1758105293661,29.25,-93.21,-19.86,800,804,813,814,846,33.333333333333336,-0.495,-0.882,-0.049
163515,1758105293691,29.25,-93.23,-19.87,801,817,814,819,857,33.333333333333336,-0.493,-0.882,-0.048
163544,1758105293720,29.27,-93.22,-19.87,799,811,812,815,861,34.48275862068966,-0.493,-0.883,-0.049
163574,1758105293750,29.26,-93.24,-19.87,797,816,809,819,865,33.333333333333336,-0.493,-0.883,-0.051
163603,1758105293779,29.28,-93.25,-19.87,797,803,813,834,844,34.48275862068966,-0.493,-0.883,-0.051
163633,1758105293809,29.28,-93.22,-19.88,803,812,805,814,867,33.333333333333336,-0.493,-0.883,-0.049
163662,1758105293838,29.3,-93.19,-19.88,796,805,805,816,868,34.48275862068966,-0.493,-0.883,-0.05
163691,1758105293868,29.33,-93.18,-19.88,803,807,816,800,854,34.48275862068966,-0.493,-0.883,-0.05
163721,1758105293897,29.34,-93.19,-19.89,799,814,812,813,860,33.333333333333336,-0.492,-0.883,-0.051
163751,1758105293927,29.36,-93.18,-19.9,790,812,800,806,863,33.333333333333336,-0.492,-0.883,-0.05
163780,1758105293956,29.37,-93.21,-19.89,795,805,812,813,847,34.48275862068966,-0.494,-0.883,-0.05
163810,1758105293986,29.38,-93.19,-19.9,806,813,800,803,863,33.333333333333336,-0.494,-0.881,-0.05
163839,1758105294015,29.37,-93.2,-19.9,798,804,801,813,863,34.48275862068966,-0.495,-0.883,-0.051
163869,1758105294045,29.41,-93.22,-19.9,794,807,815,819,860,33.333333333333336,-0.493,-0.882,-0.051
163898,1758105294075,29.39,-93.2,-19.92,802,810,809,817,863,34.48275862068966,-0.493,-0.882,-0.052
163928,1758105294104,29.38,-93.2,-19.92,800,813,802,818,857,33.333333333333336,-0.493,-0.883,-0.053
163958,1758105294134,29.4,-93.22,-19.91,805,809,809,818,862,33.333333333333336,-0.493,-0.882,-0.052
163978,1758105294154,29.39,-93.23,-19.92,797,812,803,815,854,50.0,-0.494,-0.882,-0.051
164007,1758105294183,29.37,-93.26,-19.94,796,814,805,822,851,34.48275862068966,-0.494,-0.882,-0.052
164037,1758105294213,29.38,-93.27,-19.94,798,816,807,805,874,33.333333333333336,-0.494,-0.882,-0.052
164067,1758105294243,29.38,-93.24,-19.95,798,814,818,817,858,33.333333333333336,-0.493,-0.882,-0.052
164096,1758105294272,29.38,-93.22,-19.95,801,822,813,828,865,34.48275862068966,-0.493,-0.883,-0.053
164126,1758105294302,29.38,-93.27,-19.96,797,807,826,819,887,33.333333333333336,-0.493,-0.883,-0.054
164155,1758105294331,29.38,-93.26,-19.96,794,811,810,816,863,34.48275862068966,-0.493,-0.883,-0.052
164185,1758105294361,29.39,-93.21,-19.96,797,810,820,811,855,33.333333333333336,-0.494,-0.882,-0.05
164214,1758105294390,29.39,-93.21,-19.97,797,792,808,808,870,34.48275862068966,-0.493,-0.883,-0.053
164244,1758105294420,29.41,-93.25,-19.97,801,819,816,813,870,33.333333333333336,-0.492,-0.883,-0.054
164273,1758105294450,29.4,-93.26,-19.98,798,813,815,819,851,34.48275862068966,-0.492,-0.884,-0.054
164303,1758105294480,29.39,-93.26,-19.99,798,808,805,813,869,33.333333333333336,-0.493,-0.883,-0.054
164323,1758105294499,29.38,-93.29,-20.0,796,819,817,811,861,50.0,-0.493,-0.883,-0.054
164353,1758105294529,29.38,-93.28,-20.0,797,812,803,820,864,33.333333333333336,-0.492,-0.883,-0.054
164382,1758105294558,29.36,-93.3,-19.99,800,810,810,812,853,34.48275862068966,-0.492,-0.884,-0.054
164412,1758105294588,29.37,-93.32,-20.0,800,812,809,808,860,33.333333333333336,-0.491,-0.883,-0.053
164441,1758105294618,29.33,-93.28,-20.0,800,803,807,817,861,34.48275862068966,-0.492,-0.883,-0.052
164471,1758105294648,29.34,-93.26,-19.99,795,824,808,817,862,33.333333333333336,-0.493,-0.883,-0.053
164501,1758105294677,29.34,-93.23,-20.0,795,805,798,813,859,33.333333333333336,-0.493,-0.883,-0.053
164531,1758105294707,29.32,-93.21,-20.0,802,813,812,814,857,33.333333333333336,-0.493,-0.882,-0.054
164561,1758105294737,29.32,-93.24,-19.99,791,813,818,812,855,33.333333333333336,-0.493,-0.883,-0.052
164590,1758105294766,29.29,-93.21,-20.01,795,816,816,818,865,34.48275862068966,-0.493,-0.881,-0.05
164620,1758105294796,29.3,-93.16,-20.01,790,827,807,820,864,33.333333333333336,-0.494,-0.881,-0.05
164649,1758105294825,29.32,-93.12,-20.01,797,806,797,809,862,34.48275862068966,-0.493,-0.883,-0.054
